"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"2728";"T001038";"10000";"T001345";"T001040";"GM0363";"2019SJ00";"    6573"
"17575";"T001038";"10000";"T001345";"1012600";"GM0363";"2019SJ00";"    2331"
"32422";"T001038";"10000";"T001345";"2012605";"GM0363";"2019SJ00";"    4236"
"47269";"T001038";"10000";"T001345";"2012655";"GM0363";"2019SJ00";"     656"
"62116";"T001038";"10000";"T001345";"2012657";"GM0363";"2019SJ00";"    3580"
"76963";"T001038";"10000";"T001345";"H008766";"GM0363";"2019SJ00";"     518"
"91810";"T001038";"10000";"T001345";"H008673";"GM0363";"2019SJ00";"    1296"
"106657";"T001038";"10000";"T001345";"H008751";"GM0363";"2019SJ00";"     635"
"121504";"T001038";"10000";"T001345";"H007119";"GM0363";"2019SJ00";"     100"
"136351";"T001038";"10000";"T001345";"A008187";"GM0363";"2019SJ00";"    1031"
"151198";"T001038";"10000";"T001345";"2012659";"GM0363";"2019SJ00";"       6"
"166045";"T001038";"10000";"A025284";"T001040";"GM0363";"2019SJ00";"    1753"
"180892";"T001038";"10000";"A025284";"1012600";"GM0363";"2019SJ00";"     997"
"195739";"T001038";"10000";"A025284";"2012605";"GM0363";"2019SJ00";"     756"
"210586";"T001038";"10000";"A025284";"2012655";"GM0363";"2019SJ00";"     246"
"225433";"T001038";"10000";"A025284";"2012657";"GM0363";"2019SJ00";"     510"
"240280";"T001038";"10000";"A025284";"H008766";"GM0363";"2019SJ00";"      66"
"255127";"T001038";"10000";"A025284";"H008673";"GM0363";"2019SJ00";"     147"
"269974";"T001038";"10000";"A025284";"H008751";"GM0363";"2019SJ00";"      72"
"284821";"T001038";"10000";"A025284";"H007119";"GM0363";"2019SJ00";"      14"
"299668";"T001038";"10000";"A025284";"A008187";"GM0363";"2019SJ00";"     211"
"314515";"T001038";"10000";"A025284";"2012659";"GM0363";"2019SJ00";"       0"
"329362";"T001038";"10000";"A025285";"T001040";"GM0363";"2019SJ00";"    1717"
"344209";"T001038";"10000";"A025285";"1012600";"GM0363";"2019SJ00";"     614"
"359056";"T001038";"10000";"A025285";"2012605";"GM0363";"2019SJ00";"    1103"
"373903";"T001038";"10000";"A025285";"2012655";"GM0363";"2019SJ00";"     176"
"388750";"T001038";"10000";"A025285";"2012657";"GM0363";"2019SJ00";"     927"
"403597";"T001038";"10000";"A025285";"H008766";"GM0363";"2019SJ00";"     123"
"418444";"T001038";"10000";"A025285";"H008673";"GM0363";"2019SJ00";"     343"
"433291";"T001038";"10000";"A025285";"H008751";"GM0363";"2019SJ00";"     150"
"448138";"T001038";"10000";"A025285";"H007119";"GM0363";"2019SJ00";"      26"
"462985";"T001038";"10000";"A025285";"A008187";"GM0363";"2019SJ00";"     285"
"477832";"T001038";"10000";"A025285";"2012659";"GM0363";"2019SJ00";"       0"
"492679";"T001038";"10000";"A025288";"T001040";"GM0363";"2019SJ00";"    1588"
"507526";"T001038";"10000";"A025288";"1012600";"GM0363";"2019SJ00";"     437"
"522373";"T001038";"10000";"A025288";"2012605";"GM0363";"2019SJ00";"    1148"
"537220";"T001038";"10000";"A025288";"2012655";"GM0363";"2019SJ00";"     143"
"552067";"T001038";"10000";"A025288";"2012657";"GM0363";"2019SJ00";"    1005"
"566914";"T001038";"10000";"A025288";"H008766";"GM0363";"2019SJ00";"     141"
"581761";"T001038";"10000";"A025288";"H008673";"GM0363";"2019SJ00";"     400"
"596608";"T001038";"10000";"A025288";"H008751";"GM0363";"2019SJ00";"     178"
"611455";"T001038";"10000";"A025288";"H007119";"GM0363";"2019SJ00";"      24"
"626302";"T001038";"10000";"A025288";"A008187";"GM0363";"2019SJ00";"     262"
"641149";"T001038";"10000";"A025288";"2012659";"GM0363";"2019SJ00";"       3"
"655996";"T001038";"10000";"A025287";"T001040";"GM0363";"2019SJ00";"    1515"
"670843";"T001038";"10000";"A025287";"1012600";"GM0363";"2019SJ00";"     283"
"685690";"T001038";"10000";"A025287";"2012605";"GM0363";"2019SJ00";"    1229"
"700537";"T001038";"10000";"A025287";"2012655";"GM0363";"2019SJ00";"      91"
"715384";"T001038";"10000";"A025287";"2012657";"GM0363";"2019SJ00";"    1138"
"730231";"T001038";"10000";"A025287";"H008766";"GM0363";"2019SJ00";"     188"
"745078";"T001038";"10000";"A025287";"H008673";"GM0363";"2019SJ00";"     406"
"759925";"T001038";"10000";"A025287";"H008751";"GM0363";"2019SJ00";"     235"
"774772";"T001038";"10000";"A025287";"H007119";"GM0363";"2019SJ00";"      36"
"789619";"T001038";"10000";"A025287";"A008187";"GM0363";"2019SJ00";"     273"
"804466";"T001038";"10000";"A025287";"2012659";"GM0363";"2019SJ00";"       3"
"819313";"T001038";"10000";"A025300";"T001040";"GM0363";"2019SJ00";"     427"
"834160";"T001038";"10000";"A025300";"1012600";"GM0363";"2019SJ00";"     132"
"849007";"T001038";"10000";"A025300";"2012605";"GM0363";"2019SJ00";"     294"
"863854";"T001038";"10000";"A025300";"2012655";"GM0363";"2019SJ00";"      48"
"878701";"T001038";"10000";"A025300";"2012657";"GM0363";"2019SJ00";"     246"
"893548";"T001038";"10000";"A025300";"H008766";"GM0363";"2019SJ00";"      31"
"908395";"T001038";"10000";"A025300";"H008673";"GM0363";"2019SJ00";"      92"
"923242";"T001038";"10000";"A025300";"H008751";"GM0363";"2019SJ00";"      34"
"938089";"T001038";"10000";"A025300";"H007119";"GM0363";"2019SJ00";"       5"
"952936";"T001038";"10000";"A025300";"A008187";"GM0363";"2019SJ00";"      84"
"967783";"T001038";"10000";"A025300";"2012659";"GM0363";"2019SJ00";"       1"
"982630";"T001038";"10000";"A025290";"T001040";"GM0363";"2019SJ00";"    5415"
"997477";"T001038";"10000";"A025290";"1012600";"GM0363";"2019SJ00";"    1260"
