"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"2857";"T001038";"10000";"T001345";"T001040";"GM0363";"2019SJ00";"   37961"
"18433";"T001038";"10000";"T001345";"1012600";"GM0363";"2019SJ00";"   14124"
"34009";"T001038";"10000";"T001345";"2012605";"GM0363";"2019SJ00";"   23676"
"49585";"T001038";"10000";"T001345";"2012655";"GM0363";"2019SJ00";"    4600"
"65161";"T001038";"10000";"T001345";"2012657";"GM0363";"2019SJ00";"   19076"
"80737";"T001038";"10000";"T001345";"H008766";"GM0363";"2019SJ00";"    2694"
"96313";"T001038";"10000";"T001345";"H008673";"GM0363";"2019SJ00";"    6811"
"111889";"T001038";"10000";"T001345";"H008751";"GM0363";"2019SJ00";"    2928"
"127465";"T001038";"10000";"T001345";"H007119";"GM0363";"2019SJ00";"     516"
"143041";"T001038";"10000";"T001345";"A008187";"GM0363";"2019SJ00";"    6127"
"158617";"T001038";"10000";"T001345";"2012659";"GM0363";"2019SJ00";"     161"
"174193";"T001038";"10000";"A041919";"T001040";"GM0363";"2019SJ00";"   15555"
"189769";"T001038";"10000";"A041919";"1012600";"GM0363";"2019SJ00";"    5645"
"205345";"T001038";"10000";"A041919";"2012605";"GM0363";"2019SJ00";"    9805"
"220921";"T001038";"10000";"A041919";"2012655";"GM0363";"2019SJ00";"    1968"
"236497";"T001038";"10000";"A041919";"2012657";"GM0363";"2019SJ00";"    7837"
"252073";"T001038";"10000";"A041919";"H008766";"GM0363";"2019SJ00";"    1098"
"267649";"T001038";"10000";"A041919";"H008673";"GM0363";"2019SJ00";"    2796"
"283225";"T001038";"10000";"A041919";"H008751";"GM0363";"2019SJ00";"    1149"
"298801";"T001038";"10000";"A041919";"H007119";"GM0363";"2019SJ00";"     203"
"314377";"T001038";"10000";"A041919";"A008187";"GM0363";"2019SJ00";"    2591"
"329953";"T001038";"10000";"A041919";"2012659";"GM0363";"2019SJ00";"     105"
"345529";"T001038";"10000";"A041920";"T001040";"GM0363";"2019SJ00";"    8305"
"361105";"T001038";"10000";"A041920";"1012600";"GM0363";"2019SJ00";"    4595"
"376681";"T001038";"10000";"A041920";"2012605";"GM0363";"2019SJ00";"    3706"
"392257";"T001038";"10000";"A041920";"2012655";"GM0363";"2019SJ00";"    1281"
"407833";"T001038";"10000";"A041920";"2012657";"GM0363";"2019SJ00";"    2425"
"423409";"T001038";"10000";"A041920";"H008766";"GM0363";"2019SJ00";"     270"
"438985";"T001038";"10000";"A041920";"H008673";"GM0363";"2019SJ00";"     733"
"454561";"T001038";"10000";"A041920";"H008751";"GM0363";"2019SJ00";"     290"
"470137";"T001038";"10000";"A041920";"H007119";"GM0363";"2019SJ00";"      63"
"485713";"T001038";"10000";"A041920";"A008187";"GM0363";"2019SJ00";"    1069"
"501289";"T001038";"10000";"A041920";"2012659";"GM0363";"2019SJ00";"       4"
"516865";"T001038";"10000";"A041921";"T001040";"GM0363";"2019SJ00";"    6061"
"532441";"T001038";"10000";"A041921";"1012600";"GM0363";"2019SJ00";"    2170"
"548017";"T001038";"10000";"A041921";"2012605";"GM0363";"2019SJ00";"    3885"
"563593";"T001038";"10000";"A041921";"2012655";"GM0363";"2019SJ00";"     715"
"579169";"T001038";"10000";"A041921";"2012657";"GM0363";"2019SJ00";"    3170"
"594745";"T001038";"10000";"A041921";"H008766";"GM0363";"2019SJ00";"     444"
"610321";"T001038";"10000";"A041921";"H008673";"GM0363";"2019SJ00";"    1206"
"625897";"T001038";"10000";"A041921";"H008751";"GM0363";"2019SJ00";"     451"
"641473";"T001038";"10000";"A041921";"H007119";"GM0363";"2019SJ00";"      79"
"657049";"T001038";"10000";"A041921";"A008187";"GM0363";"2019SJ00";"     990"
"672625";"T001038";"10000";"A041921";"2012659";"GM0363";"2019SJ00";"       6"
"688201";"T001038";"10000";"A041922";"T001040";"GM0363";"2019SJ00";"    3474"
"703777";"T001038";"10000";"A041922";"1012600";"GM0363";"2019SJ00";"     903"
"719353";"T001038";"10000";"A041922";"2012605";"GM0363";"2019SJ00";"    2560"
"734929";"T001038";"10000";"A041922";"2012655";"GM0363";"2019SJ00";"     333"
"750505";"T001038";"10000";"A041922";"2012657";"GM0363";"2019SJ00";"    2227"
"766081";"T001038";"10000";"A041922";"H008766";"GM0363";"2019SJ00";"     341"
"781657";"T001038";"10000";"A041922";"H008673";"GM0363";"2019SJ00";"     916"
"797233";"T001038";"10000";"A041922";"H008751";"GM0363";"2019SJ00";"     345"
"812809";"T001038";"10000";"A041922";"H007119";"GM0363";"2019SJ00";"      50"
"828385";"T001038";"10000";"A041922";"A008187";"GM0363";"2019SJ00";"     575"
"843961";"T001038";"10000";"A041922";"2012659";"GM0363";"2019SJ00";"      11"
"859537";"T001038";"10000";"A041923";"T001040";"GM0363";"2019SJ00";"    3287"
"875113";"T001038";"10000";"A041923";"1012600";"GM0363";"2019SJ00";"     601"
"890689";"T001038";"10000";"A041923";"2012605";"GM0363";"2019SJ00";"    2664"
"906265";"T001038";"10000";"A041923";"2012655";"GM0363";"2019SJ00";"     212"
"921841";"T001038";"10000";"A041923";"2012657";"GM0363";"2019SJ00";"    2452"
"937417";"T001038";"10000";"A041923";"H008766";"GM0363";"2019SJ00";"     378"
"952993";"T001038";"10000";"A041923";"H008673";"GM0363";"2019SJ00";"     876"
"968569";"T001038";"10000";"A041923";"H008751";"GM0363";"2019SJ00";"     501"
"984145";"T001038";"10000";"A041923";"H007119";"GM0363";"2019SJ00";"      76"
"999721";"T001038";"10000";"A041923";"A008187";"GM0363";"2019SJ00";"     621"
"1015297";"T001038";"10000";"A041923";"2012659";"GM0363";"2019SJ00";"      22"
"1030873";"T001038";"10000";"A025289";"T001040";"GM0363";"2019SJ00";"    1279"
"1046449";"T001038";"10000";"A025289";"1012600";"GM0363";"2019SJ00";"     210"
"1062025";"T001038";"10000";"A025289";"2012605";"GM0363";"2019SJ00";"    1056"
"1077601";"T001038";"10000";"A025289";"2012655";"GM0363";"2019SJ00";"      91"
"1093177";"T001038";"10000";"A025289";"2012657";"GM0363";"2019SJ00";"     965"
"1108753";"T001038";"10000";"A025289";"H008766";"GM0363";"2019SJ00";"     163"
"1124329";"T001038";"10000";"A025289";"H008673";"GM0363";"2019SJ00";"     284"
"1139905";"T001038";"10000";"A025289";"H008751";"GM0363";"2019SJ00";"     192"
"1155481";"T001038";"10000";"A025289";"H007119";"GM0363";"2019SJ00";"      45"
"1171057";"T001038";"10000";"A025289";"A008187";"GM0363";"2019SJ00";"     281"
"1186633";"T001038";"10000";"A025289";"2012659";"GM0363";"2019SJ00";"      13"
"1202209";"T001038";"10000";"A025300";"T001040";"GM0363";"2019SJ00";"     921"
"1217785";"T001038";"10000";"A025300";"1012600";"GM0363";"2019SJ00";"     296"
"1233361";"T001038";"10000";"A025300";"2012605";"GM0363";"2019SJ00";"     624"
"1248937";"T001038";"10000";"A025300";"2012655";"GM0363";"2019SJ00";"     107"
"1264513";"T001038";"10000";"A025300";"2012657";"GM0363";"2019SJ00";"     517"
"1280089";"T001038";"10000";"A025300";"H008766";"GM0363";"2019SJ00";"      49"
"1295665";"T001038";"10000";"A025300";"H008673";"GM0363";"2019SJ00";"     166"
"1311241";"T001038";"10000";"A025300";"H008751";"GM0363";"2019SJ00";"      74"
"1326817";"T001038";"10000";"A025300";"H007119";"GM0363";"2019SJ00";"      14"
"1342393";"T001038";"10000";"A025300";"A008187";"GM0363";"2019SJ00";"     214"
"1357969";"T001038";"10000";"A025300";"2012659";"GM0363";"2019SJ00";"       1"
"1373545";"T001038";"10000";"A041867";"T001040";"GM0363";"2019SJ00";"   16932"
"1389121";"T001038";"10000";"A041867";"1012600";"GM0363";"2019SJ00";"    3621"
"1404697";"T001038";"10000";"A041867";"2012605";"GM0363";"2019SJ00";"   13299"
"1420273";"T001038";"10000";"A041867";"2012655";"GM0363";"2019SJ00";"     997"
"1435849";"T001038";"10000";"A041867";"2012657";"GM0363";"2019SJ00";"   12302"
"1451425";"T001038";"10000";"A041867";"H008766";"GM0363";"2019SJ00";"    1816"
"1467001";"T001038";"10000";"A041867";"H008673";"GM0363";"2019SJ00";"    3654"
"1482577";"T001038";"10000";"A041867";"H008751";"GM0363";"2019SJ00";"    2935"
"1498153";"T001038";"10000";"A041867";"H007119";"GM0363";"2019SJ00";"     511"
"1513729";"T001038";"10000";"A041867";"A008187";"GM0363";"2019SJ00";"    3386"
"1529305";"T001038";"10000";"A041867";"2012659";"GM0363";"2019SJ00";"      12"
"1544881";"T001038";"10000";"A041868";"T001040";"GM0363";"2019SJ00";"   13814"
"1560457";"T001038";"10000";"A041868";"1012600";"GM0363";"2019SJ00";"    2761"
"1576033";"T001038";"10000";"A041868";"2012605";"GM0363";"2019SJ00";"   11041"
"1591609";"T001038";"10000";"A041868";"2012655";"GM0363";"2019SJ00";"     802"
"1607185";"T001038";"10000";"A041868";"2012657";"GM0363";"2019SJ00";"   10239"
"1622761";"T001038";"10000";"A041868";"H008766";"GM0363";"2019SJ00";"    1500"
"1638337";"T001038";"10000";"A041868";"H008673";"GM0363";"2019SJ00";"    3243"
"1653913";"T001038";"10000";"A041868";"H008751";"GM0363";"2019SJ00";"    2289"
"1669489";"T001038";"10000";"A041868";"H007119";"GM0363";"2019SJ00";"     411"
"1685065";"T001038";"10000";"A041868";"A008187";"GM0363";"2019SJ00";"    2796"
"1700641";"T001038";"10000";"A041868";"2012659";"GM0363";"2019SJ00";"      12"
"1716217";"T001038";"10000";"A025293";"T001040";"GM0363";"2019SJ00";"    3118"
"1731793";"T001038";"10000";"A025293";"1012600";"GM0363";"2019SJ00";"     860"
"1747369";"T001038";"10000";"A025293";"2012605";"GM0363";"2019SJ00";"    2258"
"1762945";"T001038";"10000";"A025293";"2012655";"GM0363";"2019SJ00";"     195"
"1778521";"T001038";"10000";"A025293";"2012657";"GM0363";"2019SJ00";"    2063"
"1794097";"T001038";"10000";"A025293";"H008766";"GM0363";"2019SJ00";"     316"
"1809673";"T001038";"10000";"A025293";"H008673";"GM0363";"2019SJ00";"     411"
"1825249";"T001038";"10000";"A025293";"H008751";"GM0363";"2019SJ00";"     646"
"1840825";"T001038";"10000";"A025293";"H007119";"GM0363";"2019SJ00";"     100"
"1856401";"T001038";"10000";"A025293";"A008187";"GM0363";"2019SJ00";"     590"
"1871977";"T001038";"10000";"A025293";"2012659";"GM0363";"2019SJ00";"       0"
"1887553";"T001038";"10000";"A041751";"T001040";"GM0363";"2019SJ00";"    1032"
"1903129";"T001038";"10000";"A041751";"1012600";"GM0363";"2019SJ00";"     128"
"1918705";"T001038";"10000";"A041751";"2012605";"GM0363";"2019SJ00";"     903"
"1934281";"T001038";"10000";"A041751";"2012655";"GM0363";"2019SJ00";"      59"
"1949857";"T001038";"10000";"A041751";"2012657";"GM0363";"2019SJ00";"     844"
