"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1";"GemiddeldeBevolking_2"
"3041";"T001038";"10000";"T001019";"GM0363";"2019JJ00";"  862965";"867861.0"
"158966";"T001038";"10010";"T001019";"GM0363";"2019JJ00";"   10274";"  5114.0"
"314891";"T001038";"10100";"T001019";"GM0363";"2019JJ00";"    9718";"  9931.0"
"470816";"T001038";"10200";"T001019";"GM0363";"2019JJ00";"    9100";"  9382.5"
"626741";"T001038";"10300";"T001019";"GM0363";"2019JJ00";"    8728";"  8870.5"
"782666";"T001038";"10400";"T001019";"GM0363";"2019JJ00";"    8471";"  8534.5"
"938591";"T001038";"10500";"T001019";"GM0363";"2019JJ00";"    8082";"  8340.0"
"1094516";"T001038";"10600";"T001019";"GM0363";"2019JJ00";"    8132";"  7993.0"
"1250441";"T001038";"10700";"T001019";"GM0363";"2019JJ00";"    8198";"  8044.5"
"1406366";"T001038";"10800";"T001019";"GM0363";"2019JJ00";"    8393";"  8119.0"
"1562291";"T001038";"10900";"T001019";"GM0363";"2019JJ00";"    8168";"  8344.0"
"1718216";"T001038";"11000";"T001019";"GM0363";"2019JJ00";"    8078";"  8122.0"
"1874141";"T001038";"11100";"T001019";"GM0363";"2019JJ00";"    7703";"  8058.0"
"2030066";"T001038";"11200";"T001019";"GM0363";"2019JJ00";"    7513";"  7673.5"
"2185991";"T001038";"11300";"T001019";"GM0363";"2019JJ00";"    7603";"  7508.0"
"2341916";"T001038";"11400";"T001019";"GM0363";"2019JJ00";"    7441";"  7605.5"
"2497841";"T001038";"11500";"T001019";"GM0363";"2019JJ00";"    7493";"  7450.0"
"2653766";"T001038";"11600";"T001019";"GM0363";"2019JJ00";"    7343";"  7520.5"
"2809691";"T001038";"11700";"T001019";"GM0363";"2019JJ00";"    7621";"  7399.0"
"2965616";"T001038";"11800";"T001019";"GM0363";"2019JJ00";"    8694";"  8179.0"
"3121541";"T001038";"11900";"T001019";"GM0363";"2019JJ00";"    9702";"  9510.0"
"3277466";"T001038";"12000";"T001019";"GM0363";"2019JJ00";"   10866";" 10436.5"
"3433391";"T001038";"12100";"T001019";"GM0363";"2019JJ00";"   11934";" 11443.5"
"3589316";"T001038";"12200";"T001019";"GM0363";"2019JJ00";"   13241";" 12510.0"
"3745241";"T001038";"12300";"T001019";"GM0363";"2019JJ00";"   14735";" 13934.0"
"3901166";"T001038";"12400";"T001019";"GM0363";"2019JJ00";"   16858";" 15470.5"
"4057091";"T001038";"12500";"T001019";"GM0363";"2019JJ00";"   18501";" 17631.0"
"4213016";"T001038";"12600";"T001019";"GM0363";"2019JJ00";"   19473";" 19114.0"
"4368941";"T001038";"12700";"T001019";"GM0363";"2019JJ00";"   20121";" 19942.5"
"4524866";"T001038";"12800";"T001019";"GM0363";"2019JJ00";"   20446";" 20548.5"
"4680791";"T001038";"12900";"T001019";"GM0363";"2019JJ00";"   19704";" 20594.0"
"4836716";"T001038";"13000";"T001019";"GM0363";"2019JJ00";"   19376";" 19790.0"
"4992641";"T001038";"13100";"T001019";"GM0363";"2019JJ00";"   18297";" 19379.0"
"5148566";"T001038";"13200";"T001019";"GM0363";"2019JJ00";"   17810";" 18150.0"
"5304491";"T001038";"13300";"T001019";"GM0363";"2019JJ00";"   16772";" 17610.5"
"5460416";"T001038";"13400";"T001019";"GM0363";"2019JJ00";"   15831";" 16542.0"
"5616341";"T001038";"13500";"T001019";"GM0363";"2019JJ00";"   14877";" 15565.5"
"5772266";"T001038";"13600";"T001019";"GM0363";"2019JJ00";"   14063";" 14671.0"
"5928191";"T001038";"13700";"T001019";"GM0363";"2019JJ00";"   13564";" 13858.0"
"6084116";"T001038";"13800";"T001019";"GM0363";"2019JJ00";"   13201";" 13404.0"
"6240041";"T001038";"13900";"T001019";"GM0363";"2019JJ00";"   12086";" 13051.5"
"6395966";"T001038";"14000";"T001019";"GM0363";"2019JJ00";"   11857";" 11946.5"
"6551891";"T001038";"14100";"T001019";"GM0363";"2019JJ00";"   11807";" 11745.0"
"6707816";"T001038";"14200";"T001019";"GM0363";"2019JJ00";"   11241";" 11722.5"
"6863741";"T001038";"14300";"T001019";"GM0363";"2019JJ00";"   10880";" 11142.5"
"7019666";"T001038";"14400";"T001019";"GM0363";"2019JJ00";"   11161";" 10808.0"
"7175591";"T001038";"14500";"T001019";"GM0363";"2019JJ00";"   10994";" 11098.5"
"7331516";"T001038";"14600";"T001019";"GM0363";"2019JJ00";"   11408";" 10949.5"
"7487441";"T001038";"14700";"T001019";"GM0363";"2019JJ00";"   11704";" 11329.0"
"7643366";"T001038";"14800";"T001019";"GM0363";"2019JJ00";"   11846";" 11667.5"
"7799291";"T001038";"14900";"T001019";"GM0363";"2019JJ00";"   11584";" 11781.0"
"7955216";"T001038";"15000";"T001019";"GM0363";"2019JJ00";"   11350";" 11545.5"
"8111141";"T001038";"15100";"T001019";"GM0363";"2019JJ00";"   10921";" 11288.5"
"8267066";"T001038";"15200";"T001019";"GM0363";"2019JJ00";"   11062";" 10883.0"
"8422991";"T001038";"15300";"T001019";"GM0363";"2019JJ00";"   11049";" 11000.5"
"8578916";"T001038";"15400";"T001019";"GM0363";"2019JJ00";"   11432";" 10983.5"
"8734841";"T001038";"15500";"T001019";"GM0363";"2019JJ00";"   10985";" 11379.0"
"8890766";"T001038";"15600";"T001019";"GM0363";"2019JJ00";"   10805";" 10906.0"
"9046691";"T001038";"15700";"T001019";"GM0363";"2019JJ00";"   10343";" 10755.0"
"9202616";"T001038";"15800";"T001019";"GM0363";"2019JJ00";"   10403";" 10267.5"
"9358541";"T001038";"15900";"T001019";"GM0363";"2019JJ00";"    9802";" 10352.5"
"9514466";"T001038";"16000";"T001019";"GM0363";"2019JJ00";"    9645";"  9726.0"
"9670391";"T001038";"16100";"T001019";"GM0363";"2019JJ00";"    9044";"  9571.5"
"9826316";"T001038";"16200";"T001019";"GM0363";"2019JJ00";"    8885";"  8987.0"
"9982241";"T001038";"16300";"T001019";"GM0363";"2019JJ00";"    8387";"  8810.5"
"10138166";"T001038";"16400";"T001019";"GM0363";"2019JJ00";"    8179";"  8311.5"
"10294091";"T001038";"16500";"T001019";"GM0363";"2019JJ00";"    7623";"  8110.5"
"10450016";"T001038";"16600";"T001019";"GM0363";"2019JJ00";"    7645";"  7544.0"
"10605941";"T001038";"16700";"T001019";"GM0363";"2019JJ00";"    7064";"  7571.0"
"10761866";"T001038";"16800";"T001019";"GM0363";"2019JJ00";"    7132";"  6975.0"
"10917791";"T001038";"16900";"T001019";"GM0363";"2019JJ00";"    6642";"  7061.0"
"11073716";"T001038";"17000";"T001019";"GM0363";"2019JJ00";"    6722";"  6573.5"
"11229641";"T001038";"17100";"T001019";"GM0363";"2019JJ00";"    6888";"  6630.5"
"11385566";"T001038";"17200";"T001019";"GM0363";"2019JJ00";"    7013";"  6803.5"
"11541491";"T001038";"17300";"T001019";"GM0363";"2019JJ00";"    4548";"  6913.5"
"11697416";"T001038";"17400";"T001019";"GM0363";"2019JJ00";"    4716";"  4484.0"
"11853341";"T001038";"17500";"T001019";"GM0363";"2019JJ00";"    4371";"  4635.5"
"12009266";"T001038";"17600";"T001019";"GM0363";"2019JJ00";"    3929";"  4293.0"
"12165191";"T001038";"17700";"T001019";"GM0363";"2019JJ00";"    3581";"  3847.0"
"12321116";"T001038";"17800";"T001019";"GM0363";"2019JJ00";"    3664";"  3510.5"
"12477041";"T001038";"17900";"T001019";"GM0363";"2019JJ00";"    3227";"  3580.0"
"12632966";"T001038";"18000";"T001019";"GM0363";"2019JJ00";"    2967";"  3156.5"
"12788891";"T001038";"18100";"T001019";"GM0363";"2019JJ00";"    2590";"  2885.5"
"12944816";"T001038";"18200";"T001019";"GM0363";"2019JJ00";"    2379";"  2504.5"
"13100741";"T001038";"18300";"T001019";"GM0363";"2019JJ00";"    2211";"  2304.0"
"13256666";"T001038";"18400";"T001019";"GM0363";"2019JJ00";"    1958";"  2117.0"
"13412591";"T001038";"18500";"T001019";"GM0363";"2019JJ00";"    1741";"  1857.5"
"13568516";"T001038";"18600";"T001019";"GM0363";"2019JJ00";"    1619";"  1653.5"
"13724441";"T001038";"18700";"T001019";"GM0363";"2019JJ00";"    1436";"  1523.0"
"13880366";"T001038";"18800";"T001019";"GM0363";"2019JJ00";"    1215";"  1350.0"
"14036291";"T001038";"18900";"T001019";"GM0363";"2019JJ00";"    1028";"  1133.5"
"14192216";"T001038";"19000";"T001019";"GM0363";"2019JJ00";"     895";"   954.0"
"14348141";"T001038";"19100";"T001019";"GM0363";"2019JJ00";"     762";"   811.0"
"14504066";"T001038";"19200";"T001019";"GM0363";"2019JJ00";"     605";"   692.0"
"14659991";"T001038";"19300";"T001019";"GM0363";"2019JJ00";"     477";"   539.0"
"14815916";"T001038";"19400";"T001019";"GM0363";"2019JJ00";"     402";"   424.5"
"14971841";"T001038";"22000";"T001019";"GM0363";"2019JJ00";"     930";"  1121.0"
"15127766";"T001038";"19500";"T001019";"GM0363";"2019JJ00";"     287";"   348.0"
"15283691";"T001038";"19600";"T001019";"GM0363";"2019JJ00";"     227";"   248.5"
"15439616";"T001038";"19700";"T001019";"GM0363";"2019JJ00";"     142";"   186.0"
"15595541";"T001038";"19800";"T001019";"GM0363";"2019JJ00";"     107";"   119.5"
"15751466";"T001038";"19900";"T001019";"GM0363";"2019JJ00";"      67";"    85.0"
"15907391";"T001038";"19901";"T001019";"GM0363";"2019JJ00";"      49";"    55.0"
"16063316";"T001038";"19902";"T001019";"GM0363";"2019JJ00";"      19";"    38.0"
"16219241";"T001038";"19903";"T001019";"GM0363";"2019JJ00";"      15";"    15.5"
"16375166";"T001038";"19904";"T001019";"GM0363";"2019JJ00";"       9";"    12.5"
"16531091";"T001038";"19905";"T001019";"GM0363";"2019JJ00";"       3";"     7.5"
"16687016";"T001038";"22300";"T001019";"GM0363";"2019JJ00";"       5";"     5.5"
"16842941";"3000   ";"10000";"T001019";"GM0363";"2019JJ00";"  427787";"430333.0"
"16998866";"3000   ";"10010";"T001019";"GM0363";"2019JJ00";"    5230";"  2620.5"
"17154791";"3000   ";"10100";"T001019";"GM0363";"2019JJ00";"    5033";"  5060.0"
"17310716";"3000   ";"10200";"T001019";"GM0363";"2019JJ00";"    4679";"  4852.5"
"17466641";"3000   ";"10300";"T001019";"GM0363";"2019JJ00";"    4554";"  4551.5"
"17622566";"3000   ";"10400";"T001019";"GM0363";"2019JJ00";"    4270";"  4460.0"
"17778491";"3000   ";"10500";"T001019";"GM0363";"2019JJ00";"    4171";"  4212.5"
"17934416";"3000   ";"10600";"T001019";"GM0363";"2019JJ00";"    4160";"  4132.5"
"18090341";"3000   ";"10700";"T001019";"GM0363";"2019JJ00";"    4175";"  4118.0"
"18246266";"3000   ";"10800";"T001019";"GM0363";"2019JJ00";"    4303";"  4133.5"
"18402191";"3000   ";"10900";"T001019";"GM0363";"2019JJ00";"    4205";"  4274.0"
