"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"971";"T001038";"10000";"T001040";"T001040";"GM0363";"2019JJ00";"  862965"
"34706";"T001038";"10000";"1012600";"T001040";"GM0363";"2019JJ00";"  392850"
"68441";"T001038";"10000";"2012605";"T001040";"GM0363";"2019JJ00";"  470115"
"102176";"T001038";"10000";"2012655";"T001040";"GM0363";"2019JJ00";"  161884"
"135911";"T001038";"10000";"2012657";"T001040";"GM0363";"2019JJ00";"  308231"
"169646";"T001038";"10000";"H008519";"T001040";"GM0363";"2019JJ00";"  116066"
"203381";"T001038";"10000";"H008520";"T001040";"GM0363";"2019JJ00";"  110111"
"237116";"T001038";"10000";"H008524";"T001040";"GM0363";"2019JJ00";"   77620"
"270851";"T001038";"10000";"H007933";"T001040";"GM0363";"2019JJ00";"  162758"
"304586";"T001038";"10000";"H008531";"T001040";"GM0363";"2019JJ00";"    3560"
"338321";"T001038";"10000";"H007935";"T001040";"GM0363";"2019JJ00";"   99885"
"372056";"T001038";"10000";"H007936";"T001040";"GM0363";"2019JJ00";"   24301"
"405791";"T001038";"10000";"H007937";"T001040";"GM0363";"2019JJ00";"   20225"
"439526";"T001038";"10000";"H008533";"T001040";"GM0363";"2019JJ00";"    3017"
"473261";"T001038";"10000";"H008544";"T001040";"GM0363";"2019JJ00";"     317"
"506996";"T001038";"10000";"H008552";"T001040";"GM0363";"2019JJ00";"    5754"
"540731";"T001038";"10000";"H008559";"T001040";"GM0363";"2019JJ00";"      55"
"574466";"T001038";"10000";"H008562";"T001040";"GM0363";"2019JJ00";"    5277"
"608201";"T001038";"10000";"H008567";"T001040";"GM0363";"2019JJ00";"    4763"
"641936";"T001038";"10000";"H008575";"T001040";"GM0363";"2019JJ00";"    6687"
"675671";"T001038";"10000";"H008579";"T001040";"GM0363";"2019JJ00";"    2535"
"709406";"T001038";"10000";"H008586";"T001040";"GM0363";"2019JJ00";"      24"
"743141";"T001038";"10000";"H008592";"T001040";"GM0363";"2019JJ00";"   19022"
