"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingWijkenEnBuurten_4";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Ongehuwd_13";"Gehuwd_14";"Gescheiden_15";"Verweduwd_16";"WestersTotaal_17";"NietWestersTotaal_18";"Marokko_19";"NederlandseAntillenEnAruba_20";"Suriname_21";"Turkije_22";"OverigNietWesters_23";"GeboorteTotaal_24";"GeboorteRelatief_25";"SterfteTotaal_26";"SterfteRelatief_27";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"Bevolkingsdichtheid_33";"Woningvoorraad_34";"GemiddeldeWoningwaarde_35";"PercentageEengezinswoning_36";"PercentageMeergezinswoning_37";"PercentageBewoond_38";"PercentageOnbewoond_39";"Koopwoningen_40";"HuurwoningenTotaal_41";"InBezitWoningcorporatie_42";"InBezitOverigeVerhuurders_43";"EigendomOnbekend_44";"BouwjaarVoor2000_45";"BouwjaarVanaf2000_46";"GemiddeldElektriciteitsverbruikTotaal_47";"Appartement_48";"Tussenwoning_49";"Hoekwoning_50";"TweeOnderEenKapWoning_51";"VrijstaandeWoning_52";"Huurwoning_53";"EigenWoning_54";"GemiddeldAardgasverbruikTotaal_55";"Appartement_56";"Tussenwoning_57";"Hoekwoning_58";"TweeOnderEenKapWoning_59";"VrijstaandeWoning_60";"Huurwoning_61";"EigenWoning_62";"PercentageWoningenMetStadsverwarming_63";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66";"Nettoarbeidsparticipatie_67";"PercentageWerknemers_68";"PercentageZelfstandigen_69";"AantalInkomensontvangers_70";"GemiddeldInkomenPerInkomensontvanger_71";"GemiddeldInkomenPerInwoner_72";"k_40PersonenMetLaagsteInkomen_73";"k_20PersonenMetHoogsteInkomen_74";"GemGestandaardiseerdInkomenVanHuish_75";"k_40HuishoudensMetLaagsteInkomen_76";"k_20HuishoudensMetHoogsteInkomen_77";"HuishoudensMetEenLaagInkomen_78";"HuishOnderOfRondSociaalMinimum_79";"HuishoudensTot110VanSociaalMinimum_80";"HuishoudensTot120VanSociaalMinimum_81";"MediaanVermogenVanParticuliereHuish_82";"PersonenPerSoortUitkeringBijstand_83";"PersonenPerSoortUitkeringAO_84";"PersonenPerSoortUitkeringWW_85";"PersonenPerSoortUitkeringAOW_86";"JongerenMetJeugdzorgInNatura_87";"PercentageJongerenMetJeugdzorg_88";"WmoClienten_89";"WmoClientenRelatief_90";"BedrijfsvestigingenTotaal_91";"ALandbouwBosbouwEnVisserij_92";"BFNijverheidEnEnergie_93";"GIHandelEnHoreca_94";"HJVervoerInformatieEnCommunicatie_95";"KLFinancieleDienstenOnroerendGoed_96";"MNZakelijkeDienstverlening_97";"RUCultuurRecreatieOverigeDiensten_98";"PersonenautoSTotaal_99";"PersonenautoSBrandstofBenzine_100";"PersonenautoSOverigeBrandstof_101";"PersonenautoSPerHuishouden_102";"PersonenautoSNaarOppervlakte_103";"Motorfietsen_104";"AfstandTotHuisartsenpraktijk_105";"AfstandTotGroteSupermarkt_106";"AfstandTotKinderdagverblijf_107";"AfstandTotSchool_108";"ScholenBinnen3Km_109";"OppervlakteTotaal_110";"OppervlakteLand_111";"OppervlakteWater_112";"MeestVoorkomendePostcode_113";"Dekkingspercentage_114";"MateVanStedelijkheid_115";"Omgevingsadressendichtheid_116"
"920";"GM0363    ";"Amsterdam                               ";"Gemeente  ";"GM0363    ";".";"  862965";"  427787";"  435178";"  125602";"  108487";"  311068";"  209828";"  107980";"  555066";"  210221";"   74090";"   23588";"  161884";"  308231";"   76751";"   12153";"   64629";"   44080";"  110618";"   10588";"      12";"    5248";"       6";"  470223";"  257453";"   98584";"  114186";"     1.8";"    5214";"  441490";"     378";"      12";"      88";"      93";"       7";"      30";"      70";"      41";"      29";"       0";"      83";"      17";"    2050";"    1920";"    2890";"    2860";"    3360";"    4360";"    1870";"    2460";"     800";"     760";"     970";"    1140";"    1450";"    2050";"     770";"     900";"    14.0";"  160570";"  204590";"  337200";"      69";"      80";"      20";"  682500";"    38.4";"    31.3";"    39.3";"    24.4";"    32.3";"    50.9";"    17.5";"    12.8";"    12.4";"    16.5";"    19.5";"     8.3";"   40340";"   33730";"   12950";"   98340";"   20735";"    10.2";"   70295";"      81";"  133000";"     115";"    9610";"   22115";"   18515";"   12200";"   45025";"   25415";"  235025";"  184550";"   50480";"     0.5";"    1420";"   19420";"     0.5";"     0.5";"     0.3";"     0.5";"    27.5";"   21949";"   16550";"    5399";"         .";"       .";"       1";"    6057"
"921";"WK036300  ";"Amsterdam                               ";"Wijk      ";"WK036300  ";"1";"    4295";"    2400";"    1890";"     235";"     580";"    2150";"     935";"     405";"    3275";"     680";"     295";"      60";"    1400";"     715";"      35";"      40";"      85";"      40";"     515";"      35";"       8";"      10";"       3";"    3040";"    2100";"     690";"     250";"     1.4";"   12292";"    2917";"     448";"       5";"      95";"      81";"      19";"      19";"      81";"      15";"      65";"       1";"      95";"       5";"    1990";"    1930";"    3150";"       .";"       .";"       .";"    1880";"    2350";"     980";"     950";"    1680";"       .";"       .";"       .";"     940";"    1130";"       .";"     230";"     720";"    3120";"      76";"      71";"      29";"    3700";"    38.2";"    34.5";"    37.7";"    24.9";"    31.7";"    57.4";"    12.8";"    15.0";"    14.2";"    17.0";"    18.8";"     3.8";"      80";"      70";"      60";"     350";"      30";"     5.7";"     125";"      29";"    2095";"       0";"      55";"     690";"     170";"     185";"     475";"     515";"     705";"     545";"     160";"     0.2";"    2015";"     120";"     0.2";"     0.3";"     0.3";"     0.5";"    34.4";"      40";"      35";"       6";"         .";"       .";"       1";"    7622"
"922";"BU03630000";"Amsterdam                               ";"Buurt     ";"BU03630000";"1";"    1035";"     610";"     420";"      45";"     100";"     575";"     250";"      75";"     800";"     160";"      70";"      15";"     340";"     175";"       5";"      10";"      25";"      10";"     130";"       5";"       9";"       5";"       5";"     755";"     525";"     180";"      45";"     1.4";"   17048";"     742";"     401";"       4";"      96";"      82";"      18";"      20";"      80";"       7";"      73";"       0";"      96";"       4";"    1950";"    1920";"    2830";"       .";"       .";"       .";"    1830";"    2370";"     920";"     890";"    1650";"       .";"       .";"       .";"     860";"    1120";"       .";"      60";"     210";"     750";"      78";"      69";"      31";"     900";"    40.9";"    37.3";"    32.8";"    28.2";"    32.3";"    55.1";"    12.2";"    15.3";"    13.9";"    16.7";"    17.9";"     7.4";"      20";"      30";"      20";"      60";"       .";"       .";"      45";"      44";"     455";"       0";"      10";"     195";"      35";"      35";"      95";"      85";"     130";"     100";"      25";"     0.2";"    2108";"      25";"     0.3";"     0.3";"     0.2";"     0.4";"    29.0";"       8";"       6";"       2";"      1012";"       1";"       1";"    6718"
"923";"BU03630001";"Amsterdam                               ";"Buurt     ";"BU03630001";"1";"     705";"     400";"     300";"      30";"     120";"     365";"     140";"      60";"     570";"      80";"      55";"      10";"     250";"     110";"       5";"      10";"      15";"      10";"      80";"       5";"      11";"       0";"       1";"     505";"     350";"     115";"      35";"     1.4";"    7989";"     515";"     419";"       5";"      95";"      79";"      21";"      11";"      88";"      28";"      60";"       1";"      87";"      13";"    1970";"    1980";"    1970";"       .";"       .";"       .";"    1920";"    2340";"     900";"     880";"    1260";"       .";"       .";"       .";"     910";"     990";"       .";"      50";"     200";"     410";"      77";"      72";"      28";"     600";"    35.7";"    33.1";"    41.3";"    23.1";"    32.5";"    61.8";"    11.8";"    18.8";"    16.6";"    21.5";"    24.0";"     2.5";"      20";"      20";"      10";"      50";"       .";"       .";"      10";"      14";"     470";"       0";"      10";"     140";"      35";"      60";"     100";"     125";"     100";"      75";"      20";"     0.2";"    1111";"      25";"     0.3";"     0.3";"     0.3";"     0.5";"    33.6";"       9";"       9";"       0";"      1012";"       1";"       1";"    7355"
"924";"BU03630002";"Amsterdam                               ";"Buurt     ";"BU03630002";"1";"    1570";"     860";"     710";"     100";"     230";"     760";"     330";"     170";"    1190";"     260";"     115";"      20";"     515";"     295";"      20";"      20";"      30";"      15";"     215";"      10";"       8";"       0";"       2";"    1105";"     765";"     240";"      95";"     1.4";"   25257";"    1001";"     436";"       4";"      96";"      82";"      18";"      18";"      81";"       9";"      72";"       1";"      96";"       4";"    1960";"    1860";"    4230";"       .";"       .";"       .";"    1830";"    2290";"    1030";"     980";"    2110";"       .";"       .";"       .";"     980";"    1140";"       .";"      70";"     180";"    1190";"      75";"      70";"      30";"    1300";"    35.5";"    31.8";"    39.9";"    20.4";"    28.5";"    59.6";"    11.8";"    14.6";"    14.7";"    17.0";"    19.0";"     2.4";"      20";"      20";"      20";"     150";"      15";"     7.0";"      45";"      29";"     645";"       0";"      20";"     190";"      50";"      45";"     145";"     190";"     255";"     195";"      60";"     0.2";"    4124";"      40";"     0.2";"     0.2";"     0.3";"     0.4";"    36.1";"       7";"       6";"       1";"      1012";"       1";"       1";"    7492"
"925";"BU03630003";"Amsterdam                               ";"Buurt     ";"BU03630003";"1";"     350";"     180";"     170";"      25";"      60";"     185";"      65";"      30";"     270";"      65";"      20";"       5";"     125";"      35";"       0";"       5";"       5";"       5";"      30";"       0";"       6";"       0";"       3";"     235";"     145";"      65";"      15";"     1.5";"    6584";"     260";"     577";"       9";"      91";"      70";"      30";"      29";"      70";"       5";"      65";"       1";"      98";"       2";"    2250";"    2110";"    3760";"       .";"       .";"       .";"    2260";"    2150";"    1120";"    1080";"    1550";"       .";"       .";"       .";"    1140";"    1070";"       .";"      20";"      80";"     230";"      78";"      74";"      26";"     300";"    47.9";"    42.8";"    34.8";"    36.1";"    38.4";"    44.4";"    19.1";"     8.2";"     8.7";"     9.7";"    10.3";"    11.4";"       0";"       0";"      10";"      20";"       .";"       .";"       .";"       .";"     285";"       0";"      10";"      95";"      35";"      35";"      55";"      60";"      90";"      65";"      25";"     0.4";"    1683";"      15";"     0.3";"     0.4";"     0.4";"     0.8";"    37.2";"       6";"       5";"       0";"      1012";"       1";"       1";"    9866"
"926";"BU03630004";"Amsterdam                               ";"Buurt     ";"BU03630004";"1";"     625";"     345";"     280";"      40";"      80";"     275";"     155";"      80";"     455";"     130";"      40";"      15";"     175";"     100";"      10";"       5";"      15";"       5";"      65";"       0";"       5";"       0";"       2";"     435";"     305";"      85";"      45";"     1.4";"    7428";"     399";"     532";"       7";"      93";"      85";"      15";"      20";"      79";"      37";"      42";"       1";"     100";"       0";"    2040";"    1970";"    2850";"       .";"       .";"       .";"    1850";"    2640";"    1040";"     990";"    1640";"       .";"       .";"       .";"     950";"    1300";"       .";"      40";"     130";"     450";"      74";"      72";"      28";"     500";"    37.8";"    33.8";"    38.4";"    25.9";"    34.4";"    57.6";"    14.4";"    14.4";"    13.6";"    16.1";"    18.8";"     4.7";"      20";"      10";"      10";"      70";"       .";"       .";"      20";"      32";"     240";"       0";"       0";"      65";"      20";"      10";"      80";"      60";"     130";"     105";"      25";"     0.3";"    1547";"      20";"     0.2";"     0.4";"     0.3";"     0.7";"    38.6";"      10";"       8";"       2";"      1012";"       1";"       1";"    8417"
"927";"WK036301  ";"Amsterdam                               ";"Wijk      ";"WK036301  ";"1";"    4120";"    2225";"    1890";"     215";"     590";"    2225";"     785";"     320";"    3215";"     640";"     235";"      40";"    1570";"     680";"      35";"      30";"      70";"      45";"     505";"      20";"       5";"       5";"       1";"    2915";"    1990";"     720";"     200";"     1.4";"    7219";"    2884";"     452";"       6";"      94";"      81";"      19";"      22";"      77";"      10";"      67";"       1";"      98";"       2";"    2040";"    2000";"    2780";"       .";"       .";"       .";"    1890";"    2370";"     990";"     950";"    1770";"       .";"       .";"       .";"     950";"    1050";"       .";"     320";"    1040";"    2490";"      77";"      74";"      26";"    3500";"    41.7";"    37.4";"    32.1";"    28.3";"    33.1";"    55.0";"    14.8";"    11.2";"    10.3";"    12.3";"    14.0";"     4.6";"      60";"      60";"      90";"     280";"      35";"     6.5";"      55";"      13";"    2290";"       0";"      65";"    1000";"     180";"     180";"     485";"     370";"     765";"     555";"     210";"     0.3";"    1338";"     100";"     0.4";"     0.3";"     0.5";"     0.8";"    35.2";"      73";"      57";"      16";"         .";"       .";"       1";"    9222"
"928";"BU03630100";"Amsterdam                               ";"Buurt     ";"BU03630100";"1";"       0";"       0";"       0";"       0";"       5";"       5";"       0";"       0";"       5";"       5";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"     1.0";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      70";"       0";"       5";"      45";"       5";"       0";"      10";"       5";"       5";"       0";"       5";"       .";"       .";"       0";"";"";"";"       .";"       .";"      26";"      14";"      12";"      1012";"       1";"       1";"    6436"
"929";"BU03630101";"Amsterdam                               ";"Buurt     ";"BU03630101";"1";"     600";"     330";"     265";"      25";"      85";"     340";"     120";"      40";"     485";"      80";"      40";"       5";"     235";"     100";"       5";"      10";"      15";"       5";"      70";"       0";"       7";"       0";"       2";"     435";"     305";"     100";"      25";"     1.4";"   10874";"     398";"     416";"       3";"      97";"      84";"      16";"      28";"      71";"       3";"      68";"       1";"      99";"       1";"    1890";"    1870";"       .";"       .";"       .";"       .";"    1810";"    2040";"     890";"     870";"       .";"       .";"       .";"       .";"     920";"     810";"       .";"      50";"     130";"     370";"      77";"      73";"      27";"     500";"    43.7";"    40.0";"    31.3";"    27.8";"    32.5";"    54.0";"    14.4";"    11.1";"    10.2";"    11.6";"    12.8";"     5.6";"      10";"      10";"      20";"      30";"       .";"       .";"       .";"       .";"     315";"       0";"      10";"     110";"      35";"      30";"      85";"      50";"     125";"      85";"      40";"     0.3";"    2240";"      15";"     0.3";"     0.3";"     0.5";"     0.6";"    30.4";"       6";"       6";"       1";"      1012";"       1";"       1";"    8767"
