"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"17574";"T001038";"10000";"T001345";"1012600";"GM0363";"2018SJ00";"    2135"
"47268";"T001038";"10000";"T001345";"2012655";"GM0363";"2018SJ00";"     571"
"62115";"T001038";"10000";"T001345";"2012657";"GM0363";"2018SJ00";"    3068"
"180891";"T001038";"10000";"A025284";"1012600";"GM0363";"2018SJ00";"     870"
"210585";"T001038";"10000";"A025284";"2012655";"GM0363";"2018SJ00";"     210"
"225432";"T001038";"10000";"A025284";"2012657";"GM0363";"2018SJ00";"     401"
"344208";"T001038";"10000";"A025285";"1012600";"GM0363";"2018SJ00";"     619"
"373902";"T001038";"10000";"A025285";"2012655";"GM0363";"2018SJ00";"     161"
"388749";"T001038";"10000";"A025285";"2012657";"GM0363";"2018SJ00";"     718"
"507525";"T001038";"10000";"A025288";"1012600";"GM0363";"2018SJ00";"     362"
"537219";"T001038";"10000";"A025288";"2012655";"GM0363";"2018SJ00";"     117"
"552066";"T001038";"10000";"A025288";"2012657";"GM0363";"2018SJ00";"     910"
"670842";"T001038";"10000";"A025287";"1012600";"GM0363";"2018SJ00";"     284"
"700536";"T001038";"10000";"A025287";"2012655";"GM0363";"2018SJ00";"      83"
"715383";"T001038";"10000";"A025287";"2012657";"GM0363";"2018SJ00";"    1039"
"834159";"T001038";"10000";"A025300";"1012600";"GM0363";"2018SJ00";"     118"
"863853";"T001038";"10000";"A025300";"2012655";"GM0363";"2018SJ00";"      33"
"878700";"T001038";"10000";"A025300";"2012657";"GM0363";"2018SJ00";"     218"
"997476";"T001038";"10000";"A025290";"1012600";"GM0363";"2018SJ00";"    1145"
"1027170";"T001038";"10000";"A025290";"2012655";"GM0363";"2018SJ00";"     291"
"1042017";"T001038";"10000";"A025290";"2012657";"GM0363";"2018SJ00";"    3848"
"1160793";"T001038";"10000";"A041868";"1012600";"GM0363";"2018SJ00";"     734"
"1190487";"T001038";"10000";"A041868";"2012655";"GM0363";"2018SJ00";"     192"
"1205334";"T001038";"10000";"A041868";"2012657";"GM0363";"2018SJ00";"    2837"
"1324110";"T001038";"10000";"A025293";"1012600";"GM0363";"2018SJ00";"     271"
"1353804";"T001038";"10000";"A025293";"2012655";"GM0363";"2018SJ00";"      66"
"1368651";"T001038";"10000";"A025293";"2012657";"GM0363";"2018SJ00";"     579"
"1487427";"T001038";"10000";"A041773";"1012600";"GM0363";"2018SJ00";"     140"
"1517121";"T001038";"10000";"A041773";"2012655";"GM0363";"2018SJ00";"      33"
"1531968";"T001038";"10000";"A041773";"2012657";"GM0363";"2018SJ00";"     432"
"1650744";"T001038";"10000";"A041751";"1012600";"GM0363";"2018SJ00";"      92"
"1680438";"T001038";"10000";"A041751";"2012655";"GM0363";"2018SJ00";"      49"
"1695285";"T001038";"10000";"A041751";"2012657";"GM0363";"2018SJ00";"     753"
"1814061";"T001038";"10000";"A041755";"1012600";"GM0363";"2018SJ00";"     274"
"1843755";"T001038";"10000";"A041755";"2012655";"GM0363";"2018SJ00";"      85"
"1858602";"T001038";"10000";"A041755";"2012657";"GM0363";"2018SJ00";"    1127"
"1977378";"T001038";"10000";"A041759";"1012600";"GM0363";"2018SJ00";"     226"
"2007072";"T001038";"10000";"A041759";"2012655";"GM0363";"2018SJ00";"      44"
"2021919";"T001038";"10000";"A041759";"2012657";"GM0363";"2018SJ00";"     715"
"2140695";"T001038";"10000";"A041924";"1012600";"GM0363";"2018SJ00";"     551"
"2170389";"T001038";"10000";"A041924";"2012655";"GM0363";"2018SJ00";"     113"
"2185236";"T001038";"10000";"A041924";"2012657";"GM0363";"2018SJ00";"    1248"
"2304012";"T001038";"10000";"A041925";"1012600";"GM0363";"2018SJ00";"       2"
"2333706";"T001038";"10000";"A041925";"2012655";"GM0363";"2018SJ00";"       0"
"2348553";"T001038";"10000";"A041925";"2012657";"GM0363";"2018SJ00";"       5"
"2467329";"T001038";"10000";"A028669";"1012600";"GM0363";"2018SJ00";"      31"
"2497023";"T001038";"10000";"A028669";"2012655";"GM0363";"2018SJ00";"       4"
"2511870";"T001038";"10000";"A028669";"2012657";"GM0363";"2018SJ00";"      16"
"2630646";"T001038";"10000";"A043049";"1012600";"GM0363";"2018SJ00";"    2352"
"2660340";"T001038";"10000";"A043049";"2012655";"GM0363";"2018SJ00";"     656"
"2675187";"T001038";"10000";"A043049";"2012657";"GM0363";"2018SJ00";"    1083"
"2793963";"T001038";"10000";"A043051";"1012600";"GM0363";"2018SJ00";"     106"
"2823657";"T001038";"10000";"A043051";"2012655";"GM0363";"2018SJ00";"     147"
"2838504";"T001038";"10000";"A043051";"2012657";"GM0363";"2018SJ00";"      57"
"2957280";"T001038";"10000";"A043054";"1012600";"GM0363";"2018SJ00";"    2489"
"2986974";"T001038";"10000";"A043054";"2012655";"GM0363";"2018SJ00";"     801"
"3001821";"T001038";"10000";"A043054";"2012657";"GM0363";"2018SJ00";"     718"
"3120597";"T001038";"10000";"A043055";"1012600";"GM0363";"2018SJ00";"    3261"
"3150291";"T001038";"10000";"A043055";"2012655";"GM0363";"2018SJ00";"    1563"
"3165138";"T001038";"10000";"A043055";"2012657";"GM0363";"2018SJ00";"     930"
"3283914";"T001038";"10000";"A028672";"1012600";"GM0363";"2018SJ00";"       0"
"3313608";"T001038";"10000";"A028672";"2012655";"GM0363";"2018SJ00";"       0"
"3328455";"T001038";"10000";"A028672";"2012657";"GM0363";"2018SJ00";"       0"
"3447231";"T001038";"10000";"A043056";"1012600";"GM0363";"2018SJ00";"     510"
"3476925";"T001038";"10000";"A043056";"2012655";"GM0363";"2018SJ00";"      66"
"3491772";"T001038";"10000";"A043056";"2012657";"GM0363";"2018SJ00";"     104"
"3610548";"T001038";"11200";"T001345";"1012600";"GM0363";"2018SJ00";"       0"
"3640242";"T001038";"11200";"T001345";"2012655";"GM0363";"2018SJ00";"       0"
"3655089";"T001038";"11200";"T001345";"2012657";"GM0363";"2018SJ00";"       0"
"3773865";"T001038";"11200";"A025284";"1012600";"GM0363";"2018SJ00";"       0"
"3803559";"T001038";"11200";"A025284";"2012655";"GM0363";"2018SJ00";"       0"
"3818406";"T001038";"11200";"A025284";"2012657";"GM0363";"2018SJ00";"       0"
"3937182";"T001038";"11200";"A025285";"1012600";"GM0363";"2018SJ00";"       0"
"3966876";"T001038";"11200";"A025285";"2012655";"GM0363";"2018SJ00";"       0"
"3981723";"T001038";"11200";"A025285";"2012657";"GM0363";"2018SJ00";"       0"
"4100499";"T001038";"11200";"A025288";"1012600";"GM0363";"2018SJ00";"       0"
"4130193";"T001038";"11200";"A025288";"2012655";"GM0363";"2018SJ00";"       0"
"4145040";"T001038";"11200";"A025288";"2012657";"GM0363";"2018SJ00";"       0"
"4263816";"T001038";"11200";"A025287";"1012600";"GM0363";"2018SJ00";"       0"
