"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"18432";"T001038";"10000";"T001345";"1012600";"GM0363";"2018SJ00";"   13794"
"49584";"T001038";"10000";"T001345";"2012655";"GM0363";"2018SJ00";"    4337"
"65160";"T001038";"10000";"T001345";"2012657";"GM0363";"2018SJ00";"   19200"
"189768";"T001038";"10000";"A041919";"1012600";"GM0363";"2018SJ00";"    5443"
"220920";"T001038";"10000";"A041919";"2012655";"GM0363";"2018SJ00";"    1904"
"236496";"T001038";"10000";"A041919";"2012657";"GM0363";"2018SJ00";"    8117"
"361104";"T001038";"10000";"A041920";"1012600";"GM0363";"2018SJ00";"    4429"
"392256";"T001038";"10000";"A041920";"2012655";"GM0363";"2018SJ00";"    1192"
"407832";"T001038";"10000";"A041920";"2012657";"GM0363";"2018SJ00";"    2312"
"532440";"T001038";"10000";"A041921";"1012600";"GM0363";"2018SJ00";"    2172"
"563592";"T001038";"10000";"A041921";"2012655";"GM0363";"2018SJ00";"     669"
"579168";"T001038";"10000";"A041921";"2012657";"GM0363";"2018SJ00";"    3085"
"703776";"T001038";"10000";"A041922";"1012600";"GM0363";"2018SJ00";"     895"
"734928";"T001038";"10000";"A041922";"2012655";"GM0363";"2018SJ00";"     282"
"750504";"T001038";"10000";"A041922";"2012657";"GM0363";"2018SJ00";"    2128"
"875112";"T001038";"10000";"A041923";"1012600";"GM0363";"2018SJ00";"     633"
"906264";"T001038";"10000";"A041923";"2012655";"GM0363";"2018SJ00";"     209"
"921840";"T001038";"10000";"A041923";"2012657";"GM0363";"2018SJ00";"    2541"
"1046448";"T001038";"10000";"A025289";"1012600";"GM0363";"2018SJ00";"     222"
"1077600";"T001038";"10000";"A025289";"2012655";"GM0363";"2018SJ00";"      81"
"1093176";"T001038";"10000";"A025289";"2012657";"GM0363";"2018SJ00";"    1017"
"1217784";"T001038";"10000";"A025300";"1012600";"GM0363";"2018SJ00";"     322"
"1248936";"T001038";"10000";"A025300";"2012655";"GM0363";"2018SJ00";"      99"
"1264512";"T001038";"10000";"A025300";"2012657";"GM0363";"2018SJ00";"     556"
"1389120";"T001038";"10000";"A041867";"1012600";"GM0363";"2018SJ00";"    3662"
"1420272";"T001038";"10000";"A041867";"2012655";"GM0363";"2018SJ00";"    1004"
"1435848";"T001038";"10000";"A041867";"2012657";"GM0363";"2018SJ00";"   12224"
"1560456";"T001038";"10000";"A041868";"1012600";"GM0363";"2018SJ00";"    2812"
"1591608";"T001038";"10000";"A041868";"2012655";"GM0363";"2018SJ00";"     800"
"1607184";"T001038";"10000";"A041868";"2012657";"GM0363";"2018SJ00";"   10360"
"1731792";"T001038";"10000";"A025293";"1012600";"GM0363";"2018SJ00";"     850"
"1762944";"T001038";"10000";"A025293";"2012655";"GM0363";"2018SJ00";"     204"
"1778520";"T001038";"10000";"A025293";"2012657";"GM0363";"2018SJ00";"    1864"
"1903128";"T001038";"10000";"A041751";"1012600";"GM0363";"2018SJ00";"     100"
"1934280";"T001038";"10000";"A041751";"2012655";"GM0363";"2018SJ00";"      56"
"1949856";"T001038";"10000";"A041751";"2012657";"GM0363";"2018SJ00";"     826"
"2074464";"T001038";"10000";"A041755";"1012600";"GM0363";"2018SJ00";"     694"
"2105616";"T001038";"10000";"A041755";"2012655";"GM0363";"2018SJ00";"     238"
"2121192";"T001038";"10000";"A041755";"2012657";"GM0363";"2018SJ00";"    2913"
"2245800";"T001038";"10000";"A041759";"1012600";"GM0363";"2018SJ00";"     768"
"2276952";"T001038";"10000";"A041759";"2012655";"GM0363";"2018SJ00";"     181"
"2292528";"T001038";"10000";"A041759";"2012657";"GM0363";"2018SJ00";"    2730"
"2417136";"T001038";"10000";"A041924";"1012600";"GM0363";"2018SJ00";"    2098"
"2448288";"T001038";"10000";"A041924";"2012655";"GM0363";"2018SJ00";"     529"
"2463864";"T001038";"10000";"A041924";"2012657";"GM0363";"2018SJ00";"    5746"
"2588472";"T001038";"10000";"A041925";"1012600";"GM0363";"2018SJ00";"       2"
"2619624";"T001038";"10000";"A041925";"2012655";"GM0363";"2018SJ00";"       0"
"2635200";"T001038";"10000";"A041925";"2012657";"GM0363";"2018SJ00";"       9"
"2759808";"T001038";"10000";"A025294";"1012600";"GM0363";"2018SJ00";"   10702"
"2790960";"T001038";"10000";"A025294";"2012655";"GM0363";"2018SJ00";"    3651"
"2806536";"T001038";"10000";"A025294";"2012657";"GM0363";"2018SJ00";"    8879"
"2931144";"T001038";"10000";"A025297";"1012600";"GM0363";"2018SJ00";"   16743"
"2962296";"T001038";"10000";"A025297";"2012655";"GM0363";"2018SJ00";"    7234"
"2977872";"T001038";"10000";"A025297";"2012657";"GM0363";"2018SJ00";"    6469"
"3102480";"T001038";"40900";"T001345";"1012600";"GM0363";"2018SJ00";"       1"
"3133632";"T001038";"40900";"T001345";"2012655";"GM0363";"2018SJ00";"       0"
"3149208";"T001038";"40900";"T001345";"2012657";"GM0363";"2018SJ00";"       0"
"3273816";"T001038";"40900";"A041919";"1012600";"GM0363";"2018SJ00";"       1"
"3304968";"T001038";"40900";"A041919";"2012655";"GM0363";"2018SJ00";"       0"
"3320544";"T001038";"40900";"A041919";"2012657";"GM0363";"2018SJ00";"       0"
"3445152";"T001038";"40900";"A041920";"1012600";"GM0363";"2018SJ00";"       0"
"3476304";"T001038";"40900";"A041920";"2012655";"GM0363";"2018SJ00";"       0"
"3491880";"T001038";"40900";"A041920";"2012657";"GM0363";"2018SJ00";"       0"
"3616488";"T001038";"40900";"A041921";"1012600";"GM0363";"2018SJ00";"       0"
"3647640";"T001038";"40900";"A041921";"2012655";"GM0363";"2018SJ00";"       0"
"3663216";"T001038";"40900";"A041921";"2012657";"GM0363";"2018SJ00";"       0"
"3787824";"T001038";"40900";"A041922";"1012600";"GM0363";"2018SJ00";"       0"
"3818976";"T001038";"40900";"A041922";"2012655";"GM0363";"2018SJ00";"       0"
"3834552";"T001038";"40900";"A041922";"2012657";"GM0363";"2018SJ00";"       0"
"3959160";"T001038";"40900";"A041923";"1012600";"GM0363";"2018SJ00";"       0"
"3990312";"T001038";"40900";"A041923";"2012655";"GM0363";"2018SJ00";"       0"
"4005888";"T001038";"40900";"A041923";"2012657";"GM0363";"2018SJ00";"       0"
"4130496";"T001038";"40900";"A025289";"1012600";"GM0363";"2018SJ00";"       0"
"4161648";"T001038";"40900";"A025289";"2012655";"GM0363";"2018SJ00";"       0"
"4177224";"T001038";"40900";"A025289";"2012657";"GM0363";"2018SJ00";"       0"
"4301832";"T001038";"40900";"A025300";"1012600";"GM0363";"2018SJ00";"       0"
"4332984";"T001038";"40900";"A025300";"2012655";"GM0363";"2018SJ00";"       0"
"4348560";"T001038";"40900";"A025300";"2012657";"GM0363";"2018SJ00";"       0"
"4473168";"T001038";"40900";"A041867";"1012600";"GM0363";"2018SJ00";"       0"
"4504320";"T001038";"40900";"A041867";"2012655";"GM0363";"2018SJ00";"       0"
"4519896";"T001038";"40900";"A041867";"2012657";"GM0363";"2018SJ00";"       0"
"4644504";"T001038";"40900";"A041868";"1012600";"GM0363";"2018SJ00";"       0"
"4675656";"T001038";"40900";"A041868";"2012655";"GM0363";"2018SJ00";"       0"
"4691232";"T001038";"40900";"A041868";"2012657";"GM0363";"2018SJ00";"       0"
"4815840";"T001038";"40900";"A025293";"1012600";"GM0363";"2018SJ00";"       0"
"4846992";"T001038";"40900";"A025293";"2012655";"GM0363";"2018SJ00";"       0"
"4862568";"T001038";"40900";"A025293";"2012657";"GM0363";"2018SJ00";"       0"
"4987176";"T001038";"40900";"A041751";"1012600";"GM0363";"2018SJ00";"       0"
"5018328";"T001038";"40900";"A041751";"2012655";"GM0363";"2018SJ00";"       0"
"5033904";"T001038";"40900";"A041751";"2012657";"GM0363";"2018SJ00";"       0"
"5158512";"T001038";"40900";"A041755";"1012600";"GM0363";"2018SJ00";"       0"
"5189664";"T001038";"40900";"A041755";"2012655";"GM0363";"2018SJ00";"       0"
"5205240";"T001038";"40900";"A041755";"2012657";"GM0363";"2018SJ00";"       0"
"5329848";"T001038";"40900";"A041759";"1012600";"GM0363";"2018SJ00";"       0"
"5361000";"T001038";"40900";"A041759";"2012655";"GM0363";"2018SJ00";"       0"
"5376576";"T001038";"40900";"A041759";"2012657";"GM0363";"2018SJ00";"       0"
"5501184";"T001038";"40900";"A041924";"1012600";"GM0363";"2018SJ00";"       0"
"5532336";"T001038";"40900";"A041924";"2012655";"GM0363";"2018SJ00";"       0"
"5547912";"T001038";"40900";"A041924";"2012657";"GM0363";"2018SJ00";"       0"
"5672520";"T001038";"40900";"A041925";"1012600";"GM0363";"2018SJ00";"       0"
"5703672";"T001038";"40900";"A041925";"2012655";"GM0363";"2018SJ00";"       0"
"5719248";"T001038";"40900";"A041925";"2012657";"GM0363";"2018SJ00";"       0"
"5843856";"T001038";"40900";"A025294";"1012600";"GM0363";"2018SJ00";"       0"
"5875008";"T001038";"40900";"A025294";"2012655";"GM0363";"2018SJ00";"       0"
"5890584";"T001038";"40900";"A025294";"2012657";"GM0363";"2018SJ00";"       0"
"6015192";"T001038";"40900";"A025297";"1012600";"GM0363";"2018SJ00";"       0"
"6046344";"T001038";"40900";"A025297";"2012655";"GM0363";"2018SJ00";"       0"
"6061920";"T001038";"40900";"A025297";"2012657";"GM0363";"2018SJ00";"       0"
"6186528";"T001038";"11000";"T001345";"1012600";"GM0363";"2018SJ00";"       2"
"6217680";"T001038";"11000";"T001345";"2012655";"GM0363";"2018SJ00";"       1"
"6233256";"T001038";"11000";"T001345";"2012657";"GM0363";"2018SJ00";"       0"
"6357864";"T001038";"11000";"A041919";"1012600";"GM0363";"2018SJ00";"       2"
"6389016";"T001038";"11000";"A041919";"2012655";"GM0363";"2018SJ00";"       1"
"6404592";"T001038";"11000";"A041919";"2012657";"GM0363";"2018SJ00";"       0"
"6529200";"T001038";"11000";"A041920";"1012600";"GM0363";"2018SJ00";"       0"
"6560352";"T001038";"11000";"A041920";"2012655";"GM0363";"2018SJ00";"       0"
"6575928";"T001038";"11000";"A041920";"2012657";"GM0363";"2018SJ00";"       0"
"6700536";"T001038";"11000";"A041921";"1012600";"GM0363";"2018SJ00";"       0"
"6731688";"T001038";"11000";"A041921";"2012655";"GM0363";"2018SJ00";"       0"
"6747264";"T001038";"11000";"A041921";"2012657";"GM0363";"2018SJ00";"       0"
"6871872";"T001038";"11000";"A041922";"1012600";"GM0363";"2018SJ00";"       0"
"6903024";"T001038";"11000";"A041922";"2012655";"GM0363";"2018SJ00";"       0"
"6918600";"T001038";"11000";"A041922";"2012657";"GM0363";"2018SJ00";"       0"
"7043208";"T001038";"11000";"A041923";"1012600";"GM0363";"2018SJ00";"       0"
"7074360";"T001038";"11000";"A041923";"2012655";"GM0363";"2018SJ00";"       0"
"7089936";"T001038";"11000";"A041923";"2012657";"GM0363";"2018SJ00";"       0"
"7214544";"T001038";"11000";"A025289";"1012600";"GM0363";"2018SJ00";"       0"
"7245696";"T001038";"11000";"A025289";"2012655";"GM0363";"2018SJ00";"       0"
"7261272";"T001038";"11000";"A025289";"2012657";"GM0363";"2018SJ00";"       0"
"7385880";"T001038";"11000";"A025300";"1012600";"GM0363";"2018SJ00";"       0"
"7417032";"T001038";"11000";"A025300";"2012655";"GM0363";"2018SJ00";"       0"
"7432608";"T001038";"11000";"A025300";"2012657";"GM0363";"2018SJ00";"       0"
"7557216";"T001038";"11000";"A041867";"1012600";"GM0363";"2018SJ00";"       0"
"7588368";"T001038";"11000";"A041867";"2012655";"GM0363";"2018SJ00";"       0"
"7603944";"T001038";"11000";"A041867";"2012657";"GM0363";"2018SJ00";"       0"
"7728552";"T001038";"11000";"A041868";"1012600";"GM0363";"2018SJ00";"       0"
"7759704";"T001038";"11000";"A041868";"2012655";"GM0363";"2018SJ00";"       0"
"7775280";"T001038";"11000";"A041868";"2012657";"GM0363";"2018SJ00";"       0"
"7899888";"T001038";"11000";"A025293";"1012600";"GM0363";"2018SJ00";"       0"
"7931040";"T001038";"11000";"A025293";"2012655";"GM0363";"2018SJ00";"       0"
"7946616";"T001038";"11000";"A025293";"2012657";"GM0363";"2018SJ00";"       0"
"8071224";"T001038";"11000";"A041751";"1012600";"GM0363";"2018SJ00";"       0"
"8102376";"T001038";"11000";"A041751";"2012655";"GM0363";"2018SJ00";"       0"
"8117952";"T001038";"11000";"A041751";"2012657";"GM0363";"2018SJ00";"       0"
"8242560";"T001038";"11000";"A041755";"1012600";"GM0363";"2018SJ00";"       0"
"8273712";"T001038";"11000";"A041755";"2012655";"GM0363";"2018SJ00";"       0"
"8289288";"T001038";"11000";"A041755";"2012657";"GM0363";"2018SJ00";"       0"
"8413896";"T001038";"11000";"A041759";"1012600";"GM0363";"2018SJ00";"       0"
"8445048";"T001038";"11000";"A041759";"2012655";"GM0363";"2018SJ00";"       0"
"8460624";"T001038";"11000";"A041759";"2012657";"GM0363";"2018SJ00";"       0"
"8585232";"T001038";"11000";"A041924";"1012600";"GM0363";"2018SJ00";"       0"
"8616384";"T001038";"11000";"A041924";"2012655";"GM0363";"2018SJ00";"       0"
"8631960";"T001038";"11000";"A041924";"2012657";"GM0363";"2018SJ00";"       0"
"8756568";"T001038";"11000";"A041925";"1012600";"GM0363";"2018SJ00";"       0"
"8787720";"T001038";"11000";"A041925";"2012655";"GM0363";"2018SJ00";"       0"
"8803296";"T001038";"11000";"A041925";"2012657";"GM0363";"2018SJ00";"       0"
"8927904";"T001038";"11000";"A025294";"1012600";"GM0363";"2018SJ00";"       0"
"8959056";"T001038";"11000";"A025294";"2012655";"GM0363";"2018SJ00";"       0"
"8974632";"T001038";"11000";"A025294";"2012657";"GM0363";"2018SJ00";"       0"
"9099240";"T001038";"11000";"A025297";"1012600";"GM0363";"2018SJ00";"       0"
"9130392";"T001038";"11000";"A025297";"2012655";"GM0363";"2018SJ00";"       0"
"9145968";"T001038";"11000";"A025297";"2012657";"GM0363";"2018SJ00";"       0"
"9270576";"T001038";"11100";"T001345";"1012600";"GM0363";"2018SJ00";"      70"
"9301728";"T001038";"11100";"T001345";"2012655";"GM0363";"2018SJ00";"      51"
"9317304";"T001038";"11100";"T001345";"2012657";"GM0363";"2018SJ00";"      45"
"9441912";"T001038";"11100";"A041919";"1012600";"GM0363";"2018SJ00";"      70"
"9473064";"T001038";"11100";"A041919";"2012655";"GM0363";"2018SJ00";"      51"
"9488640";"T001038";"11100";"A041919";"2012657";"GM0363";"2018SJ00";"      45"
"9613248";"T001038";"11100";"A041920";"1012600";"GM0363";"2018SJ00";"       0"
"9644400";"T001038";"11100";"A041920";"2012655";"GM0363";"2018SJ00";"       0"
"9659976";"T001038";"11100";"A041920";"2012657";"GM0363";"2018SJ00";"       0"
"9784584";"T001038";"11100";"A041921";"1012600";"GM0363";"2018SJ00";"       0"
"9815736";"T001038";"11100";"A041921";"2012655";"GM0363";"2018SJ00";"       0"
"9831312";"T001038";"11100";"A041921";"2012657";"GM0363";"2018SJ00";"       0"
"9955920";"T001038";"11100";"A041922";"1012600";"GM0363";"2018SJ00";"       0"
"9987072";"T001038";"11100";"A041922";"2012655";"GM0363";"2018SJ00";"       0"
"10002648";"T001038";"11100";"A041922";"2012657";"GM0363";"2018SJ00";"       0"
"10127256";"T001038";"11100";"A041923";"1012600";"GM0363";"2018SJ00";"       0"
"10158408";"T001038";"11100";"A041923";"2012655";"GM0363";"2018SJ00";"       0"
"10173984";"T001038";"11100";"A041923";"2012657";"GM0363";"2018SJ00";"       0"
"10298592";"T001038";"11100";"A025289";"1012600";"GM0363";"2018SJ00";"       0"
"10329744";"T001038";"11100";"A025289";"2012655";"GM0363";"2018SJ00";"       0"
"10345320";"T001038";"11100";"A025289";"2012657";"GM0363";"2018SJ00";"       0"
"10469928";"T001038";"11100";"A025300";"1012600";"GM0363";"2018SJ00";"       0"
"10501080";"T001038";"11100";"A025300";"2012655";"GM0363";"2018SJ00";"       0"
"10516656";"T001038";"11100";"A025300";"2012657";"GM0363";"2018SJ00";"       0"
"10641264";"T001038";"11100";"A041867";"1012600";"GM0363";"2018SJ00";"       0"
"10672416";"T001038";"11100";"A041867";"2012655";"GM0363";"2018SJ00";"       0"
"10687992";"T001038";"11100";"A041867";"2012657";"GM0363";"2018SJ00";"       0"
"10812600";"T001038";"11100";"A041868";"1012600";"GM0363";"2018SJ00";"       0"
"10843752";"T001038";"11100";"A041868";"2012655";"GM0363";"2018SJ00";"       0"
"10859328";"T001038";"11100";"A041868";"2012657";"GM0363";"2018SJ00";"       0"
"10983936";"T001038";"11100";"A025293";"1012600";"GM0363";"2018SJ00";"       0"
"11015088";"T001038";"11100";"A025293";"2012655";"GM0363";"2018SJ00";"       0"
"11030664";"T001038";"11100";"A025293";"2012657";"GM0363";"2018SJ00";"       0"
"11155272";"T001038";"11100";"A041751";"1012600";"GM0363";"2018SJ00";"       0"
"11186424";"T001038";"11100";"A041751";"2012655";"GM0363";"2018SJ00";"       0"
"11202000";"T001038";"11100";"A041751";"2012657";"GM0363";"2018SJ00";"       0"
"11326608";"T001038";"11100";"A041755";"1012600";"GM0363";"2018SJ00";"       0"
"11357760";"T001038";"11100";"A041755";"2012655";"GM0363";"2018SJ00";"       0"
"11373336";"T001038";"11100";"A041755";"2012657";"GM0363";"2018SJ00";"       0"
"11497944";"T001038";"11100";"A041759";"1012600";"GM0363";"2018SJ00";"       0"
"11529096";"T001038";"11100";"A041759";"2012655";"GM0363";"2018SJ00";"       0"
"11544672";"T001038";"11100";"A041759";"2012657";"GM0363";"2018SJ00";"       0"
"11669280";"T001038";"11100";"A041924";"1012600";"GM0363";"2018SJ00";"       0"
"11700432";"T001038";"11100";"A041924";"2012655";"GM0363";"2018SJ00";"       0"
"11716008";"T001038";"11100";"A041924";"2012657";"GM0363";"2018SJ00";"       0"
"11840616";"T001038";"11100";"A041925";"1012600";"GM0363";"2018SJ00";"       0"
"11871768";"T001038";"11100";"A041925";"2012655";"GM0363";"2018SJ00";"       0"
"11887344";"T001038";"11100";"A041925";"2012657";"GM0363";"2018SJ00";"       0"
"12011952";"T001038";"11100";"A025294";"1012600";"GM0363";"2018SJ00";"       0"
"12043104";"T001038";"11100";"A025294";"2012655";"GM0363";"2018SJ00";"       0"
"12058680";"T001038";"11100";"A025294";"2012657";"GM0363";"2018SJ00";"       0"
"12183288";"T001038";"11100";"A025297";"1012600";"GM0363";"2018SJ00";"       0"
"12214440";"T001038";"11100";"A025297";"2012655";"GM0363";"2018SJ00";"       0"
"12230016";"T001038";"11100";"A025297";"2012657";"GM0363";"2018SJ00";"       0"
"12354624";"T001038";"11200";"T001345";"1012600";"GM0363";"2018SJ00";"    2094"
"12385776";"T001038";"11200";"T001345";"2012655";"GM0363";"2018SJ00";"     639"
"12401352";"T001038";"11200";"T001345";"2012657";"GM0363";"2018SJ00";"    2528"
"12525960";"T001038";"11200";"A041919";"1012600";"GM0363";"2018SJ00";"    2075"
"12557112";"T001038";"11200";"A041919";"2012655";"GM0363";"2018SJ00";"     630"
"12572688";"T001038";"11200";"A041919";"2012657";"GM0363";"2018SJ00";"    2452"
"12697296";"T001038";"11200";"A041920";"1012600";"GM0363";"2018SJ00";"       1"
"12728448";"T001038";"11200";"A041920";"2012655";"GM0363";"2018SJ00";"       1"
"12744024";"T001038";"11200";"A041920";"2012657";"GM0363";"2018SJ00";"       0"
"12868632";"T001038";"11200";"A041921";"1012600";"GM0363";"2018SJ00";"       0"
"12899784";"T001038";"11200";"A041921";"2012655";"GM0363";"2018SJ00";"       0"
"12915360";"T001038";"11200";"A041921";"2012657";"GM0363";"2018SJ00";"       1"
"13039968";"T001038";"11200";"A041922";"1012600";"GM0363";"2018SJ00";"       0"
"13071120";"T001038";"11200";"A041922";"2012655";"GM0363";"2018SJ00";"       0"
"13086696";"T001038";"11200";"A041922";"2012657";"GM0363";"2018SJ00";"       0"
"13211304";"T001038";"11200";"A041923";"1012600";"GM0363";"2018SJ00";"       0"
"13242456";"T001038";"11200";"A041923";"2012655";"GM0363";"2018SJ00";"       0"
"13258032";"T001038";"11200";"A041923";"2012657";"GM0363";"2018SJ00";"       0"
