"age","male","female","total","age_group","group_propensity"
0,5230,5044,10274,"age_0_15",0.0817980605404373
1,5033,4685,9718,"age_0_15",0.0773713794366332
2,4679,4421,9100,"age_0_15",0.072451075619815
3,4554,4174,8728,"age_0_15",0.0694893393417302
4,4270,4201,8471,"age_0_15",0.0674431935797201
5,4171,3911,8082,"age_0_15",0.0643461091383895
6,4160,3972,8132,"age_0_15",0.0647441919714654
7,4175,4023,8198,"age_0_15",0.0652696613111256
8,4303,4090,8393,"age_0_15",0.0668221843601216
9,4205,3963,8168,"age_0_15",0.0650308116112801
10,4152,3926,8078,"age_0_15",0.0643142625117435
11,3908,3795,7703,"age_0_15",0.0613286412636741
12,3740,3773,7513,"age_0_15",0.0598159264979857
13,3930,3673,7603,"age_0_15",0.0605324755975223
14,3823,3618,7441,"age_0_15",0.0592426872183564
15,3835,3658,7493,"age_15_25",0.0690681832846332
16,3730,3613,7343,"age_15_25",0.0676855291417405
17,3928,3693,7621,"age_15_25",0.0702480481532349
18,4251,4443,8694,"age_15_25",0.0801386341220607
19,4573,5129,9702,"age_15_25",0.0894300699622996
20,5028,5838,10866,"age_15_25",0.100159466111147
21,5394,6540,11934,"age_15_25",0.110003963608543
22,5977,7264,13241,"age_15_25",0.122051490040281
23,6653,8082,14735,"age_15_25",0.135822725303493
24,7635,9223,16858,"age_15_25",0.155391890272567
25,8512,9989,18501,"age_25_45",0.0594757416384842
26,9277,10196,19473,"age_25_45",0.0626004603495056
27,9599,10522,20121,"age_25_45",0.0646836061568532
28,9972,10474,20446,"age_25_45",0.0657283937917111
29,9665,10039,19704,"age_25_45",0.0633430632530508
30,9639,9737,19376,"age_25_45",0.0622886314246403
31,9235,9062,18297,"age_25_45",0.0588199364769118
32,8789,9021,17810,"age_25_45",0.0572543623902169
33,8490,8282,16772,"age_25_45",0.0539174714210398
34,8092,7739,15831,"age_25_45",0.0508924093767279
35,7607,7270,14877,"age_25_45",0.0478255558270217
36,7172,6891,14063,"age_25_45",0.0452087646431005
37,6987,6577,13564,"age_25_45",0.0436046137821955
38,6662,6539,13201,"age_25_45",0.0424376663623388
39,6141,5945,12086,"age_25_45",0.0388532410919799
40,6000,5857,11857,"age_25_45",0.038117067650803
41,5985,5822,11807,"age_25_45",0.0379563310915941
42,5748,5493,11241,"age_25_45",0.0361367932413492
43,5550,5330,10880,"age_25_45",0.0349762752838608
44,5724,5437,11161,"age_25_45",0.0358796147466149
45,5509,5485,10994,"age_45_65",0.052395295194159
46,5875,5533,11408,"age_45_65",0.0543683397830604
47,5923,5781,11704,"age_45_65",0.055779019006043
48,6117,5729,11846,"age_45_65",0.0564557637684198
49,6018,5566,11584,"age_45_65",0.0552071220237528
50,5965,5385,11350,"age_45_65",0.0540919229082868
51,5681,5240,10921,"age_45_65",0.0520473911965991
52,5737,5325,11062,"age_45_65",0.0527193701507902
53,5794,5255,11049,"age_45_65",0.0526574146443754
54,5929,5503,11432,"age_45_65",0.0544827191795185
55,5752,5233,10985,"age_45_65",0.0523524029204873
56,5557,5248,10805,"age_45_65",0.0514945574470519
57,5332,5011,10343,"age_45_65",0.0492927540652344
58,5305,5098,10403,"age_45_65",0.0495787025563795
59,4993,4809,9802,"age_45_65",0.0467144518367425
60,4825,4820,9645,"age_45_65",0.0459662199515794
61,4514,4530,9044,"age_45_65",0.0431019692319424
62,4496,4389,8885,"age_45_65",0.0423442057304078
63,4262,4125,8387,"age_45_65",0.0399708332539032
64,4128,4051,8179,"age_45_65",0.0389795451512668
65,3829,3794,7623,"age_over65",0.0705996758508914
66,3737,3908,7645,"age_over65",0.070803426719148
67,3510,3554,7064,"age_over65",0.0654225515165548
68,3566,3566,7132,"age_over65",0.0660523269275295
69,3226,3416,6642,"age_over65",0.0615142394072702
70,3302,3420,6722,"age_over65",0.0622551516554758
71,3404,3484,6888,"age_over65",0.0637925445705024
72,3408,3605,7013,"age_over65",0.0649502199583237
73,2178,2370,4548,"age_over65",0.0421208613104885
74,2221,2495,4716,"age_over65",0.0436767770317203
75,2119,2252,4371,"age_over65",0.0404815929613336
76,1845,2084,3929,"age_over65",0.0363880527899977
77,1654,1927,3581,"age_over65",0.0331650845103033
78,1709,1955,3664,"age_over65",0.0339337809678166
79,1431,1796,3227,"age_over65",0.0298865478119935
80,1331,1636,2967,"age_over65",0.0274785830053253
81,1151,1439,2590,"age_over65",0.0239870340356564
82,994,1385,2379,"age_over65",0.0220328779810141
83,906,1305,2211,"age_over65",0.0204769622597824
84,751,1207,1958,"age_over65",0.0181338272748321
85,664,1077,1741,"age_over65",0.0161241028015744
86,605,1014,1619,"age_over65",0.0149942116230609
87,514,922,1436,"age_over65",0.0132993748552906
88,443,772,1215,"age_over65",0.0112526047696226
89,319,709,1028,"age_over65",0.009520722389442
90,285,610,895,"age_over65",0.00828895577680019
91,213,549,762,"age_over65",0.00705718916415837
92,174,431,605,"age_over65",0.00560314887705487
93,120,357,477,"age_over65",0.00441768927992591
94,81,321,402,"age_over65",0.00372308404723316
95,64,223,287,"age_over65",0.0026580226904376
96,57,170,227,"age_over65",0.0021023385042834
97,34,108,142,"age_over65",0.00131511924056495
98,23,84,107,"age_over65",0.000990970131974994
99,10,57,67,"age_over65",0.000620514007872193
100,10,39,49,"age_over65",0.000453808752025932
101,3,16,19,"age_over65",0.000175966658948831
102,1,14,15,"age_over65",0.000138921046538551
103,0,9,9,"age_over65",8.33526279231304e-05
104,0,3,3,"age_over65",2.77842093077101e-05
