"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",11,176,15,202
"female","age_over_95",56,596,76,728
"female","age_0_5",8425,10175,4140,22740
"male","age_0_5",8763,10863,3925,23551
"female","age_5_10",8949,7893,3185,20027
"male","age_5_10",9628,8201,3117,20946
"male","age_10_15",9523,7155,2569,19247
"female","age_10_15",9829,6796,2466,19091
"female","age_15_20",10459,7073,2647,20179
"male","age_15_20",11068,6602,3004,20674
"male","age_20_25",12468,12447,5972,30887
"female","age_20_25",12268,16412,8067,36747
"female","age_25_30",15071,21303,10673,47047
"male","age_25_30",15049,23807,12342,51198
"male","age_30_35",14846,18532,10484,43862
"female","age_30_35",15229,17842,11153,44224
"female","age_35_40",13542,13197,8191,34930
"male","age_35_40",13181,11793,7887,32861
"male","age_40_45",11002,11886,6119,29007
"female","age_40_45",11368,10433,6138,27939
"female","age_45_50",10823,12023,5373,28219
"male","age_45_50",10622,13447,5248,29317
"female","age_50_55",9840,13777,4743,28360
"male","age_50_55",10586,12292,4576,27454
"female","age_55_60",8959,12685,3709,25353
"male","age_55_60",9525,13705,3755,26985
"female","age_60_65",7231,11385,3036,21652
"male","age_60_65",6965,12224,3299,22488
"male","age_65_70",4874,10322,2606,17802
"female","age_65_70",4940,10371,2993,18304
"female","age_70_75",2913,9410,2124,14447
"male","age_70_75",2979,10198,2263,15440
"male","age_75_80",1916,5408,1295,8619
"female","age_75_80",2055,6661,1437,10153
"female","age_80_85",1122,3296,797,5215
"male","age_80_85",1040,4771,1079,6890
"male","age_85_90",509,1814,365,2688
"female","age_85_90",366,3368,617,4351
"female","age_90_95",154,705,91,950
"male","age_90_95",77,1806,308,2191
