"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU03630000",1110,645,465,45,145,555,280,100,390,210,770,515,200,45,"     1.4",0,0,0,510
"BU03630001",695,390,305,20,150,340,125,70,245,120,510,350,130,30,"     1.4",0,0,0,330
"BU03630002",1645,860,785,90,290,775,325,180,560,340,1145,755,280,100,"     1.4",0,0,0,745
"BU03630003",365,200,165,25,65,190,75,30,140,45,245,150,70,25,"     1.5",0,0,0,180
"BU03630004",690,380,310,40,140,290,150,80,190,105,505,370,90,40,"     1.4",0,0,0,395
"BU03630100",5,5,0,5,5,5,0,0,5,0,0,0,0,0,"     1.8",0,0,0,0
"BU03630101",555,320,235,25,75,305,125,40,210,85,400,270,105,20,"     1.4",0,0,0,260
"BU03630102",450,260,190,15,80,250,95,20,185,110,335,240,70,20,"     1.3",0,0,0,155
"BU03630103",805,440,365,30,120,440,160,70,300,130,555,350,170,35,"     1.4",0,0,0,375
"BU03630104",765,445,320,45,135,405,150,45,265,160,515,325,155,35,"     1.5",0,0,0,340
"BU03630105",720,405,315,40,105,360,155,70,280,115,520,365,115,35,"     1.4",0,0,0,325
"BU03630106",410,170,240,10,60,210,80,70,130,75,330,255,60,5,"     1.2",0,0,0,205
"BU03630107",295,170,125,10,65,155,55,20,115,60,205,135,60,10,"     1.4",0,0,0,120
"BU03630200",1865,990,875,185,200,590,515,390,625,165,1145,665,305,170,"     1.6",0,0,0,1075
"BU03630201",1800,905,895,110,355,630,445,265,650,235,1200,785,290,120,"     1.5",0,0,0,915
"BU03630202",2020,1070,945,120,230,785,575,320,740,235,1315,805,360,145,"     1.5",0,0,0,1045
"BU03630203",675,360,310,45,80,255,185,120,210,90,430,260,120,50,"     1.6",0,0,0,375
"BU03630300",800,445,350,75,95,325,210,105,305,140,480,265,135,75,"     1.7",0,0,0,355
"BU03630301",145,85,60,15,25,60,30,30,55,15,90,50,30,5,"     1.6",0,0,0,75
"BU03630302",1405,720,685,105,205,460,390,260,425,130,865,520,215,125,"     1.6",0,0,0,850
"BU03630303",1530,805,720,150,190,500,450,250,450,190,925,560,220,145,"     1.7",0,0,0,890
"BU03630304",455,265,185,25,50,270,85,45,165,100,315,205,90,20,"     1.4",0,0,0,190
"BU03630305",395,220,170,25,95,230,50,10,205,75,275,175,75,20,"     1.4",0,0,0,115
"BU03630306",640,365,275,45,80,250,165,110,265,50,395,230,110,45,"     1.6",0,0,0,325
"BU03630400",460,265,195,60,30,195,130,50,120,125,255,120,80,50,"     1.8",0,0,0,215
"BU03630401",720,355,360,55,120,275,170,110,220,60,440,250,130,60,"     1.6",0,0,0,440
"BU03630402",985,485,500,100,225,350,225,100,350,160,625,380,155,90,"     1.6",0,0,0,475
"BU03630403",1075,555,520,95,110,420,295,165,300,135,685,400,185,95,"     1.6",0,0,0,640
"BU03630404",1595,770,820,120,140,400,500,450,380,245,1025,680,195,150,"     1.5",0,0,0,970
"BU03630405",1230,660,570,85,125,460,365,210,365,260,805,490,200,110,"     1.5",0,0,0,605
"BU03630406",1190,605,580,100,140,375,310,280,355,205,800,535,160,95,"     1.5",0,0,0,630
"BU03630407",1495,840,650,85,150,470,470,335,410,195,1035,700,215,115,"     1.4",0,0,0,890
"BU03630408",860,450,410,65,110,295,230,175,260,150,590,400,125,65,"     1.5",0,0,0,450
"BU03630500",1840,940,900,240,135,540,540,395,420,475,990,450,320,220,"     1.9",0,0,0,945
"BU03630501",1475,750,725,100,160,555,415,255,405,220,970,615,230,120,"     1.5",0,0,0,850
"BU03630502",2425,1240,1185,215,235,820,725,440,640,460,1490,915,325,245,"     1.6",0,0,0,1325
"BU03630503",2900,1410,1490,305,245,910,900,555,775,430,1805,1110,385,305,"     1.6",0,0,0,1695
"BU03630505",350,180,170,30,30,175,95,35,110,70,255,180,40,30,"     1.4",0,0,0,170
