"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"936";"GM0363    ";"Gemeente  ";"GM0363    ";"  873338";"  433550";"  439788";"  123066";"  109208";"  317606";"  210029";"  113429";"  173395";"  317131";"  474875";"  256596";"  104309";"  113970";"     1.8";"       .";"       .";"       ."
"937";"WK036300  ";"Wijk      ";"WK036300  ";"    4520";"    2480";"    2035";"     210";"     785";"    2145";"     945";"     450";"    1525";"     815";"    3180";"    2150";"     780";"     245";"     1.4";"       .";"       .";"       ."
"938";"BU03630000";"Buurt     ";"BU03630000";"    1110";"     645";"     465";"      45";"     145";"     555";"     280";"     100";"     390";"     210";"     770";"     515";"     200";"      45";"     1.4";"       .";"       .";"       ."
"939";"BU03630001";"Buurt     ";"BU03630001";"     695";"     390";"     305";"      20";"     150";"     340";"     125";"      70";"     245";"     120";"     510";"     350";"     130";"      30";"     1.4";"       .";"       .";"       ."
"940";"BU03630002";"Buurt     ";"BU03630002";"    1645";"     860";"     785";"      90";"     290";"     775";"     325";"     180";"     560";"     340";"    1145";"     755";"     280";"     100";"     1.4";"       .";"       .";"       ."
"941";"BU03630003";"Buurt     ";"BU03630003";"     365";"     200";"     165";"      25";"      65";"     190";"      75";"      30";"     140";"      45";"     245";"     150";"      70";"      25";"     1.5";"       .";"       .";"       ."
"942";"BU03630004";"Buurt     ";"BU03630004";"     690";"     380";"     310";"      40";"     140";"     290";"     150";"      80";"     190";"     105";"     505";"     370";"      90";"      40";"     1.4";"       .";"       .";"       ."
"943";"WK036301  ";"Wijk      ";"WK036301  ";"    4020";"    2225";"    1795";"     165";"     625";"    2115";"     810";"     325";"    1490";"     735";"    2875";"    1950";"     745";"     175";"     1.4";"       .";"       .";"       ."
"944";"BU03630100";"Buurt     ";"BU03630100";"       5";"       5";"       0";"       5";"       5";"       5";"       0";"       0";"       5";"       0";"       0";"       0";"       0";"       0";"     1.8";"       .";"       .";"       ."
"945";"BU03630101";"Buurt     ";"BU03630101";"     555";"     320";"     235";"      25";"      75";"     305";"     125";"      40";"     210";"      85";"     400";"     270";"     105";"      20";"     1.4";"       .";"       .";"       ."
"946";"BU03630102";"Buurt     ";"BU03630102";"     450";"     260";"     190";"      15";"      80";"     250";"      95";"      20";"     185";"     110";"     335";"     240";"      70";"      20";"     1.3";"       .";"       .";"       ."
"947";"BU03630103";"Buurt     ";"BU03630103";"     805";"     440";"     365";"      30";"     120";"     440";"     160";"      70";"     300";"     130";"     555";"     350";"     170";"      35";"     1.4";"       .";"       .";"       ."
"948";"BU03630104";"Buurt     ";"BU03630104";"     765";"     445";"     320";"      45";"     135";"     405";"     150";"      45";"     265";"     160";"     515";"     325";"     155";"      35";"     1.5";"       .";"       .";"       ."
"949";"BU03630105";"Buurt     ";"BU03630105";"     720";"     405";"     315";"      40";"     105";"     360";"     155";"      70";"     280";"     115";"     520";"     365";"     115";"      35";"     1.4";"       .";"       .";"       ."
"950";"BU03630106";"Buurt     ";"BU03630106";"     410";"     170";"     240";"      10";"      60";"     210";"      80";"      70";"     130";"      75";"     330";"     255";"      60";"       5";"     1.2";"       .";"       .";"       ."
"951";"BU03630107";"Buurt     ";"BU03630107";"     295";"     170";"     125";"      10";"      65";"     155";"      55";"      20";"     115";"      60";"     205";"     135";"      60";"      10";"     1.4";"       .";"       .";"       ."
"952";"WK036302  ";"Wijk      ";"WK036302  ";"    6365";"    3330";"    3030";"     455";"     860";"    2250";"    1715";"    1095";"    2220";"     720";"    4095";"    2520";"    1080";"     490";"     1.6";"       .";"       .";"       ."
"953";"BU03630200";"Buurt     ";"BU03630200";"    1865";"     990";"     875";"     185";"     200";"     590";"     515";"     390";"     625";"     165";"    1145";"     665";"     305";"     170";"     1.6";"       .";"       .";"       ."
"954";"BU03630201";"Buurt     ";"BU03630201";"    1800";"     905";"     895";"     110";"     355";"     630";"     445";"     265";"     650";"     235";"    1200";"     785";"     290";"     120";"     1.5";"       .";"       .";"       ."
"955";"BU03630202";"Buurt     ";"BU03630202";"    2020";"    1070";"     945";"     120";"     230";"     785";"     575";"     320";"     740";"     235";"    1315";"     805";"     360";"     145";"     1.5";"       .";"       .";"       ."
"956";"BU03630203";"Buurt     ";"BU03630203";"     675";"     360";"     310";"      45";"      80";"     255";"     185";"     120";"     210";"      90";"     430";"     260";"     120";"      50";"     1.6";"       .";"       .";"       ."
