"age_group","gender","migration_background","high","low","middle","total","no_current_edu"
"age_15_20","female","Dutch",1689,563,3852,7097,993
"age_15_20","female","Non_Western",1643,2019,5738,10398,998
"age_15_20","female","Western",1313,245,1165,2899,176
"age_15_20","male","Dutch",1146,701,3849,6841,1145
"age_15_20","male","Non_Western",1187,2575,5531,10905,1612
"age_15_20","male","Western",737,320,1134,3399,1208
"age_20_25","female","Dutch",9302,8,568,15472,5594
"age_20_25","female","Non_Western",5441,49,2069,12711,5152
"age_20_25","female","Western",4737,2,151,8663,3773
"age_20_25","male","Dutch",6255,10,546,11552,4741
"age_20_25","male","Non_Western",3960,100,2062,12876,6754
"age_20_25","male","Western",2978,3,196,6395,3218
"age_25_30","female","Dutch",3303,0,94,20614,17217
"age_25_30","female","Non_Western",2110,36,374,14885,12365
"age_25_30","female","Western",1507,0,14,11385,9864
"age_25_30","male","Dutch",3390,1,118,23295,19786
"age_25_30","male","Non_Western",1901,55,334,15201,12911
"age_25_30","male","Western",1278,0,32,12995,11685
"age_30_35","female","Dutch",439,0,37,17618,17142
"age_30_35","female","Non_Western",564,11,153,16094,15366
"age_30_35","female","Western",294,0,12,12380,12074
"age_30_35","male","Dutch",525,1,42,18573,18005
"age_30_35","male","Non_Western",487,24,130,15425,14784
"age_30_35","male","Western",273,0,14,11912,11625
"age_35_40","female","Dutch",166,0,27,12630,12437
"age_35_40","female","Non_Western",226,18,175,14228,13809
"age_35_40","female","Western",130,1,12,8971,8828
"age_35_40","male","Dutch",172,0,27,11142,10943
"age_35_40","male","Non_Western",169,16,100,14287,14002
"age_35_40","male","Western",90,0,10,8706,8606
"age_40_45","female","Dutch",116,0,25,9687,9546
"age_40_45","female","Non_Western",108,13,130,12051,11800
"age_40_45","female","Western",68,1,15,6486,6402
"age_40_45","male","Dutch",88,4,23,10844,10729
"age_40_45","male","Non_Western",51,13,51,11543,11428
"age_40_45","male","Western",42,0,5,6654,6607
"age_45_50","female","Dutch",93,0,22,10695,10580
"age_45_50","female","Non_Western",70,5,86,10952,10791
"age_45_50","female","Western",44,1,8,5479,5426
"age_45_50","male","Dutch",59,3,22,11695,11611
"age_45_50","male","Non_Western",30,9,27,10571,10505
"age_45_50","male","Western",18,1,5,5339,5315
"age_over_50","female","Dutch",165,1,48,72364,72150
"age_over_50","female","Non_Western",60,8,104,40632,40460
"age_over_50","female","Western",62,1,15,20688,20610
"age_over_50","male","Dutch",137,7,26,72949,72779
"age_over_50","male","Non_Western",32,33,36,41597,41496
"age_over_50","male","Western",26,1,8,20497,20462
