"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1";"GemiddeldeBevolking_2"
"3043";"T001038";"10000";"T001019";"GM0363";"2021JJ00";"  873338";"877985.5"
"158968";"T001038";"10010";"T001019";"GM0363";"2021JJ00";"    9898";"  5140.5"
"314893";"T001038";"10100";"T001019";"GM0363";"2021JJ00";"    9322";"  9478.5"
"470818";"T001038";"10200";"T001019";"GM0363";"2021JJ00";"    8721";"  8879.5"
"626743";"T001038";"10300";"T001019";"GM0363";"2021JJ00";"    8440";"  8410.5"
"782668";"T001038";"10400";"T001019";"GM0363";"2021JJ00";"    8181";"  8203.5"
"938593";"T001038";"10500";"T001019";"GM0363";"2021JJ00";"    8030";"  8017.5"
"1094518";"T001038";"10600";"T001019";"GM0363";"2021JJ00";"    7925";"  7886.5"
"1250443";"T001038";"10700";"T001019";"GM0363";"2021JJ00";"    7744";"  7818.5"
"1406368";"T001038";"10800";"T001019";"GM0363";"2021JJ00";"    7756";"  7672.0"
"1562293";"T001038";"10900";"T001019";"GM0363";"2021JJ00";"    7884";"  7704.5"
"1718218";"T001038";"11000";"T001019";"GM0363";"2021JJ00";"    8164";"  7832.5"
"1874143";"T001038";"11100";"T001019";"GM0363";"2021JJ00";"    8015";"  8135.0"
"2030068";"T001038";"11200";"T001019";"GM0363";"2021JJ00";"    7903";"  7969.5"
"2185993";"T001038";"11300";"T001019";"GM0363";"2021JJ00";"    7604";"  7875.5"
"2341918";"T001038";"11400";"T001019";"GM0363";"2021JJ00";"    7479";"  7590.5"
"2497843";"T001038";"11500";"T001019";"GM0363";"2021JJ00";"    7617";"  7484.0"
"2653768";"T001038";"11600";"T001019";"GM0363";"2021JJ00";"    7498";"  7637.5"
"2809693";"T001038";"11700";"T001019";"GM0363";"2021JJ00";"    7647";"  7553.5"
"2965618";"T001038";"11800";"T001019";"GM0363";"2021JJ00";"    8503";"  8430.5"
"3121543";"T001038";"11900";"T001019";"GM0363";"2021JJ00";"   10274";"  9784.5"
"3277468";"T001038";"12000";"T001019";"GM0363";"2021JJ00";"   11461";" 11272.0"
"3433393";"T001038";"12100";"T001019";"GM0363";"2021JJ00";"   12230";" 12403.0"
"3589318";"T001038";"12200";"T001019";"GM0363";"2021JJ00";"   13149";" 13153.5"
"3745243";"T001038";"12300";"T001019";"GM0363";"2021JJ00";"   14613";" 14329.0"
"3901168";"T001038";"12400";"T001019";"GM0363";"2021JJ00";"   16216";" 15746.5"
"4057093";"T001038";"12500";"T001019";"GM0363";"2021JJ00";"   17521";" 17256.0"
"4213018";"T001038";"12600";"T001019";"GM0363";"2021JJ00";"   19298";" 18317.5"
"4368943";"T001038";"12700";"T001019";"GM0363";"2021JJ00";"   20256";" 19850.5"
"4524868";"T001038";"12800";"T001019";"GM0363";"2021JJ00";"   20649";" 20599.5"
"4680793";"T001038";"12900";"T001019";"GM0363";"2021JJ00";"   20651";" 20721.0"
"4836718";"T001038";"13000";"T001019";"GM0363";"2021JJ00";"   20251";" 20521.0"
"4992643";"T001038";"13100";"T001019";"GM0363";"2021JJ00";"   19235";" 19942.0"
"5148568";"T001038";"13200";"T001019";"GM0363";"2021JJ00";"   18601";" 18913.5"
"5304493";"T001038";"13300";"T001019";"GM0363";"2021JJ00";"   17244";" 18249.5"
"5460418";"T001038";"13400";"T001019";"GM0363";"2021JJ00";"   16671";" 16817.0"
"5616343";"T001038";"13500";"T001019";"GM0363";"2021JJ00";"   15576";" 16259.5"
"5772268";"T001038";"13600";"T001019";"GM0363";"2021JJ00";"   14576";" 15243.5"
"5928193";"T001038";"13700";"T001019";"GM0363";"2021JJ00";"   13866";" 14295.5"
"6084118";"T001038";"13800";"T001019";"GM0363";"2021JJ00";"   13200";" 13576.5"
"6240043";"T001038";"13900";"T001019";"GM0363";"2021JJ00";"   12746";" 12998.5"
"6395968";"T001038";"14000";"T001019";"GM0363";"2021JJ00";"   12421";" 12531.0"
"6551893";"T001038";"14100";"T001019";"GM0363";"2021JJ00";"   11426";" 12226.0"
"6707818";"T001038";"14200";"T001019";"GM0363";"2021JJ00";"   11239";" 11271.0"
"6863743";"T001038";"14300";"T001019";"GM0363";"2021JJ00";"   11334";" 11118.0"
"7019668";"T001038";"14400";"T001019";"GM0363";"2021JJ00";"   10845";" 11175.0"
"7175593";"T001038";"14500";"T001019";"GM0363";"2021JJ00";"   10542";" 10743.0"
"7331518";"T001038";"14600";"T001019";"GM0363";"2021JJ00";"   10866";" 10455.5"
"7487443";"T001038";"14700";"T001019";"GM0363";"2021JJ00";"   10727";" 10782.5"
"7643368";"T001038";"14800";"T001019";"GM0363";"2021JJ00";"   11089";" 10663.0"
"7799293";"T001038";"14900";"T001019";"GM0363";"2021JJ00";"   11507";" 11002.0"
"7955218";"T001038";"15000";"T001019";"GM0363";"2021JJ00";"   11598";" 11410.5"
"8111143";"T001038";"15100";"T001019";"GM0363";"2021JJ00";"   11347";" 11532.0"
"8267068";"T001038";"15200";"T001019";"GM0363";"2021JJ00";"   11099";" 11272.5"
"8422993";"T001038";"15300";"T001019";"GM0363";"2021JJ00";"   10719";" 11007.0"
"8578918";"T001038";"15400";"T001019";"GM0363";"2021JJ00";"   10832";" 10657.0"
"8734843";"T001038";"15500";"T001019";"GM0363";"2021JJ00";"   10804";" 10783.5"
"8890768";"T001038";"15600";"T001019";"GM0363";"2021JJ00";"   11169";" 10724.5"
"9046693";"T001038";"15700";"T001019";"GM0363";"2021JJ00";"   10751";" 11107.0"
"9202618";"T001038";"15800";"T001019";"GM0363";"2021JJ00";"   10600";" 10672.0"
"9358543";"T001038";"15900";"T001019";"GM0363";"2021JJ00";"   10032";" 10513.0"
"9514468";"T001038";"16000";"T001019";"GM0363";"2021JJ00";"   10167";"  9955.0"
"9670393";"T001038";"16100";"T001019";"GM0363";"2021JJ00";"    9519";" 10092.5"
"9826318";"T001038";"16200";"T001019";"GM0363";"2021JJ00";"    9324";"  9433.5"
"9982243";"T001038";"16300";"T001019";"GM0363";"2021JJ00";"    8779";"  9218.5"
"10138168";"T001038";"16400";"T001019";"GM0363";"2021JJ00";"    8558";"  8680.5"
"10294093";"T001038";"16500";"T001019";"GM0363";"2021JJ00";"    8065";"  8464.5"
"10450018";"T001038";"16600";"T001019";"GM0363";"2021JJ00";"    7842";"  7962.5"
"10605943";"T001038";"16700";"T001019";"GM0363";"2021JJ00";"    7284";"  7734.5"
"10761868";"T001038";"16800";"T001019";"GM0363";"2021JJ00";"    7301";"  7188.5"
"10917793";"T001038";"16900";"T001019";"GM0363";"2021JJ00";"    6739";"  7212.0"
"11073718";"T001038";"17000";"T001019";"GM0363";"2021JJ00";"    6816";"  6650.5"
"11229643";"T001038";"17100";"T001019";"GM0363";"2021JJ00";"    6314";"  6717.5"
"11385568";"T001038";"17200";"T001019";"GM0363";"2021JJ00";"    6352";"  6201.5"
"11541493";"T001038";"17300";"T001019";"GM0363";"2021JJ00";"    6512";"  6244.5"
"11697418";"T001038";"17400";"T001019";"GM0363";"2021JJ00";"    6603";"  6404.5"
"11853343";"T001038";"17500";"T001019";"GM0363";"2021JJ00";"    4258";"  6480.5"
"12009268";"T001038";"17600";"T001019";"GM0363";"2021JJ00";"    4356";"  4162.0"
"12165193";"T001038";"17700";"T001019";"GM0363";"2021JJ00";"    4035";"  4259.0"
"12321118";"T001038";"17800";"T001019";"GM0363";"2021JJ00";"    3592";"  3924.0"
"12477043";"T001038";"17900";"T001019";"GM0363";"2021JJ00";"    3260";"  3506.0"
"12632968";"T001038";"18000";"T001019";"GM0363";"2021JJ00";"    3321";"  3168.0"
"12788893";"T001038";"18100";"T001019";"GM0363";"2021JJ00";"    2892";"  3211.0"
"12944818";"T001038";"18200";"T001019";"GM0363";"2021JJ00";"    2601";"  2794.5"
"13100743";"T001038";"18300";"T001019";"GM0363";"2021JJ00";"    2224";"  2497.0"
"13256668";"T001038";"18400";"T001019";"GM0363";"2021JJ00";"    2046";"  2131.0"
"13412593";"T001038";"18500";"T001019";"GM0363";"2021JJ00";"    1845";"  1948.0"
"13568518";"T001038";"18600";"T001019";"GM0363";"2021JJ00";"    1578";"  1757.0"
"13724443";"T001038";"18700";"T001019";"GM0363";"2021JJ00";"    1355";"  1480.0"
"13880368";"T001038";"18800";"T001019";"GM0363";"2021JJ00";"    1247";"  1255.5"
"14036293";"T001038";"18900";"T001019";"GM0363";"2021JJ00";"    1066";"  1158.5"
"14192218";"T001038";"19000";"T001019";"GM0363";"2021JJ00";"     886";"   989.0"
"14348143";"T001038";"19100";"T001019";"GM0363";"2021JJ00";"     724";"   812.0"
"14504068";"T001038";"19200";"T001019";"GM0363";"2021JJ00";"     595";"   654.0"
"14659993";"T001038";"19300";"T001019";"GM0363";"2021JJ00";"     485";"   533.0"
"14815918";"T001038";"19400";"T001019";"GM0363";"2021JJ00";"     335";"   432.5"
"14971843";"T001038";"22000";"T001019";"GM0363";"2021JJ00";"     900";"  1057.0"
