"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"54949";"T001038";"10000";"1012600";"2013356";"GM0363";"2021JJ00";""
"122419";"T001038";"10000";"2012655";"2013356";"GM0363";"2021JJ00";"  115070"
"156154";"T001038";"10000";"2012657";"2013356";"GM0363";"2021JJ00";"  180093"
"2112784";"T001038";"70100";"1012600";"2013356";"GM0363";"2021JJ00";""
"2180254";"T001038";"70100";"2012655";"2013356";"GM0363";"2021JJ00";"    1561"
"2213989";"T001038";"70100";"2012657";"2013356";"GM0363";"2021JJ00";"    1069"
"4170619";"T001038";"70200";"1012600";"2013356";"GM0363";"2021JJ00";""
"4238089";"T001038";"70200";"2012655";"2013356";"GM0363";"2021JJ00";"    2221"
"4271824";"T001038";"70200";"2012657";"2013356";"GM0363";"2021JJ00";"    2149"
"6228454";"T001038";"70300";"1012600";"2013356";"GM0363";"2021JJ00";""
"6295924";"T001038";"70300";"2012655";"2013356";"GM0363";"2021JJ00";"    1928"
"6329659";"T001038";"70300";"2012657";"2013356";"GM0363";"2021JJ00";"    2170"
"8286289";"T001038";"70400";"1012600";"2013356";"GM0363";"2021JJ00";""
"8353759";"T001038";"70400";"2012655";"2013356";"GM0363";"2021JJ00";"    3225"
"8387494";"T001038";"70400";"2012657";"2013356";"GM0363";"2021JJ00";"    3121"
"10344124";"T001038";"70500";"1012600";"2013356";"GM0363";"2021JJ00";""
"10411594";"T001038";"70500";"2012655";"2013356";"GM0363";"2021JJ00";"   11211"
"10445329";"T001038";"70500";"2012657";"2013356";"GM0363";"2021JJ00";"    7493"
"12401959";"T001038";"70600";"1012600";"2013356";"GM0363";"2021JJ00";""
"12469429";"T001038";"70600";"2012655";"2013356";"GM0363";"2021JJ00";"   19210"
"12503164";"T001038";"70600";"2012657";"2013356";"GM0363";"2021JJ00";"   13057"
"14459794";"T001038";"70700";"1012600";"2013356";"GM0363";"2021JJ00";""
"14527264";"T001038";"70700";"2012655";"2013356";"GM0363";"2021JJ00";"   19707"
"14560999";"T001038";"70700";"2012657";"2013356";"GM0363";"2021JJ00";"   17963"
"16517629";"T001038";"70800";"1012600";"2013356";"GM0363";"2021JJ00";""
"16585099";"T001038";"70800";"2012655";"2013356";"GM0363";"2021JJ00";"   14036"
"16618834";"T001038";"70800";"2012657";"2013356";"GM0363";"2021JJ00";"   17854"
"18575464";"T001038";"70900";"1012600";"2013356";"GM0363";"2021JJ00";""
"18642934";"T001038";"70900";"2012655";"2013356";"GM0363";"2021JJ00";"   10017"
"18676669";"T001038";"70900";"2012657";"2013356";"GM0363";"2021JJ00";"   17025"
"20633299";"T001038";"71000";"1012600";"2013356";"GM0363";"2021JJ00";""
"20700769";"T001038";"71000";"2012655";"2013356";"GM0363";"2021JJ00";"    7628"
"20734504";"T001038";"71000";"2012657";"2013356";"GM0363";"2021JJ00";"   18800"
"22691134";"T001038";"71100";"1012600";"2013356";"GM0363";"2021JJ00";""
"22758604";"T001038";"71100";"2012655";"2013356";"GM0363";"2021JJ00";"    6108"
"22792339";"T001038";"71100";"2012657";"2013356";"GM0363";"2021JJ00";"   19211"
"24748969";"T001038";"71200";"1012600";"2013356";"GM0363";"2021JJ00";""
"24816439";"T001038";"71200";"2012655";"2013356";"GM0363";"2021JJ00";"    4606"
"24850174";"T001038";"71200";"2012657";"2013356";"GM0363";"2021JJ00";"   18624"
"26806804";"T001038";"71300";"1012600";"2013356";"GM0363";"2021JJ00";""
"26874274";"T001038";"71300";"2012655";"2013356";"GM0363";"2021JJ00";"    3568"
"26908009";"T001038";"71300";"2012657";"2013356";"GM0363";"2021JJ00";"   15544"
"28864639";"T001038";"71400";"1012600";"2013356";"GM0363";"2021JJ00";""
"28932109";"T001038";"71400";"2012655";"2013356";"GM0363";"2021JJ00";"    3252"
"28965844";"T001038";"71400";"2012657";"2013356";"GM0363";"2021JJ00";"   10982"
"30922474";"T001038";"71500";"1012600";"2013356";"GM0363";"2021JJ00";""
"30989944";"T001038";"71500";"2012655";"2013356";"GM0363";"2021JJ00";"    3020"
"31023679";"T001038";"71500";"2012657";"2013356";"GM0363";"2021JJ00";"    7005"
"32980309";"T001038";"71600";"1012600";"2013356";"GM0363";"2021JJ00";""
"33047779";"T001038";"71600";"2012655";"2013356";"GM0363";"2021JJ00";"    1642"
"33081514";"T001038";"71600";"2012657";"2013356";"GM0363";"2021JJ00";"    4112"
"35038144";"T001038";"71700";"1012600";"2013356";"GM0363";"2021JJ00";""
"35105614";"T001038";"71700";"2012655";"2013356";"GM0363";"2021JJ00";"    1181"
"35139349";"T001038";"71700";"2012657";"2013356";"GM0363";"2021JJ00";"    2558"
"37095979";"T001038";"71800";"1012600";"2013356";"GM0363";"2021JJ00";""
"37163449";"T001038";"71800";"2012655";"2013356";"GM0363";"2021JJ00";"     589"
"37197184";"T001038";"71800";"2012657";"2013356";"GM0363";"2021JJ00";"    1010"
"39153814";"T001038";"71900";"1012600";"2013356";"GM0363";"2021JJ00";""
"39221284";"T001038";"71900";"2012655";"2013356";"GM0363";"2021JJ00";"     290"
"39255019";"T001038";"71900";"2012657";"2013356";"GM0363";"2021JJ00";"     293"
"41211649";"T001038";"22000";"1012600";"2013356";"GM0363";"2021JJ00";""
"41279119";"T001038";"22000";"2012655";"2013356";"GM0363";"2021JJ00";"      70"
"41312854";"T001038";"22000";"2012657";"2013356";"GM0363";"2021JJ00";"      53"
"43269484";"3000   ";"10000";"1012600";"2013356";"GM0363";"2021JJ00";""
"43336954";"3000   ";"10000";"2012655";"2013356";"GM0363";"2021JJ00";"   55016"
"43370689";"3000   ";"10000";"2012657";"2013356";"GM0363";"2021JJ00";"   90504"
"45327319";"3000   ";"70100";"1012600";"2013356";"GM0363";"2021JJ00";""
"45394789";"3000   ";"70100";"2012655";"2013356";"GM0363";"2021JJ00";"     797"
"45428524";"3000   ";"70100";"2012657";"2013356";"GM0363";"2021JJ00";"     577"
"47385154";"3000   ";"70200";"1012600";"2013356";"GM0363";"2021JJ00";""
"47452624";"3000   ";"70200";"2012655";"2013356";"GM0363";"2021JJ00";"    1108"
"47486359";"3000   ";"70200";"2012657";"2013356";"GM0363";"2021JJ00";"    1104"
"49442989";"3000   ";"70300";"1012600";"2013356";"GM0363";"2021JJ00";""
"49510459";"3000   ";"70300";"2012655";"2013356";"GM0363";"2021JJ00";"     957"
"49544194";"3000   ";"70300";"2012657";"2013356";"GM0363";"2021JJ00";"    1130"
"51500824";"3000   ";"70400";"1012600";"2013356";"GM0363";"2021JJ00";""
"51568294";"3000   ";"70400";"2012655";"2013356";"GM0363";"2021JJ00";"    1365"
"51602029";"3000   ";"70400";"2012657";"2013356";"GM0363";"2021JJ00";"    1554"
"53558659";"3000   ";"70500";"1012600";"2013356";"GM0363";"2021JJ00";""
"53626129";"3000   ";"70500";"2012655";"2013356";"GM0363";"2021JJ00";"    4617"
"53659864";"3000   ";"70500";"2012657";"2013356";"GM0363";"2021JJ00";"    3759"
"55616494";"3000   ";"70600";"1012600";"2013356";"GM0363";"2021JJ00";""
"55683964";"3000   ";"70600";"2012655";"2013356";"GM0363";"2021JJ00";"    8916"
"55717699";"3000   ";"70600";"2012657";"2013356";"GM0363";"2021JJ00";"    6593"
"57674329";"3000   ";"70700";"1012600";"2013356";"GM0363";"2021JJ00";""
"57741799";"3000   ";"70700";"2012655";"2013356";"GM0363";"2021JJ00";"    9670"
"57775534";"3000   ";"70700";"2012657";"2013356";"GM0363";"2021JJ00";"    9253"
"59732164";"3000   ";"70800";"1012600";"2013356";"GM0363";"2021JJ00";""
"59799634";"3000   ";"70800";"2012655";"2013356";"GM0363";"2021JJ00";"    6990"
"59833369";"3000   ";"70800";"2012657";"2013356";"GM0363";"2021JJ00";"    8992"
"61789999";"3000   ";"70900";"1012600";"2013356";"GM0363";"2021JJ00";""
"61857469";"3000   ";"70900";"2012655";"2013356";"GM0363";"2021JJ00";"    5063"
"61891204";"3000   ";"70900";"2012657";"2013356";"GM0363";"2021JJ00";"    8326"
"63847834";"3000   ";"71000";"1012600";"2013356";"GM0363";"2021JJ00";""
"63915304";"3000   ";"71000";"2012655";"2013356";"GM0363";"2021JJ00";"    3856"
"63949039";"3000   ";"71000";"2012657";"2013356";"GM0363";"2021JJ00";"    9211"
"65905669";"3000   ";"71100";"1012600";"2013356";"GM0363";"2021JJ00";""
"65973139";"3000   ";"71100";"2012655";"2013356";"GM0363";"2021JJ00";"    3113"
"66006874";"3000   ";"71100";"2012657";"2013356";"GM0363";"2021JJ00";"    9860"
"67963504";"3000   ";"71200";"1012600";"2013356";"GM0363";"2021JJ00";""
"68030974";"3000   ";"71200";"2012655";"2013356";"GM0363";"2021JJ00";"    2375"
"68064709";"3000   ";"71200";"2012657";"2013356";"GM0363";"2021JJ00";"    9654"
"70021339";"3000   ";"71300";"1012600";"2013356";"GM0363";"2021JJ00";""
"70088809";"3000   ";"71300";"2012655";"2013356";"GM0363";"2021JJ00";"    1670"
"70122544";"3000   ";"71300";"2012657";"2013356";"GM0363";"2021JJ00";"    7664"
"72079174";"3000   ";"71400";"1012600";"2013356";"GM0363";"2021JJ00";""
"72146644";"3000   ";"71400";"2012655";"2013356";"GM0363";"2021JJ00";"    1425"
"72180379";"3000   ";"71400";"2012657";"2013356";"GM0363";"2021JJ00";"    5442"
"74137009";"3000   ";"71500";"1012600";"2013356";"GM0363";"2021JJ00";""
"74204479";"3000   ";"71500";"2012655";"2013356";"GM0363";"2021JJ00";"    1426"
"74238214";"3000   ";"71500";"2012657";"2013356";"GM0363";"2021JJ00";"    3510"
"76194844";"3000   ";"71600";"1012600";"2013356";"GM0363";"2021JJ00";""
"76262314";"3000   ";"71600";"2012655";"2013356";"GM0363";"2021JJ00";"     804"
"76296049";"3000   ";"71600";"2012657";"2013356";"GM0363";"2021JJ00";"    2072"
"78252679";"3000   ";"71700";"1012600";"2013356";"GM0363";"2021JJ00";""
"78320149";"3000   ";"71700";"2012655";"2013356";"GM0363";"2021JJ00";"     551"
"78353884";"3000   ";"71700";"2012657";"2013356";"GM0363";"2021JJ00";"    1255"
"80310514";"3000   ";"71800";"1012600";"2013356";"GM0363";"2021JJ00";""
"80377984";"3000   ";"71800";"2012655";"2013356";"GM0363";"2021JJ00";"     215"
"80411719";"3000   ";"71800";"2012657";"2013356";"GM0363";"2021JJ00";"     433"
"82368349";"3000   ";"71900";"1012600";"2013356";"GM0363";"2021JJ00";""
"82435819";"3000   ";"71900";"2012655";"2013356";"GM0363";"2021JJ00";"      90"
"82469554";"3000   ";"71900";"2012657";"2013356";"GM0363";"2021JJ00";"     106"
"84426184";"3000   ";"22000";"1012600";"2013356";"GM0363";"2021JJ00";""
"84493654";"3000   ";"22000";"2012655";"2013356";"GM0363";"2021JJ00";"       8"
"84527389";"3000   ";"22000";"2012657";"2013356";"GM0363";"2021JJ00";"       9"
"86484019";"4000   ";"10000";"1012600";"2013356";"GM0363";"2021JJ00";""
"86551489";"4000   ";"10000";"2012655";"2013356";"GM0363";"2021JJ00";"   60054"
"86585224";"4000   ";"10000";"2012657";"2013356";"GM0363";"2021JJ00";"   89589"
"88541854";"4000   ";"70100";"1012600";"2013356";"GM0363";"2021JJ00";""
"88609324";"4000   ";"70100";"2012655";"2013356";"GM0363";"2021JJ00";"     764"
"88643059";"4000   ";"70100";"2012657";"2013356";"GM0363";"2021JJ00";"     492"
"90599689";"4000   ";"70200";"1012600";"2013356";"GM0363";"2021JJ00";""
"90667159";"4000   ";"70200";"2012655";"2013356";"GM0363";"2021JJ00";"    1113"
"90700894";"4000   ";"70200";"2012657";"2013356";"GM0363";"2021JJ00";"    1045"
"92657524";"4000   ";"70300";"1012600";"2013356";"GM0363";"2021JJ00";""
"92724994";"4000   ";"70300";"2012655";"2013356";"GM0363";"2021JJ00";"     971"
"92758729";"4000   ";"70300";"2012657";"2013356";"GM0363";"2021JJ00";"    1040"
"94715359";"4000   ";"70400";"1012600";"2013356";"GM0363";"2021JJ00";""
"94782829";"4000   ";"70400";"2012655";"2013356";"GM0363";"2021JJ00";"    1860"
"94816564";"4000   ";"70400";"2012657";"2013356";"GM0363";"2021JJ00";"    1567"
"96773194";"4000   ";"70500";"1012600";"2013356";"GM0363";"2021JJ00";""
"96840664";"4000   ";"70500";"2012655";"2013356";"GM0363";"2021JJ00";"    6594"
"96874399";"4000   ";"70500";"2012657";"2013356";"GM0363";"2021JJ00";"    3734"
"98831029";"4000   ";"70600";"1012600";"2013356";"GM0363";"2021JJ00";""
"98898499";"4000   ";"70600";"2012655";"2013356";"GM0363";"2021JJ00";"   10294"
"98932234";"4000   ";"70600";"2012657";"2013356";"GM0363";"2021JJ00";"    6464"
"100888864";"4000   ";"70700";"1012600";"2013356";"GM0363";"2021JJ00";""
"100956334";"4000   ";"70700";"2012655";"2013356";"GM0363";"2021JJ00";"   10037"
"100990069";"4000   ";"70700";"2012657";"2013356";"GM0363";"2021JJ00";"    8710"
"102946699";"4000   ";"70800";"1012600";"2013356";"GM0363";"2021JJ00";""
"103014169";"4000   ";"70800";"2012655";"2013356";"GM0363";"2021JJ00";"    7046"
"103047904";"4000   ";"70800";"2012657";"2013356";"GM0363";"2021JJ00";"    8862"
"105004534";"4000   ";"70900";"1012600";"2013356";"GM0363";"2021JJ00";""
"105072004";"4000   ";"70900";"2012655";"2013356";"GM0363";"2021JJ00";"    4954"
"105105739";"4000   ";"70900";"2012657";"2013356";"GM0363";"2021JJ00";"    8699"
"107062369";"4000   ";"71000";"1012600";"2013356";"GM0363";"2021JJ00";""
"107129839";"4000   ";"71000";"2012655";"2013356";"GM0363";"2021JJ00";"    3772"
"107163574";"4000   ";"71000";"2012657";"2013356";"GM0363";"2021JJ00";"    9589"
