"age_code","age"
10000,"total"
10010,"0"
10100,"1"
10200,"2"
10300,"3"
10400,"4"
10500,"5"
10600,"6"
10700,"7"
10800,"8"
10900,"9"
11000,"10"
11100,"11"
11200,"12"
11300,"13"
11400,"14"
11500,"15"
11600,"16"
11700,"17"
11800,"18"
11900,"19"
12000,"20"
12100,"21"
12200,"22"
12300,"23"
12400,"24"
12500,"25"
12600,"26"
12700,"27"
12800,"28"
12900,"29"
13000,"30"
13100,"31"
13200,"32"
13300,"33"
13400,"34"
13500,"35"
13600,"36"
13700,"37"
13800,"38"
13900,"39"
14000,"40"
14100,"41"
14200,"42"
14300,"43"
14400,"44"
14500,"45"
14600,"46"
14700,"47"
14800,"48"
14900,"49"
15000,"50"
15100,"51"
15200,"52"
15300,"53"
15400,"54"
15500,"55"
15600,"56"
15700,"57"
15800,"58"
15900,"59"
16000,"60"
16100,"61"
16200,"62"
16300,"63"
16400,"64"
16500,"65"
16600,"66"
16700,"67"
16800,"68"
16900,"69"
17000,"70"
17100,"71"
17200,"72"
17300,"73"
17400,"74"
17500,"75"
17600,"76"
17700,"77"
17800,"78"
17900,"79"
18000,"80"
18100,"81"
18200,"82"
18300,"83"
18400,"84"
18500,"85"
18600,"86"
18700,"87"
18800,"88"
18900,"89"
19000,"90"
19100,"91"
19200,"92"
19300,"93"
19400,"94"
19500,"95"
19600,"96"
19700,"97"
19800,"98"
19900,"99"
19901,"100"
19902,"101"
19903,"102"
19904,"103"
19905,"104"
22000,"over_95"
22300,"over_105"
