"gender","age_group","child","single","couple","single_parent","total"
"male","age_0_5",435664,0,0,0,435664
"male","age_5_10",462402,0,0,0,462402
"male","age_10_15",479367,0,0,0,479367
"male","age_15_20",500072,21464,3646,2,525184
"male","age_20_25",340295,129985,54525,74,524879
"male","age_25_30",140527,179357,224011,579,544474
"male","age_30_35",46736,143165,334079,2213,526193
"male","age_35_40",23384,115457,359703,5546,504090
"male","age_40_45",15495,105698,368076,10730,499999
"male","age_45_50",14527,121527,448288,20115,604457
"male","age_50_55",10617,122687,470238,24965,628507
"male","age_55_60",5897,118352,457626,20110,601985
"male","age_60_65",2312,103540,414853,11490,532195
"male","age_65_70",693,90304,381975,6007,478979
"male","age_70_75",137,80121,349850,3573,433681
"male","age_75_80",15,56004,217005,2187,275211
"male","age_80_85",1,43576,125890,1609,171076
"male","age_85_90",0,29110,51508,1082,81700
"male","age_90_95",0,12199,11188,495,23882
"male","age_over_95",0,2613,1071,141,3825
"female","age_0_5",414799,0,0,0,414799
"female","age_5_10",439865,0,0,0,439865
"female","age_10_15",457812,0,0,0,457812
"female","age_15_20",467993,26566,6489,501,501549
"female","age_20_25",254563,139987,108132,7421,510103
"female","age_25_30",72037,135888,300917,24695,533537
"female","age_30_35",18614,83934,375477,43698,521723
"female","age_35_40",7430,55109,385434,58727,506700
"female","age_40_45",4480,47890,386154,69448,507972
"female","age_45_50",4163,62247,455386,88827,610623
"female","age_50_55",3249,81970,464123,75451,624793
"female","age_55_60",2136,108068,448302,44539,603045
"female","age_60_65",991,121135,396498,20223,538847
"female","age_65_70",353,131844,347189,10104,489490
"female","age_70_75",99,150004,297977,7744,455824
"female","age_75_80",14,136635,167022,6333,310004
"female","age_80_85",2,130644,84001,5985,220632
"female","age_85_90",0,98167,27375,4689,130231
"female","age_90_95",0,42474,4373,2192,49039
"female","age_over_95",0,9901,323,611,10835
