"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Mannen";"15 jaar of ouder";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";1381
"Mannen";"15 jaar of ouder";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";2149
"Mannen";"15 jaar of ouder";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";1946
"Mannen";"15 jaar of ouder";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";161
"Mannen";"15 jaar of ouder";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";252
"Mannen";"15 jaar of ouder";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";306
"Mannen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";317
"Mannen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";305
"Mannen";"15 jaar of ouder";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";251
"Mannen";"15 tot 75 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";1141
"Mannen";"15 tot 75 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";1967
"Mannen";"15 tot 75 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";1829
"Mannen";"15 tot 75 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";135
"Mannen";"15 tot 75 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";231
"Mannen";"15 tot 75 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";291
"Mannen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";311
"Mannen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";300
"Mannen";"15 tot 75 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";244
"Mannen";"15 tot 25 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";359
"Mannen";"15 tot 25 jaar";"Nederlandse achtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";345
"Mannen";"15 tot 25 jaar";"Nederlandse achtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";84
"Mannen";"15 tot 25 jaar";"Westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";48
"Mannen";"15 tot 25 jaar";"Westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";41
"Mannen";"15 tot 25 jaar";"Westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";10
"Mannen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";110
"Mannen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"2 Middelbaar onderwijsniveau";"2021 2e kwartaal";68
"Mannen";"15 tot 25 jaar";"Niet-westerse migratieachtergrond";"3 Hoog onderwijsniveau";"2021 2e kwartaal";12
"Mannen";"25 tot 35 jaar";"Nederlandse achtergrond";"1 Laag onderwijsniveau";"2021 2e kwartaal";72
