"age_group","gender","migration_background","high","low","middle","total","no_current_edu"
"age_15_20","female","Dutch",1044,851,3266,5783,622
"age_15_20","female","Non_Western",837,1624,3746,6853,646
"age_15_20","female","Western",635,353,955,2240,297
"age_15_20","male","Dutch",845,964,3335,5982,838
"age_15_20","male","Non_Western",667,1998,3594,7210,951
"age_15_20","male","Western",407,371,876,2545,891
"age_20_25","female","Dutch",2700,3,509,6105,2893
"age_20_25","female","Non_Western",3040,56,1262,8046,3688
"age_20_25","female","Western",1729,4,153,3911,2025
"age_20_25","male","Dutch",2416,5,563,6020,3036
"age_20_25","male","Non_Western",2370,124,1277,8151,4380
"age_20_25","male","Western",1275,4,136,3253,1838
"age_25_30","female","Dutch",901,1,144,7942,6896
"age_25_30","female","Non_Western",1296,33,294,8648,7025
"age_25_30","female","Western",559,2,32,4099,3506
"age_25_30","male","Dutch",1153,1,134,7975,6687
"age_25_30","male","Non_Western",1219,43,288,8748,7198
"age_25_30","male","Western",513,0,36,4908,4359
"age_30_35","female","Dutch",187,4,49,7238,6998
"age_30_35","female","Non_Western",347,19,91,8796,8339
"age_30_35","female","Western",96,4,12,4792,4680
"age_30_35","male","Dutch",253,0,47,7301,7001
"age_30_35","male","Non_Western",312,4,78,8895,8501
"age_30_35","male","Western",131,0,12,4580,4437
"age_35_40","female","Dutch",90,0,32,7187,7065
"age_35_40","female","Non_Western",131,7,46,8531,8347
"age_35_40","female","Western",46,3,14,4559,4496
"age_35_40","male","Dutch",77,0,26,6953,6850
"age_35_40","male","Non_Western",74,2,50,8494,8368
"age_35_40","male","Western",25,0,11,4689,4653
"age_40_45","female","Dutch",78,0,28,7042,6936
"age_40_45","female","Non_Western",64,4,38,7284,7178
"age_40_45","female","Western",30,2,10,4400,4358
"age_40_45","male","Dutch",61,0,9,7717,7647
"age_40_45","male","Non_Western",41,1,16,7067,7009
"age_40_45","male","Western",23,0,5,4180,4152
"age_45_50","female","Dutch",51,0,38,8792,8703
"age_45_50","female","Non_Western",32,0,32,7131,7067
"age_45_50","female","Western",28,0,10,3912,3874
"age_45_50","male","Dutch",31,0,14,9434,9389
"age_45_50","male","Non_Western",28,0,17,7468,7423
"age_45_50","male","Western",8,0,7,3915,3900
"age_over_50","female","Dutch",69,0,44,52686,52573
"age_over_50","female","Non_Western",20,1,24,21609,21564
"age_over_50","female","Western",21,0,7,13561,13533
"age_over_50","male","Dutch",50,1,16,53012,52945
"age_over_50","male","Non_Western",14,0,15,22119,22090
"age_over_50","male","Western",11,0,10,13538,13517
