"age","male","female","total","age_group","group_propensity"
0,3149,3077,6226,"age_0_15",0.0672848311935331
1,3306,3090,6396,"age_0_15",0.0691220334586954
2,3289,3085,6374,"age_0_15",0.0688842778714391
3,3196,3014,6210,"age_0_15",0.0671119180391648
4,3240,3114,6354,"age_0_15",0.0686681364284788
5,3160,3004,6164,"age_0_15",0.0666147927203562
6,3199,3076,6275,"age_0_15",0.0678143777287857
7,3193,3113,6306,"age_0_15",0.0681493969653741
8,3224,3100,6324,"age_0_15",0.0683439242640384
9,3139,3039,6178,"age_0_15",0.0667660917304284
10,3160,2976,6136,"age_0_15",0.0663121947002118
11,2999,2926,5925,"age_0_15",0.0640319024769809
12,3043,2955,5998,"age_0_15",0.0648208187437859
13,2957,2857,5814,"age_0_15",0.0628323174685514
14,3041,2811,5852,"age_0_15",0.0632429862101759
15,2980,2808,5788,"age_15_25",0.0875656212650721
16,2995,2839,5834,"age_15_25",0.0882615470733294
17,2973,2835,5808,"age_15_25",0.0878681977034448
18,3103,3141,6244,"age_15_25",0.0944643640599706
19,3381,3558,6939,"age_15_25",0.104978895293423
20,3397,3520,6917,"age_15_25",0.104646061211213
21,3311,3540,6851,"age_15_25",0.103647558964583
22,3354,3513,6867,"age_15_25",0.103889620115282
23,3511,3723,7234,"age_15_25",0.109441897759421
24,3746,3871,7617,"age_15_25",0.11523623655426
25,3923,4152,8075,"age_25_45",0.0498379879648202
26,4105,4265,8370,"age_25_45",0.051658694645888
27,4202,4329,8531,"age_25_45",0.0526523684616572
28,4266,4402,8668,"age_25_45",0.0534979169881191
29,4293,4383,8676,"age_25_45",0.0535472920845549
30,4292,4352,8644,"age_25_45",0.0533497916988119
31,4082,4201,8283,"age_25_45",0.0511217404721494
32,4094,4060,8154,"age_25_45",0.0503255670421231
33,4123,4191,8314,"age_25_45",0.0513130689708378
34,4086,4121,8207,"age_25_45",0.0506526770560099
35,3995,4239,8234,"age_25_45",0.0508193180064805
36,3977,4019,7996,"age_25_45",0.0493504088875174
37,4078,4141,8219,"age_25_45",0.0507267397006635
38,4108,3994,8102,"age_25_45",0.0500046289152909
39,4082,3780,7862,"age_25_45",0.0485233760222188
40,3992,3871,7863,"age_25_45",0.0485295479092733
41,3761,3822,7583,"age_25_45",0.0468014195340225
42,3618,3609,7227,"age_25_45",0.0446042277426323
43,3764,3613,7377,"age_25_45",0.0455300108008023
44,3829,3811,7640,"age_25_45",0.0471532170961271
45,3939,3774,7713,"age_45_65",0.0554266044827066
46,4129,4025,8154,"age_45_65",0.0585956868860352
47,4172,4072,8244,"age_45_65",0.0592424383969186
48,4268,3959,8227,"age_45_65",0.0591202742226406
49,4306,4008,8314,"age_45_65",0.0597454673498279
50,3933,3633,7566,"age_45_65",0.054370243681597
51,3830,3577,7407,"age_45_65",0.0532276493457031
52,3874,3488,7362,"age_45_65",0.0529042735902614
53,3770,3587,7357,"age_45_65",0.0528683429507678
54,3729,3610,7339,"age_45_65",0.0527389926485912
55,3779,3454,7233,"age_45_65",0.0519772630913285
56,3455,3342,6797,"age_45_65",0.0488441113274934
57,3263,3230,6493,"age_45_65",0.0466595284462873
58,3359,3190,6549,"age_45_65",0.0470619516086147
59,3257,3101,6358,"age_45_65",0.0456894011799622
60,2933,2948,5881,"age_45_65",0.0422616181722802
61,2861,2909,5770,"age_45_65",0.041463957975524
62,2824,2878,5702,"age_45_65",0.0409753012784122
63,2697,2677,5374,"age_45_65",0.0386182513276371
64,2598,2719,5317,"age_45_65",0.038208642037411
65,2478,2580,5058,"age_over65",0.0648328547990156
66,2445,2581,5026,"age_over65",0.0644226825266612
67,2283,2425,4708,"age_over65",0.0603465955701395
68,2400,2409,4809,"age_over65",0.061641201804758
69,2238,2337,4575,"age_over65",0.0586418170631665
70,2317,2459,4776,"age_over65",0.0612182116488925
71,2303,2573,4876,"age_over65",0.0625
72,2554,2604,5158,"age_over65",0.0661146431501231
73,1452,1684,3136,"age_over65",0.0401968826907301
74,1622,1841,3463,"age_over65",0.0443883305988515
75,1387,1598,2985,"age_over65",0.0382613822805578
76,1214,1468,2682,"age_over65",0.0343775635767022
77,1213,1424,2637,"age_over65",0.0338007588187039
78,1265,1449,2714,"age_over65",0.0347877358490566
79,1092,1395,2487,"age_over65",0.0318780762920427
80,966,1277,2243,"age_over65",0.0287505127153404
81,827,1159,1986,"age_over65",0.0254563166529943
82,774,1105,1879,"age_over65",0.0240848031173093
83,655,989,1644,"age_over65",0.0210726004922067
84,584,937,1521,"age_over65",0.0194960008203445
85,530,900,1430,"age_over65",0.0183295734208368
86,488,813,1301,"age_over65",0.0166760664479081
87,435,774,1209,"age_over65",0.0154968211648893
88,330,698,1028,"age_over65",0.0131767842493847
89,239,642,881,"age_over65",0.0112925553732568
90,251,593,844,"age_over65",0.010818293683347
91,183,459,642,"age_over65",0.00822908121410993
92,147,398,545,"age_over65",0.00698574651353568
93,105,343,448,"age_over65",0.00574241181296144
94,96,262,358,"age_over65",0.00458880229696472
95,76,241,317,"age_over65",0.00406326907301066
96,44,176,220,"age_over65",0.00281993437243642
97,39,125,164,"age_over65",0.00210213289581624
98,32,89,121,"age_over65",0.00155096390484003
99,12,47,59,"age_over65",0.000756255127153404
100,4,34,38,"age_over65",0.000487079573420837
101,3,18,21,"age_over65",0.000269175553732568
102,1,14,15,"age_over65",0.00019226825266612
103,1,5,6,"age_over65",7.69073010664479e-05
104,1,5,6,"age_over65",7.69073010664479e-05
