"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU05180170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"       .",0,0,0,0
"BU05180271",8255,4045,4205,1250,1150,1805,2345,1705,1990,1105,4180,2030,1040,1120,"     1.9",0,0,0,5160
"BU05180373",1055,470,585,105,70,105,235,545,280,85,550,280,175,100,"     1.8",0,0,0,690
"BU05180374",1085,485,600,150,110,145,300,380,275,95,475,190,150,140,"     2.1",0,0,0,715
"BU05180448",1655,815,840,315,160,420,430,330,500,205,755,310,215,240,"     2.2",0,0,0,950
"BU05180475",2225,1030,1190,345,135,545,610,590,665,315,1180,625,295,270,"     1.8",0,0,0,1245
"BU05180476",2555,1065,1485,235,175,335,490,1325,710,245,1445,820,405,230,"     1.7",0,0,0,1600
"BU05180477",3905,1900,2000,900,410,735,1090,770,1085,400,1610,550,420,650,"     2.4",0,0,0,2420
"BU05180478",1730,825,900,325,135,360,440,470,535,235,755,315,220,230,"     2.1",0,0,0,960
"BU05180479",2460,1190,1270,525,235,610,700,390,730,285,1085,395,290,410,"     2.3",0,0,0,1445
"BU05180546",6065,2865,3195,750,610,1430,1840,1435,1795,735,3385,1860,800,735,"     1.8",0,0,0,3535
"BU05180605",780,380,400,115,75,145,240,210,265,95,380,180,100,110,"     2.0",0,0,0,420
"BU05180701",2980,1500,1475,415,245,905,865,550,435,300,1635,875,380,390,"     1.8",0,0,0,2245
"BU05180702",4255,2065,2190,655,365,1210,1165,865,795,505,2205,1030,610,575,"     1.9",0,0,0,2955
"BU05180703",5515,2705,2810,760,540,1740,1520,960,1300,690,3075,1620,750,715,"     1.8",0,0,0,3525
"BU05180704",3970,1860,2110,625,405,1080,1010,850,905,555,2070,1040,475,565,"     1.9",0,0,0,2510
"BU05180772",1640,765,875,205,160,415,410,460,355,185,880,465,205,215,"     1.8",0,0,0,1100
"BU05180800",5785,2870,2915,1035,545,1550,1745,915,710,395,2830,1215,650,970,"     2.0",0,0,0,4680
