"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"5908";"GM0518    ";"Gemeente  ";"GM0518    ";"  548320";"  272686";"  275634";"   91370";"   68313";"  164895";"  142397";"   81345";"  107835";"  199718";"  269603";"  128810";"   58106";"   82687";"     2.0";"       .";"       .";"       ."
"5909";"WK051801  ";"Wijk      ";"WK051801  ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"5910";"BU05180170";"Buurt     ";"BU05180170";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"5911";"WK051802  ";"Wijk      ";"WK051802  ";"    8255";"    4045";"    4205";"    1250";"    1150";"    1805";"    2345";"    1705";"    1990";"    1105";"    4180";"    2030";"    1040";"    1120";"     1.9";"       .";"       .";"       ."
"5912";"BU05180271";"Buurt     ";"BU05180271";"    8255";"    4045";"    4205";"    1250";"    1150";"    1805";"    2345";"    1705";"    1990";"    1105";"    4180";"    2030";"    1040";"    1120";"     1.9";"       .";"       .";"       ."
"5913";"WK051803  ";"Wijk      ";"WK051803  ";"    2140";"     955";"    1185";"     255";"     185";"     245";"     535";"     925";"     555";"     180";"    1025";"     465";"     325";"     240";"     1.9";"       .";"       .";"       ."
"5914";"BU05180373";"Buurt     ";"BU05180373";"    1055";"     470";"     585";"     105";"      70";"     105";"     235";"     545";"     280";"      85";"     550";"     280";"     175";"     100";"     1.8";"       .";"       .";"       ."
"5915";"BU05180374";"Buurt     ";"BU05180374";"    1085";"     485";"     600";"     150";"     110";"     145";"     300";"     380";"     275";"      95";"     475";"     190";"     150";"     140";"     2.1";"       .";"       .";"       ."
"5916";"WK051804  ";"Wijk      ";"WK051804  ";"   14540";"    6840";"    7700";"    2645";"    1250";"    3010";"    3765";"    3870";"    4230";"    1690";"    6840";"    3005";"    1830";"    2015";"     2.1";"       .";"       .";"       ."
"5917";"BU05180448";"Buurt     ";"BU05180448";"    1655";"     815";"     840";"     315";"     160";"     420";"     430";"     330";"     500";"     205";"     755";"     310";"     215";"     240";"     2.2";"       .";"       .";"       ."
"5918";"BU05180475";"Buurt     ";"BU05180475";"    2225";"    1030";"    1190";"     345";"     135";"     545";"     610";"     590";"     665";"     315";"    1180";"     625";"     295";"     270";"     1.8";"       .";"       .";"       ."
"5919";"BU05180476";"Buurt     ";"BU05180476";"    2555";"    1065";"    1485";"     235";"     175";"     335";"     490";"    1325";"     710";"     245";"    1445";"     820";"     405";"     230";"     1.7";"       .";"       .";"       ."
"5920";"BU05180477";"Buurt     ";"BU05180477";"    3905";"    1900";"    2000";"     900";"     410";"     735";"    1090";"     770";"    1085";"     400";"    1610";"     550";"     420";"     650";"     2.4";"       .";"       .";"       ."
"5921";"BU05180478";"Buurt     ";"BU05180478";"    1730";"     825";"     900";"     325";"     135";"     360";"     440";"     470";"     535";"     235";"     755";"     315";"     220";"     230";"     2.1";"       .";"       .";"       ."
"5922";"BU05180479";"Buurt     ";"BU05180479";"    2460";"    1190";"    1270";"     525";"     235";"     610";"     700";"     390";"     730";"     285";"    1085";"     395";"     290";"     410";"     2.3";"       .";"       .";"       ."
"5923";"WK051805  ";"Wijk      ";"WK051805  ";"    6065";"    2865";"    3195";"     750";"     610";"    1430";"    1840";"    1435";"    1795";"     735";"    3385";"    1860";"     800";"     735";"     1.8";"       .";"       .";"       ."
"5924";"BU05180546";"Buurt     ";"BU05180546";"    6065";"    2865";"    3195";"     750";"     610";"    1430";"    1840";"    1435";"    1795";"     735";"    3385";"    1860";"     800";"     735";"     1.8";"       .";"       .";"       ."
"5925";"WK051806  ";"Wijk      ";"WK051806  ";"     780";"     380";"     400";"     115";"      75";"     145";"     240";"     210";"     265";"      95";"     380";"     180";"     100";"     110";"     2.0";"       .";"       .";"       ."
"5926";"BU05180605";"Buurt     ";"BU05180605";"     780";"     380";"     400";"     115";"      75";"     145";"     240";"     210";"     265";"      95";"     380";"     180";"     100";"     110";"     2.0";"       .";"       .";"       ."
"5927";"WK051807  ";"Wijk      ";"WK051807  ";"   18365";"    8905";"    9460";"    2660";"    1715";"    5340";"    4970";"    3680";"    3795";"    2240";"    9875";"    5020";"    2415";"    2450";"     1.8";"       .";"       .";"       ."
