"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"20957";"T001038";"10000";"T001345";"1012600";"GM0518";"2020SJ00";"    2130"
"50651";"T001038";"10000";"T001345";"2012655";"GM0518";"2020SJ00";"     543"
"65498";"T001038";"10000";"T001345";"2012657";"GM0518";"2020SJ00";"    2114"
"184274";"T001038";"10000";"A025284";"1012600";"GM0518";"2020SJ00";"     655"
"213968";"T001038";"10000";"A025284";"2012655";"GM0518";"2020SJ00";"     158"
"228815";"T001038";"10000";"A025284";"2012657";"GM0518";"2020SJ00";"     260"
"347591";"T001038";"10000";"A025285";"1012600";"GM0518";"2020SJ00";"     628"
"377285";"T001038";"10000";"A025285";"2012655";"GM0518";"2020SJ00";"     144"
"392132";"T001038";"10000";"A025285";"2012657";"GM0518";"2020SJ00";"     477"
"510908";"T001038";"10000";"A025288";"1012600";"GM0518";"2020SJ00";"     482"
"540602";"T001038";"10000";"A025288";"2012655";"GM0518";"2020SJ00";"     125"
"555449";"T001038";"10000";"A025288";"2012657";"GM0518";"2020SJ00";"     585"
"674225";"T001038";"10000";"A025287";"1012600";"GM0518";"2020SJ00";"     365"
"703919";"T001038";"10000";"A025287";"2012655";"GM0518";"2020SJ00";"     116"
"718766";"T001038";"10000";"A025287";"2012657";"GM0518";"2020SJ00";"     792"
"837542";"T001038";"10000";"A025300";"1012600";"GM0518";"2020SJ00";"      42"
"867236";"T001038";"10000";"A025300";"2012655";"GM0518";"2020SJ00";"      12"
"882083";"T001038";"10000";"A025300";"2012657";"GM0518";"2020SJ00";"      36"
"1000859";"T001038";"10000";"A025290";"1012600";"GM0518";"2020SJ00";"    1355"
"1030553";"T001038";"10000";"A025290";"2012655";"GM0518";"2020SJ00";"     357"
"1045400";"T001038";"10000";"A025290";"2012657";"GM0518";"2020SJ00";"    2525"
"1164176";"T001038";"10000";"A041868";"1012600";"GM0518";"2020SJ00";"     829"
"1193870";"T001038";"10000";"A041868";"2012655";"GM0518";"2020SJ00";"     207"
