"gender","n_people","age_group_education","migration_background","education_level"
"male",11,"12","Dutch","low"
"male",0,"25","Non_Western","low"
"female",0,"24","Dutch","low"
"male",0,"age_40_45","Western","low"
"male",6,"12","Western","low"
"male",26,"12","Non_Western","low"
"male",0,"22","Western","low"
"male",0,"22","Non_Western","low"
"female",0,"25","Non_Western","low"
"female",0,"28","Western","low"
"female",0,"28","Non_Western","low"
"female",0,"age_40_45","Western","low"
"female",0,"19","Non_Western","low"
"female",0,"age_40_45","Dutch","low"
"male",0,"27","Western","low"
"male",4,"18","Western","low"
"male",0,"24","Western","low"
"male",4,"18","Dutch","low"
"male",0,"29","Dutch","low"
"female",0,"20","Dutch","low"
"female",0,"29","Dutch","low"
"female",0,"29","Western","low"
"female",0,"29","Non_Western","low"
"female",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Western","low"
"male",17,"18","Non_Western","low"
"female",0,"24","Western","low"
"male",0,"age_40_45","Non_Western","low"
"male",0,"28","Western","low"
"female",23,"15","Dutch","low"
"male",0,"age_40_45","Dutch","low"
"female",7,"12","Dutch","low"
"female",10,"12","Western","low"
"female",19,"12","Non_Western","low"
"female",15,"15","Western","low"
"female",84,"15","Non_Western","low"
"female",0,"age_35_40","Non_Western","low"
"male",0,"age_30_35","Western","low"
"male",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"female",0,"23","Western","low"
"male",81,"15","Non_Western","low"
"female",0,"23","Dutch","low"
"male",0,"27","Dutch","low"
"male",28,"14","Dutch","low"
"female",25,"13","Dutch","low"
"female",21,"13","Western","low"
"female",0,"22","Dutch","low"
"female",0,"22","Western","low"
"female",0,"22","Non_Western","low"
"female",0,"28","Dutch","low"
"female",1,"19","Dutch","low"
"female",0,"age_35_40","Dutch","low"
"female",0,"age_35_40","Western","low"
"female",0,"21","Western","low"
"male",0,"28","Dutch","low"
"male",0,"25","Western","low"
"female",20,"16","Dutch","low"
"male",1,"19","Dutch","low"
"male",0,"24","Dutch","low"
"female",0,"age_over_50","Dutch","low"
"female",0,"age_over_50","Western","low"
"female",0,"age_over_50","Non_Western","low"
"male",0,"27","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"male",0,"24","Non_Western","low"
"female",0,"19","Western","low"
"female",0,"25","Western","low"
"male",0,"23","Dutch","low"
"male",0,"age_over_50","Western","low"
"female",0,"27","Dutch","low"
"male",28,"13","Dutch","low"
"male",1,"19","Western","low"
"male",1,"19","Non_Western","low"
"male",0,"28","Non_Western","low"
"female",0,"27","Western","low"
"female",0,"27","Non_Western","low"
"female",0,"24","Non_Western","low"
"male",0,"26","Western","low"
"female",62,"14","Non_Western","low"
"male",21,"15","Western","low"
"male",0,"22","Dutch","low"
"male",0,"23","Western","low"
"male",0,"26","Non_Western","low"
"male",0,"age_30_35","Non_Western","low"
"male",0,"26","Dutch","low"
"male",0,"29","Western","low"
"male",0,"age_30_35","Dutch","low"
"female",12,"18","Non_Western","low"
"male",0,"age_30_35","Western","low"
"female",0,"26","Non_Western","low"
"male",0,"20","Dutch","low"
"female",0,"26","Dutch","low"
"male",0,"age_30_35","Dutch","low"
"male",0,"age_over_50","Dutch","low"
"female",0,"age_30_35","Western","low"
"female",42,"17","Non_Western","low"
"female",0,"26","Western","low"
"male",0,"age_35_40","Western","low"
"male",0,"age_35_40","Non_Western","low"
"male",27,"13","Western","low"
"male",0,"age_over_50","Non_Western","low"
"female",18,"14","Western","low"
"female",20,"16","Western","low"
"male",0,"29","Non_Western","low"
"male",0,"20","Western","low"
"male",86,"13","Non_Western","low"
"female",0,"21","Dutch","low"
"female",73,"16","Non_Western","low"
"female",0,"21","Non_Western","low"
"male",0,"23","Non_Western","low"
"male",0,"21","Dutch","low"
"female",0,"20","Western","low"
"male",0,"20","Non_Western","low"
"female",0,"23","Non_Western","low"
"female",11,"17","Western","low"
"female",0,"25","Dutch","low"
"female",0,"age_40_45","Non_Western","low"
"male",26,"16","Western","low"
"male",74,"16","Non_Western","low"
"female",4,"18","Western","low"
"female",0,"20","Non_Western","low"
"male",10,"14","Western","low"
"male",88,"14","Non_Western","low"
"female",59,"13","Non_Western","low"
"male",24,"16","Dutch","low"
"female",28,"14","Dutch","low"
"male",0,"age_35_40","Dutch","low"
"male",35,"15","Dutch","low"
"male",0,"25","Dutch","low"
"female",4,"18","Dutch","low"
"male",21,"17","Western","low"
"male",0,"21","Non_Western","low"
"male",68,"17","Non_Western","low"
"male",0,"21","Western","low"
"female",12,"17","Dutch","low"
"male",21,"17","Dutch","low"
"male",27,"26","Non_Western",""
"female",3,"27","Western",""
"female",23,"28","Non_Western",""
"female",20,"25","Dutch",""
"female",0,"13","Dutch",""
"male",9,"29","Western",""
"male",4,"age_30_35","Western",""
"male",45,"20","Non_Western",""
"female",37,"19","Dutch",""
"female",3,"26","Western",""
"female",33,"age_40_45","Dutch",""
"male",48,"22","Non_Western",""
