"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"21998";"T001038";"10000";"T001345";"1012600";"GM0518";"2020SJ00";"   11745"
"53150";"T001038";"10000";"T001345";"2012655";"GM0518";"2020SJ00";"    4774"
"68726";"T001038";"10000";"T001345";"2012657";"GM0518";"2020SJ00";"   12703"
"193334";"T001038";"10000";"A041919";"1012600";"GM0518";"2020SJ00";"    4639"
"224486";"T001038";"10000";"A041919";"2012655";"GM0518";"2020SJ00";"    1978"
"240062";"T001038";"10000";"A041919";"2012657";"GM0518";"2020SJ00";"    5318"
"364670";"T001038";"10000";"A041920";"1012600";"GM0518";"2020SJ00";"    3025"
"395822";"T001038";"10000";"A041920";"2012655";"GM0518";"2020SJ00";"    1238"
"411398";"T001038";"10000";"A041920";"2012657";"GM0518";"2020SJ00";"    1668"
"536006";"T001038";"10000";"A041921";"1012600";"GM0518";"2020SJ00";"    2036"
"567158";"T001038";"10000";"A041921";"2012655";"GM0518";"2020SJ00";"     763"
"582734";"T001038";"10000";"A041921";"2012657";"GM0518";"2020SJ00";"    1884"
"707342";"T001038";"10000";"A041922";"1012600";"GM0518";"2020SJ00";"    1031"
"738494";"T001038";"10000";"A041922";"2012655";"GM0518";"2020SJ00";"     276"
"754070";"T001038";"10000";"A041922";"2012657";"GM0518";"2020SJ00";"    1382"
"878678";"T001038";"10000";"A041923";"1012600";"GM0518";"2020SJ00";"     742"
"909830";"T001038";"10000";"A041923";"2012655";"GM0518";"2020SJ00";"     304"
"925406";"T001038";"10000";"A041923";"2012657";"GM0518";"2020SJ00";"    1658"
"1050014";"T001038";"10000";"A025289";"1012600";"GM0518";"2020SJ00";"     272"
"1081166";"T001038";"10000";"A025289";"2012655";"GM0518";"2020SJ00";"     215"
"1096742";"T001038";"10000";"A025289";"2012657";"GM0518";"2020SJ00";"     793"
"1221350";"T001038";"10000";"A025300";"1012600";"GM0518";"2020SJ00";"     107"
"1252502";"T001038";"10000";"A025300";"2012655";"GM0518";"2020SJ00";"      36"
"1268078";"T001038";"10000";"A025300";"2012657";"GM0518";"2020SJ00";"     131"
"1392686";"T001038";"10000";"A041867";"1012600";"GM0518";"2020SJ00";"    4262"
"1423838";"T001038";"10000";"A041867";"2012655";"GM0518";"2020SJ00";"    1121"
"1439414";"T001038";"10000";"A041867";"2012657";"GM0518";"2020SJ00";"    8805"
"1564022";"T001038";"10000";"A041868";"1012600";"GM0518";"2020SJ00";"    3062"
"1595174";"T001038";"10000";"A041868";"2012655";"GM0518";"2020SJ00";"     874"
"1610750";"T001038";"10000";"A041868";"2012657";"GM0518";"2020SJ00";"    7671"
"1735358";"T001038";"10000";"A025293";"1012600";"GM0518";"2020SJ00";"    1200"
"1766510";"T001038";"10000";"A025293";"2012655";"GM0518";"2020SJ00";"     247"
"1782086";"T001038";"10000";"A025293";"2012657";"GM0518";"2020SJ00";"    1134"
"1906694";"T001038";"10000";"A041751";"1012600";"GM0518";"2020SJ00";"      72"
"1937846";"T001038";"10000";"A041751";"2012655";"GM0518";"2020SJ00";"      70"
"1953422";"T001038";"10000";"A041751";"2012657";"GM0518";"2020SJ00";"     469"
"2078030";"T001038";"10000";"A041755";"1012600";"GM0518";"2020SJ00";"     695"
"2109182";"T001038";"10000";"A041755";"2012655";"GM0518";"2020SJ00";"     250"
"2124758";"T001038";"10000";"A041755";"2012657";"GM0518";"2020SJ00";"    2093"
"2249366";"T001038";"10000";"A041759";"1012600";"GM0518";"2020SJ00";"     955"
"2280518";"T001038";"10000";"A041759";"2012655";"GM0518";"2020SJ00";"     209"
"2296094";"T001038";"10000";"A041759";"2012657";"GM0518";"2020SJ00";"    1544"
"2420702";"T001038";"10000";"A041924";"1012600";"GM0518";"2020SJ00";"    2519"
"2451854";"T001038";"10000";"A041924";"2012655";"GM0518";"2020SJ00";"     583"
"2467430";"T001038";"10000";"A041924";"2012657";"GM0518";"2020SJ00";"    4679"
"2592038";"T001038";"10000";"A041925";"1012600";"GM0518";"2020SJ00";"      21"
"2623190";"T001038";"10000";"A041925";"2012655";"GM0518";"2020SJ00";"       9"
"2638766";"T001038";"10000";"A041925";"2012657";"GM0518";"2020SJ00";"      20"
"2763374";"T001038";"10000";"A025294";"1012600";"GM0518";"2020SJ00";"    6282"
"2794526";"T001038";"10000";"A025294";"2012655";"GM0518";"2020SJ00";"    3709"
"2810102";"T001038";"10000";"A025294";"2012657";"GM0518";"2020SJ00";"    8194"
"2934710";"T001038";"10000";"A025297";"1012600";"GM0518";"2020SJ00";"    4692"
"2965862";"T001038";"10000";"A025297";"2012655";"GM0518";"2020SJ00";"    3254"
"2981438";"T001038";"10000";"A025297";"2012657";"GM0518";"2020SJ00";"    3726"
"3106046";"T001038";"40900";"T001345";"1012600";"GM0518";"2020SJ00";"       0"
"3137198";"T001038";"40900";"T001345";"2012655";"GM0518";"2020SJ00";"       0"
"3152774";"T001038";"40900";"T001345";"2012657";"GM0518";"2020SJ00";"       0"
"3277382";"T001038";"40900";"A041919";"1012600";"GM0518";"2020SJ00";"       0"
"3308534";"T001038";"40900";"A041919";"2012655";"GM0518";"2020SJ00";"       0"
"3324110";"T001038";"40900";"A041919";"2012657";"GM0518";"2020SJ00";"       0"
"3448718";"T001038";"40900";"A041920";"1012600";"GM0518";"2020SJ00";"       0"
"3479870";"T001038";"40900";"A041920";"2012655";"GM0518";"2020SJ00";"       0"
"3495446";"T001038";"40900";"A041920";"2012657";"GM0518";"2020SJ00";"       0"
"3620054";"T001038";"40900";"A041921";"1012600";"GM0518";"2020SJ00";"       0"
"3651206";"T001038";"40900";"A041921";"2012655";"GM0518";"2020SJ00";"       0"
"3666782";"T001038";"40900";"A041921";"2012657";"GM0518";"2020SJ00";"       0"
"3791390";"T001038";"40900";"A041922";"1012600";"GM0518";"2020SJ00";"       0"
"3822542";"T001038";"40900";"A041922";"2012655";"GM0518";"2020SJ00";"       0"
"3838118";"T001038";"40900";"A041922";"2012657";"GM0518";"2020SJ00";"       0"
"3962726";"T001038";"40900";"A041923";"1012600";"GM0518";"2020SJ00";"       0"
"3993878";"T001038";"40900";"A041923";"2012655";"GM0518";"2020SJ00";"       0"
"4009454";"T001038";"40900";"A041923";"2012657";"GM0518";"2020SJ00";"       0"
"4134062";"T001038";"40900";"A025289";"1012600";"GM0518";"2020SJ00";"       0"
"4165214";"T001038";"40900";"A025289";"2012655";"GM0518";"2020SJ00";"       0"
"4180790";"T001038";"40900";"A025289";"2012657";"GM0518";"2020SJ00";"       0"
"4305398";"T001038";"40900";"A025300";"1012600";"GM0518";"2020SJ00";"       0"
"4336550";"T001038";"40900";"A025300";"2012655";"GM0518";"2020SJ00";"       0"
"4352126";"T001038";"40900";"A025300";"2012657";"GM0518";"2020SJ00";"       0"
"4476734";"T001038";"40900";"A041867";"1012600";"GM0518";"2020SJ00";"       0"
"4507886";"T001038";"40900";"A041867";"2012655";"GM0518";"2020SJ00";"       0"
"4523462";"T001038";"40900";"A041867";"2012657";"GM0518";"2020SJ00";"       0"
"4648070";"T001038";"40900";"A041868";"1012600";"GM0518";"2020SJ00";"       0"
"4679222";"T001038";"40900";"A041868";"2012655";"GM0518";"2020SJ00";"       0"
"4694798";"T001038";"40900";"A041868";"2012657";"GM0518";"2020SJ00";"       0"
"4819406";"T001038";"40900";"A025293";"1012600";"GM0518";"2020SJ00";"       0"
"4850558";"T001038";"40900";"A025293";"2012655";"GM0518";"2020SJ00";"       0"
"4866134";"T001038";"40900";"A025293";"2012657";"GM0518";"2020SJ00";"       0"
"4990742";"T001038";"40900";"A041751";"1012600";"GM0518";"2020SJ00";"       0"
"5021894";"T001038";"40900";"A041751";"2012655";"GM0518";"2020SJ00";"       0"
"5037470";"T001038";"40900";"A041751";"2012657";"GM0518";"2020SJ00";"       0"
"5162078";"T001038";"40900";"A041755";"1012600";"GM0518";"2020SJ00";"       0"
"5193230";"T001038";"40900";"A041755";"2012655";"GM0518";"2020SJ00";"       0"
"5208806";"T001038";"40900";"A041755";"2012657";"GM0518";"2020SJ00";"       0"
"5333414";"T001038";"40900";"A041759";"1012600";"GM0518";"2020SJ00";"       0"
"5364566";"T001038";"40900";"A041759";"2012655";"GM0518";"2020SJ00";"       0"
"5380142";"T001038";"40900";"A041759";"2012657";"GM0518";"2020SJ00";"       0"
"5504750";"T001038";"40900";"A041924";"1012600";"GM0518";"2020SJ00";"       0"
"5535902";"T001038";"40900";"A041924";"2012655";"GM0518";"2020SJ00";"       0"
"5551478";"T001038";"40900";"A041924";"2012657";"GM0518";"2020SJ00";"       0"
"5676086";"T001038";"40900";"A041925";"1012600";"GM0518";"2020SJ00";"       0"
"5707238";"T001038";"40900";"A041925";"2012655";"GM0518";"2020SJ00";"       0"
"5722814";"T001038";"40900";"A041925";"2012657";"GM0518";"2020SJ00";"       0"
"5847422";"T001038";"40900";"A025294";"1012600";"GM0518";"2020SJ00";"       0"
"5878574";"T001038";"40900";"A025294";"2012655";"GM0518";"2020SJ00";"       0"
"5894150";"T001038";"40900";"A025294";"2012657";"GM0518";"2020SJ00";"       0"
"6018758";"T001038";"40900";"A025297";"1012600";"GM0518";"2020SJ00";"       0"
"6049910";"T001038";"40900";"A025297";"2012655";"GM0518";"2020SJ00";"       0"
"6065486";"T001038";"40900";"A025297";"2012657";"GM0518";"2020SJ00";"       0"
"6190094";"T001038";"11000";"T001345";"1012600";"GM0518";"2020SJ00";"       0"
"6221246";"T001038";"11000";"T001345";"2012655";"GM0518";"2020SJ00";"       4"
"6236822";"T001038";"11000";"T001345";"2012657";"GM0518";"2020SJ00";"       2"
"6361430";"T001038";"11000";"A041919";"1012600";"GM0518";"2020SJ00";"       0"
"6392582";"T001038";"11000";"A041919";"2012655";"GM0518";"2020SJ00";"       4"
"6408158";"T001038";"11000";"A041919";"2012657";"GM0518";"2020SJ00";"       2"
"6532766";"T001038";"11000";"A041920";"1012600";"GM0518";"2020SJ00";"       0"
"6563918";"T001038";"11000";"A041920";"2012655";"GM0518";"2020SJ00";"       0"
"6579494";"T001038";"11000";"A041920";"2012657";"GM0518";"2020SJ00";"       0"
"6704102";"T001038";"11000";"A041921";"1012600";"GM0518";"2020SJ00";"       0"
"6735254";"T001038";"11000";"A041921";"2012655";"GM0518";"2020SJ00";"       0"
"6750830";"T001038";"11000";"A041921";"2012657";"GM0518";"2020SJ00";"       0"
"6875438";"T001038";"11000";"A041922";"1012600";"GM0518";"2020SJ00";"       0"
"6906590";"T001038";"11000";"A041922";"2012655";"GM0518";"2020SJ00";"       0"
"6922166";"T001038";"11000";"A041922";"2012657";"GM0518";"2020SJ00";"       0"
"7046774";"T001038";"11000";"A041923";"1012600";"GM0518";"2020SJ00";"       0"
"7077926";"T001038";"11000";"A041923";"2012655";"GM0518";"2020SJ00";"       0"
"7093502";"T001038";"11000";"A041923";"2012657";"GM0518";"2020SJ00";"       0"
"7218110";"T001038";"11000";"A025289";"1012600";"GM0518";"2020SJ00";"       0"
"7249262";"T001038";"11000";"A025289";"2012655";"GM0518";"2020SJ00";"       0"
"7264838";"T001038";"11000";"A025289";"2012657";"GM0518";"2020SJ00";"       0"
"7389446";"T001038";"11000";"A025300";"1012600";"GM0518";"2020SJ00";"       0"
