"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1";"GemiddeldeBevolking_2"
"10638";"T001038";"10000";"T001019";"GM0518";"2021JJ00";"  548320";"550868.5"
"166563";"T001038";"10010";"T001019";"GM0518";"2021JJ00";"    5954";"  2982.0"
"322488";"T001038";"10100";"T001019";"GM0518";"2021JJ00";"    6129";"  5887.0"
"478413";"T001038";"10200";"T001019";"GM0518";"2021JJ00";"    5876";"  6029.0"
"634338";"T001038";"10300";"T001019";"GM0518";"2021JJ00";"    6119";"  5840.0"
"790263";"T001038";"10400";"T001019";"GM0518";"2021JJ00";"    6171";"  6057.0"
"946188";"T001038";"10500";"T001019";"GM0518";"2021JJ00";"    5998";"  6129.5"
"1102113";"T001038";"10600";"T001019";"GM0518";"2021JJ00";"    6174";"  5968.5"
"1258038";"T001038";"10700";"T001019";"GM0518";"2021JJ00";"    6038";"  6157.5"
"1413963";"T001038";"10800";"T001019";"GM0518";"2021JJ00";"    6150";"  6021.5"
"1569888";"T001038";"10900";"T001019";"GM0518";"2021JJ00";"    6231";"  6130.0"
"1725813";"T001038";"11000";"T001019";"GM0518";"2021JJ00";"    6251";"  6214.0"
"1881738";"T001038";"11100";"T001019";"GM0518";"2021JJ00";"    6167";"  6240.0"
"2037663";"T001038";"11200";"T001019";"GM0518";"2021JJ00";"    6181";"  6153.5"
"2193588";"T001038";"11300";"T001019";"GM0518";"2021JJ00";"    5945";"  6183.0"
"2349513";"T001038";"11400";"T001019";"GM0518";"2021JJ00";"    5986";"  5947.5"
"2505438";"T001038";"11500";"T001019";"GM0518";"2021JJ00";"    5848";"  5989.5"
"2661363";"T001038";"11600";"T001019";"GM0518";"2021JJ00";"    5859";"  5852.0"
"2817288";"T001038";"11700";"T001019";"GM0518";"2021JJ00";"    5947";"  5911.5"
"2973213";"T001038";"11800";"T001019";"GM0518";"2021JJ00";"    6364";"  6264.0"
