"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",9,155,25,189
"female","age_over_95",20,577,116,713
"female","age_0_5",5770,5904,3159,14833
"male","age_0_5",6223,6179,3014,15416
"female","age_5_10",6288,5742,3006,15036
"male","age_5_10",6489,6122,2944,15555
"male","age_10_15",6363,5977,2825,15165
"female","age_10_15",6749,5957,2659,15365
"female","age_15_20",6706,5749,2536,14991
"male","age_15_20",7179,6019,2780,15978
"male","age_20_25",8393,6187,3770,18350
"female","age_20_25",8357,6225,4412,18994
"female","age_25_30",8798,7933,4346,21077
"male","age_25_30",8826,7910,4839,21575
"male","age_30_35",8749,7369,5048,21166
"female","age_30_35",8954,7242,5153,21349
"female","age_35_40",9044,6683,4890,20617
"male","age_35_40",8748,6569,4947,20264
"male","age_40_45",7630,7278,4741,19649
"female","age_40_45",7634,6737,4827,19198
"female","age_45_50",7258,7722,4241,19221
"male","age_45_50",7160,8386,4300,19846
"female","age_50_55",6405,9474,3773,19652
"male","age_50_55",6842,8678,3592,19112
"female","age_55_60",5708,8558,2695,16961
"male","age_55_60",5903,9156,2875,17934
"female","age_60_65",4464,8047,2116,14627
"male","age_60_65",4317,8476,2251,15044
"male","age_65_70",3316,7477,1649,12442
"female","age_65_70",2904,7452,1892,12248
"female","age_70_75",2066,7661,1624,11351
"male","age_70_75",1930,8147,1787,11864
"male","age_75_80",1274,4297,861,6432
"female","age_75_80",1170,5287,1077,7534
"female","age_80_85",753,2958,730,4441
"male","age_80_85",637,4071,976,5684
"male","age_85_90",326,1582,323,2231
"female","age_85_90",208,2755,581,3544
"female","age_90_95",99,575,100,774
"male","age_90_95",49,1494,355,1898
