"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"56561";"T001038";"10000";"1012600";"2013356";"GM0518";"2021JJ00";""
"124031";"T001038";"10000";"2012655";"2013356";"GM0518";"2021JJ00";"   71481"
"157766";"T001038";"10000";"2012657";"2013356";"GM0518";"2021JJ00";"  115108"
"2114396";"T001038";"70100";"1012600";"2013356";"GM0518";"2021JJ00";""
"2181866";"T001038";"70100";"2012655";"2013356";"GM0518";"2021JJ00";"    1024"
"2215601";"T001038";"70100";"2012657";"2013356";"GM0518";"2021JJ00";"     746"
"4172231";"T001038";"70200";"1012600";"2013356";"GM0518";"2021JJ00";""
"4239701";"T001038";"70200";"2012655";"2013356";"GM0518";"2021JJ00";"    2200"
"4273436";"T001038";"70200";"2012657";"2013356";"GM0518";"2021JJ00";"    1701"
"6230066";"T001038";"70300";"1012600";"2013356";"GM0518";"2021JJ00";""
"6297536";"T001038";"70300";"2012655";"2013356";"GM0518";"2021JJ00";"    2801"
"6331271";"T001038";"70300";"2012657";"2013356";"GM0518";"2021JJ00";"    2009"
"8287901";"T001038";"70400";"1012600";"2013356";"GM0518";"2021JJ00";""
"8355371";"T001038";"70400";"2012655";"2013356";"GM0518";"2021JJ00";"    3446"
"8389106";"T001038";"70400";"2012657";"2013356";"GM0518";"2021JJ00";"    2605"
"10345736";"T001038";"70500";"1012600";"2013356";"GM0518";"2021JJ00";""
"10413206";"T001038";"70500";"2012655";"2013356";"GM0518";"2021JJ00";"    6606"
"10446941";"T001038";"70500";"2012657";"2013356";"GM0518";"2021JJ00";"    5832"
"12403571";"T001038";"70600";"1012600";"2013356";"GM0518";"2021JJ00";""
"12471041";"T001038";"70600";"2012655";"2013356";"GM0518";"2021JJ00";"    7416"
"12504776";"T001038";"70600";"2012657";"2013356";"GM0518";"2021JJ00";"    8179"
"14461406";"T001038";"70700";"1012600";"2013356";"GM0518";"2021JJ00";""
"14528876";"T001038";"70700";"2012655";"2013356";"GM0518";"2021JJ00";"    8517"
"14562611";"T001038";"70700";"2012657";"2013356";"GM0518";"2021JJ00";"   10087"
"16519241";"T001038";"70800";"1012600";"2013356";"GM0518";"2021JJ00";""
"16586711";"T001038";"70800";"2012655";"2013356";"GM0518";"2021JJ00";"    8183"
"16620446";"T001038";"70800";"2012657";"2013356";"GM0518";"2021JJ00";"   11998"
"18577076";"T001038";"70900";"1012600";"2013356";"GM0518";"2021JJ00";""
"18644546";"T001038";"70900";"2012655";"2013356";"GM0518";"2021JJ00";"    7795"
"18678281";"T001038";"70900";"2012657";"2013356";"GM0518";"2021JJ00";"   11728"
"20634911";"T001038";"71000";"1012600";"2013356";"GM0518";"2021JJ00";""
"20702381";"T001038";"71000";"2012655";"2013356";"GM0518";"2021JJ00";"    6534"
"20736116";"T001038";"71000";"2012657";"2013356";"GM0518";"2021JJ00";"   13004"
"22692746";"T001038";"71100";"1012600";"2013356";"GM0518";"2021JJ00";""
"22760216";"T001038";"71100";"2012655";"2013356";"GM0518";"2021JJ00";"    4877"
"22793951";"T001038";"71100";"2012657";"2013356";"GM0518";"2021JJ00";"   12616"
"24750581";"T001038";"71200";"1012600";"2013356";"GM0518";"2021JJ00";""
"24818051";"T001038";"71200";"2012655";"2013356";"GM0518";"2021JJ00";"    3158"
"24851786";"T001038";"71200";"2012657";"2013356";"GM0518";"2021JJ00";"   11379"
"26808416";"T001038";"71300";"1012600";"2013356";"GM0518";"2021JJ00";""
"26875886";"T001038";"71300";"2012655";"2013356";"GM0518";"2021JJ00";"    2330"
