"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"5660";"GM0518    ";"Gemeente  ";"GM0518    ";"  537833";"  266778";"  271055";"   92532";"   66099";"  162025";"  139157";"   78020";"   99877";"  193599";"  128180";"  146030";"  144220"
"5661";"WK051801  ";"Wijk      ";"WK051801  ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       ."
"5662";"BU05180170";"Buurt     ";"BU05180170";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       ."
"5663";"WK051802  ";"Wijk      ";"WK051802  ";"    8245";"    4035";"    4210";"    1230";"    1210";"    1780";"    2350";"    1680";"    1990";"    1075";"    1250";"    2170";"    2960"
"5664";"BU05180271";"Buurt     ";"BU05180271";"    8245";"    4035";"    4210";"    1230";"    1210";"    1780";"    2350";"    1680";"    1990";"    1075";"    1250";"    2170";"    2960"
"5665";"WK051803  ";"Wijk      ";"WK051803  ";"    2005";"     910";"    1095";"     240";"     180";"     235";"     525";"     825";"     540";"     175";"     170";"     390";"     830"
"5666";"BU05180373";"Buurt     ";"BU05180373";"     930";"     420";"     505";"      95";"      85";"     100";"     210";"     440";"     250";"      85";"      70";"     200";"     390"
"5667";"BU05180374";"Buurt     ";"BU05180374";"    1075";"     490";"     585";"     145";"      95";"     135";"     320";"     380";"     285";"      90";"      90";"     200";"     440"
"5668";"WK051804  ";"Wijk      ";"WK051804  ";"   13855";"    6525";"    7330";"    2540";"    1125";"    3010";"    3485";"    3695";"    3895";"    1570";"    1030";"    1830";"    6660"
"5669";"BU05180448";"Buurt     ";"BU05180448";"    1610";"     775";"     830";"     300";"     145";"     420";"     410";"     335";"     495";"     185";"     100";"     210";"     850"
"5670";"BU05180475";"Buurt     ";"BU05180475";"    2105";"     980";"    1125";"     295";"     130";"     545";"     555";"     585";"     600";"     300";"     260";"     250";"    1030"
"5671";"BU05180476";"Buurt     ";"BU05180476";"    2525";"    1060";"    1460";"     230";"     155";"     335";"     485";"    1315";"     695";"     235";"     210";"     350";"     870"
"5672";"BU05180477";"Buurt     ";"BU05180477";"    3905";"    1905";"    2000";"     895";"     385";"     785";"    1080";"     765";"    1015";"     395";"     280";"     530";"    1870"
"5673";"BU05180478";"Buurt     ";"BU05180478";"    1365";"     660";"     705";"     285";"     115";"     275";"     340";"     350";"     425";"     170";"      80";"     120";"     830"
"5674";"BU05180479";"Buurt     ";"BU05180479";"    2335";"    1135";"    1195";"     535";"     200";"     645";"     610";"     345";"     655";"     275";"     120";"     380";"    1160"
"5675";"WK051805  ";"Wijk      ";"WK051805  ";"    6160";"    2925";"    3235";"     835";"     610";"    1510";"    1850";"    1355";"    1835";"     775";"     590";"    1090";"    3180"
"5676";"BU05180546";"Buurt     ";"BU05180546";"    6160";"    2925";"    3235";"     835";"     610";"    1510";"    1850";"    1355";"    1835";"     775";"     590";"    1090";"    3180"
"5677";"WK051806  ";"Wijk      ";"WK051806  ";"     765";"     355";"     410";"     110";"      80";"     120";"     215";"     245";"     250";"      85";"      70";"     160";"     310"
"5678";"BU05180605";"Buurt     ";"BU05180605";"     765";"     355";"     410";"     110";"      80";"     120";"     215";"     245";"     250";"      85";"      70";"     160";"     310"
"5679";"WK051807  ";"Wijk      ";"WK051807  ";"   17780";"    8675";"    9105";"    2620";"    1680";"    5135";"    4805";"    3540";"    3480";"    2030";"    4360";"    4400";"    5060"
"5680";"BU05180701";"Buurt     ";"BU05180701";"    2915";"    1455";"    1460";"     395";"     235";"     920";"     835";"     540";"     420";"     255";"     750";"     860";"     720"
"5681";"BU05180702";"Buurt     ";"BU05180702";"    3870";"    1880";"    1990";"     640";"     320";"    1045";"    1055";"     815";"     685";"     420";"    1410";"     690";"     940"
"5682";"BU05180703";"Buurt     ";"BU05180703";"    5495";"    2740";"    2755";"     775";"     550";"    1755";"    1480";"     930";"    1205";"     660";"     750";"    1590";"    2040"
