Year;For all children;For first child;For second child
1950;30,6;26,4;29,0
1951;30,5;26,2;28,9
1952;30,4;26,2;28,9
1953;30,4;26,2;28,9
1954;30,3;26,2;28,8
1955;30,2;26,1;28,8
1956;30,1;26,1;28,8
1957;30,0;26,0;28,7
1958;29,9;25,9;28,7
1959;29,8;25,8;28,6
1960;29,6;25,6;28,5
1961;29,5;25,4;28,4
1962;29,3;25,2;28,2
1963;29,1;25,0;28,1
1964;28,9;24,9;27,9
1965;28,6;24,7;27,8
1966;28,2;24,6;27,7
1967;27,9;24,5;27,5
1968;27,6;24,4;27,3
1969;27,5;24,3;27,2
1970;27,4;24,3;27,2
1971;27,2;24,3;27,1
1972;27,0;24,5;27,1
1973;26,9;24,7;27,1
1974;26,9;24,8;27,2
1975;26,9;25,0;27,3
1976;27,0;25,1;27,4
1977;27,2;25,3;27,5
1978;27,3;25,4;27,7
1979;27,4;25,5;27,8
1980;27,5;25,6;27,9
1981;27,6;25,7;28,0
1982;27,8;25,8;28,1
1983;27,9;26,0;28,2
1984;28,0;26,2;28,3
1985;28,2;26,5;28,5
1986;28,4;26,8;28,7
1987;28,7;27,0;29,0
1988;28,8;27,2;29,2
1989;29,0;27,3;29,4
1990;29,2;27,5;29,6
1991;29,4;27,7;29,9
1992;29,6;28,0;30,0
1993;29,8;28,3;30,3
1994;30,0;28,4;30,5
1995;30,2;28,6;30,7
1996;30,3;28,9;30,8
1997;30,4;29,0;31,0
1998;30,6;29,1;31,2
1999;30,6;29,1;31,3
2000;30,7;29,1;31,4
2001;30,8;29,2;31,6
2002;30,9;29,2;31,6
2003;31,0;29,3;31,7
2004;31,0;29,4;31,8
2005;31,1;29,4;31,8
2006;31,1;29,4;31,8
2007;31,1;29,4;31,8
2008;31,1;29,4;31,8
2009;31,0;29,4;31,8
2010;31,0;29,4;31,7
2011;31,0;29,4;31,7
2012;31,0;29,4;31,7
2013;31,0;29,4;31,7
2014;31,1;29,5;31,8
2015;31,1;29,6;31,8
2016;31,2;29,7;31,8
2017;31,3;29,8;31,9
2018;31,4;29,9;31,9
2019;31,5;30,0;32,1
2020;31,6;30,1;32,2
2021;31,7;30,3;32,3
