"age_group","car","moped","n_people"
"age_16_17",0.0362779935542517,0.132090618248787,84707
"age_18_19",0.412199166503022,0.458074229233488,91662
"age_20_24",0.639246641739371,0.670200131770551,238293
"age_25_29",0.712303041945842,0.757126558904131,255067
"age_30_39",0.752697809636759,0.81402378228608,476405
"age_40_49",0.770804967441784,0.865419184460907,486206
"age_50_59",0.45391552970678,0.877714154027631,512038
"age_60_64",0.132161938411288,0.858107099395151,221047
"age_65_69",0.0846469818744496,0.838071290777398,196463
"age_70_74",0.0471520636226519,0.788964760729467,182325
"age_over_75",0.0680894164978538,0.507979062486719,282364
