"neighb_code","PC6","freq"
"BU05183638","2531AA",33
"BU05183638","2531AB",24
"BU05183638","2531AC",27
"BU05183638","2531AD",24
"BU05183638","2531AE",24
"BU05183638","2531AG",24
"BU05183638","2531AH",24
"BU05183638","2531AJ",24
"BU05183638","2531AK",24
"BU05183638","2531AL",16
"BU05183638","2531AM",17
"BU05183638","2531AN",24
"BU05183638","2531AP",24
"BU05183638","2531AR",24
"BU05183638","2531AS",24
"BU05183638","2531AT",28
"BU05183638","2531AV",3
"BU05183638","2531AW",31
"BU05183638","2531AX",35
"BU05183638","2531BA",26
"BU05183638","2531BB",24
"BU05183638","2531BC",19
"BU05183638","2531BD",24
"BU05183638","2531BE",24
"BU05183638","2531BG",24
"BU05183638","2531BH",16
"BU05183638","2531BJ",9
"BU05183638","2531BK",24
"BU05183638","2531BL",24
"BU05183638","2531BM",16
"BU05183638","2531BN",24
"BU05183638","2531BP",16
"BU05183638","2531BR",20
"BU05183638","2531BT",20
"BU05183638","2531CA",3
"BU05183638","2531CB",18
"BU05183638","2531CC",11
"BU05183638","2531CD",5
"BU05183638","2531CE",23
"BU05183638","2531CG",24
"BU05183638","2531CH",29
"BU05183638","2531EA",14
"BU05183638","2531EB",14
"BU05183638","2531EC",16
"BU05183638","2531ED",16
"BU05183638","2531EE",17
"BU05183638","2531EG",19
"BU05183638","2531EH",9
"BU05183638","2531EJ",14
"BU05183638","2531EK",1
"BU05183638","2531EM",12
"BU05183638","2531EP",18
"BU05183638","2531ER",12
"BU05183638","2531ES",18
"BU05183638","2531ET",18
"BU05183638","2531EV",18
"BU05183638","2531EW",18
"BU05183638","2531EX",18
"BU05183638","2531GA",17
"BU05183638","2531GB",28
"BU05183620","2531GR",13
"BU05183620","2531GS",23
"BU05183620","2531GT",19
"BU05183620","2531GV",13
"BU05183620","2531GW",18
"BU05183620","2531GX",16
"BU05183620","2531GZ",16
"BU05183620","2531HA",17
"BU05183620","2531HB",16
"BU05183620","2531HC",23
"BU05183620","2531HD",24
"BU05183620","2531HE",22
"BU05183620","2531HG",24
"BU05183620","2531HH",23
"BU05183620","2531HJ",16
"BU05183620","2531HK",9
"BU05183620","2531HL",20
"BU05183620","2531HM",6
"BU05183620","2531HN",19
"BU05183620","2531HP",20
"BU05183620","2531HR",20
"BU05183620","2531HS",25
"BU05183620","2531HT",20
"BU05183620","2531HV",33
"BU05183620","2531JB",6
"BU05183620","2531JC",20
"BU05183620","2531JD",3
"BU05183620","2531JE",19
"BU05183620","2531JG",7
"BU05183620","2531JH",13
"BU05183620","2531JJ",20
"BU05183620","2531JK",20
"BU05183620","2531JL",7
"BU05183620","2531JM",13
"BU05183620","2531JN",19
"BU05183620","2531JP",18
"BU05183620","2531JR",18
"BU05183620","2531JS",18
"BU05183639","2531JT",14
"BU05183639","2531JV",28
"BU05183639","2531JW",20
"BU05183639","2531JX",21
"BU05183639","2531JZ",2
"BU05183639","2531KA",22
"BU05183639","2531KB",20
"BU05183620","2531NA",47
"BU05183620","2531NB",36
"BU05183620","2531NC",31
"BU05183620","2531ND",31
"BU05183620","2531NE",43
"BU05183639","2531PB",21
"BU05183620","2531PD",35
"BU05183620","2531PE",27
"BU05183620","2531PG",17
"BU05183620","2531PH",16
"BU05183620","2531PJ",19
"BU05183620","2531PK",12
"BU05183620","2531PL",20
"BU05183620","2531PM",3
"BU05183620","2531PN",18
"BU05183620","2531PP",18
"BU05183620","2531PR",18
"BU05183620","2531PS",18
"BU05183620","2531PT",17
"BU05183620","2531PV",17
"BU05183620","2531PW",1
"BU05183620","2531PX",24
"BU05183620","2531PZ",18
"BU05183620","2531RA",12
"BU05183620","2531RB",1
"BU05183620","2531RC",18
"BU05183620","2531RD",30
"BU05183620","2531RE",21
"BU05183620","2531RG",23
"BU05183620","2531RH",14
"BU05183620","2531RJ",18
"BU05183620","2531RK",18
"BU05183620","2531RL",32
"BU05183620","2531RM",25
"BU05183620","2531RN",21
"BU05183620","2531RP",21
"BU05183620","2531RR",24
"BU05183620","2531RS",18
"BU05183620","2531RT",18
"BU05183620","2531RV",24
"BU05183620","2531RW",24
"BU05183620","2531RX",19
"BU05183620","2531RZ",18
"BU05183638","2531SB",15
"BU05183638","2531SC",15
"BU05183638","2531SE",24
"BU05183638","2531SG",24
"BU05183638","2531SH",21
"BU05183638","2531SJ",24
"BU05183638","2531SK",24
"BU05183638","2531SL",18
"BU05183638","2531SM",12
"BU05183638","2531SN",18
"BU05183638","2531SP",8
"BU05183638","2531SR",23
"BU05183638","2531ST",24
"BU05183638","2531SV",24
"BU05183638","2531SW",18
"BU05183638","2531SX",9
"BU05183637","2531TA",24
"BU05183637","2531TB",24
"BU05183637","2531TC",24
"BU05183637","2531TD",24
"BU05183637","2531TE",24
"BU05183638","2531TG",4
"BU05183638","2531TH",18
"BU05183638","2531TJ",25
"BU05183638","2531TK",21
"BU05183638","2531TL",24
"BU05183638","2531TM",24
"BU05183638","2531TN",24
"BU05183638","2531TP",24
"BU05183638","2531TR",21
"BU05183638","2531TS",24
"BU05183638","2531TT",18
"BU05183638","2531TV",24
"BU05183638","2531TW",25
"BU05183638","2531VC",25
"BU05183638","2531VD",24
"BU05183638","2531VE",28
"BU05183638","2531VG",24
"BU05183638","2531VH",24
"BU05183638","2531VJ",24
"BU05183638","2531VK",24
"BU05183638","2531VL",14
"BU05183638","2531VM",16
"BU05183638","2531VN",20
"BU05183638","2531VP",9
"BU05183638","2531VR",24
"BU05183638","2531VS",21
"BU05183638","2531VT",18
"BU05183638","2531VV",7
"BU05183638","2531VW",3
"BU05183638","2531VX",18
"BU05183638","2531VZ",16
"BU05183638","2531XA",17
"BU05183638","2531XB",11
"BU05183638","2531XC",19
"BU05183638","2531XD",26
"BU05183638","2531XE",7
"BU05183638","2531XG",27
"BU05183638","2531XH",24
"BU05183638","2531XJ",20
"BU05183638","2531XK",19
"BU05183638","2531XL",16
"BU05183638","2531XM",16
"BU05183638","2531XN",11
"BU05183638","2531XP",24
"BU05183638","2531XR",18
"BU05183638","2531XS",23
"BU05183638","2531XT",24
"BU05183638","2531XV",24
"BU05183638","2531XW",13
"BU05183638","2531XX",17
"BU05183638","2531XZ",17
"BU05183639","2532AA",17
"BU05183639","2532AB",18
"BU05183639","2532AC",18
"BU05183639","2532AD",17
"BU05183639","2532AE",25
"BU05183639","2532AG",24
"BU05183639","2532AH",24
"BU05183639","2532AJ",36
"BU05183639","2532AK",1
"BU05183639","2532AL",21
"BU05183639","2532AM",18
"BU05183639","2532AN",24
"BU05183639","2532AP",24
"BU05183639","2532AR",24
"BU05183639","2532AS",24
"BU05183639","2532AT",24
"BU05183639","2532AV",21
"BU05183639","2532AW",16
"BU05183639","2532AX",17
"BU05183639","2532AZ",33
"BU05183639","2532BA",23
"BU05183639","2532BB",24
"BU05183639","2532BC",21
"BU05183639","2532BD",20
"BU05183639","2532BE",15
"BU05183639","2532BG",36
"BU05183639","2532BH",24
"BU05183639","2532BJ",14
"BU05183639","2532BL",1
"BU05183639","2532BM",21
"BU05183639","2532BN",24
"BU05183639","2532BP",28
"BU05183639","2532BR",24
"BU05183639","2532BS",24
"BU05183639","2532BT",17
"BU05183639","2532BW",18
"BU05183639","2532BX",10
"BU05183639","2532BZ",3
"BU05183638","2532CA",18
"BU05183638","2532CB",15
"BU05183638","2532CC",20
"BU05183638","2532CD",34
"BU05183638","2532CE",24
"BU05183638","2532CG",16
"BU05183638","2532CH",24
"BU05183638","2532CJ",24
"BU05183638","2532CK",16
"BU05183638","2532CL",24
"BU05183638","2532CM",24
"BU05183638","2532CN",25
"BU05183620","2532CP",17
"BU05183620","2532CR",15
"BU05183620","2532CS",14
"BU05183620","2532CT",24
"BU05183620","2532CV",7
"BU05183639","2532DA",40
"BU05183639","2532DB",39
"BU05183639","2532DC",32
"BU05183639","2532DD",33
"BU05183639","2532DE",40
"BU05183639","2532EA",25
"BU05183639","2532EB",16
"BU05183639","2532EC",24
"BU05183639","2532ED",18
"BU05183639","2532EE",23
"BU05183639","2532EG",24
"BU05183639","2532EH",24
"BU05183639","2532EJ",16
"BU05183639","2532EK",24
"BU05183639","2532EL",24
