"gender","age_group","child","single","couple","single_parent","total"
"male","age_0_5",15683,0,0,0,15683
"male","age_5_10",15479,0,0,0,15479
"male","age_10_15",14741,0,0,0,14741
"male","age_15_20",13696,1093,211,0,15000
"male","age_20_25",8645,5316,2262,9,16232
"male","age_25_30",4385,7574,7479,30,19468
"male","age_30_35",1781,6584,11221,102,19688
"male","age_35_40",909,5872,12524,201,19506
"male","age_40_45",512,5345,12189,356,18402
"male","age_45_50",452,5944,13179,648,20223
"male","age_50_55",249,5383,12140,763,18535
"male","age_55_60",152,5028,10627,667,16474
"male","age_60_65",69,4369,8507,411,13356
"male","age_65_70",28,3566,7549,239,11382
"male","age_70_75",8,2944,6764,131,9847
"male","age_75_80",0,1812,4003,75,5890
"male","age_80_85",0,1196,2280,44,3520
"male","age_85_90",0,713,1023,22,1758
"male","age_90_95",0,323,269,6,598
"male","age_over_95",0,91,44,3,138
"female","age_0_5",14961,0,0,0,14961
"female","age_5_10",14964,0,0,0,14964
"female","age_10_15",14082,0,0,0,14082
"female","age_15_20",12811,1494,353,30,14688
"female","age_20_25",6881,6028,3838,430,17177
"female","age_25_30",2600,6584,9997,1446,20627
"female","age_30_35",855,4457,12710,2293,20315
"female","age_35_40",304,3227,13391,2907,19829
"female","age_40_45",171,2829,12349,3141,18490
"female","age_45_50",143,3285,12520,3567,19515
"female","age_50_55",91,3648,10852,2932,17523
"female","age_55_60",74,4463,9408,1906,15851
"female","age_60_65",24,4852,7866,983,13725
"female","age_65_70",10,4961,6448,556,11975
"female","age_70_75",4,5009,5476,285,10774
"female","age_75_80",1,4016,2705,202,6924
"female","age_80_85",0,3360,1433,165,4958
"female","age_85_90",0,2468,507,114,3089
"female","age_90_95",0,1158,109,69,1336
"female","age_over_95",0,388,9,16,413
