"type","income_1_10","income_2_10","income_3_10","income_4_10","income_5_10","income_6_10","income_7_10","income_8_10","income_9_10","income_10_10"
"single",0.21,0.16,0.12,0.09,0.09,0.08,0.07,0.06,0.06,0.06
"single-parent",0.23,0.18,0.11,0.12,0.09,0.07,0.06,0.05,0.04,0.03
"couple_without_children",0.09,0.09,0.07,0.08,0.08,0.08,0.09,0.1,0.13,0.18
"couple_with_children",0.12,0.07,0.06,0.08,0.08,0.09,0.1,0.11,0.13,0.17
"breadwinner_age_0_24",0.35,0.15,0.15,0.12,0.08,0.06,0.04,0.03,0.02,0.01
"breadwinner_age_25_44",0.17,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.1
"breadwinner_age_45_64",0.18,0.1,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.15
"breadwinner_age_over_65",0.1,0.19,0.16,0.11,0.09,0.08,0.07,0.07,0.06,0.08
"breadwinner_migration_Dutch",0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.11,0.14
"breadwinner_migration_Western",0.18,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.13
"breadwinner_migration_Non_Western",0.26,0.17,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.05
