"age_group","gender","migration_background","high","low","middle","total","no_current_edu","prob_low","prob_middle","prob_high"
"age_10_15","female","Dutch",0,2538,575,5859,2746,0.433179723502304,0.0981396142686465,0
"age_10_15","female","Non_Western",0,2879,315,6747,3553,0.42670816659256,0.0466874166296132,0
"age_10_15","female","Western",0,874,234,2327,1219,0.37559088955737,0.100558659217877,0
"age_10_15","male","Dutch",0,2650,497,6028,2881,0.439615129396151,0.0824485733244857,0
"age_10_15","male","Non_Western",0,2978,326,6339,3035,0.469790187726771,0.051427669979492,0
"age_10_15","male","Western",0,880,223,2425,1322,0.362886597938144,0.0919587628865979,0
"age_15_20","female","Dutch",1044,851,3266,5783,622,0.147155455645859,0.564758775721944,0.180529137126059
"age_15_20","female","Non_Western",837,1624,3746,6853,646,0.236976506639428,0.546621917408434,0.122136290675617
"age_15_20","female","Western",635,353,955,2240,297,0.157589285714286,0.426339285714286,0.283482142857143
"age_15_20","male","Dutch",845,964,3335,5982,838,0.16115011701772,0.557505850885991,0.141257104647275
"age_15_20","male","Non_Western",667,1998,3594,7210,951,0.277115117891817,0.498474341192788,0.0925104022191401
"age_15_20","male","Western",407,371,876,2545,891,0.145776031434185,0.344204322200393,0.15992141453831
"age_20_25","female","Dutch",2700,3,509,6105,2893,0.000491400491400491,0.0833742833742834,0.442260442260442
"age_20_25","female","Non_Western",3040,56,1262,8046,3688,0.00695998011434253,0.156848123291076,0.377827491921452
"age_20_25","female","Western",1729,4,153,3911,2025,0.00102275632830478,0.0391204295576579,0.442086422909742
"age_20_25","male","Dutch",2416,5,563,6020,3036,0.000830564784053156,0.0935215946843854,0.401328903654485
"age_20_25","male","Non_Western",2370,124,1277,8151,4380,0.0152128573181205,0.156667893509999,0.290761869709238
"age_20_25","male","Western",1275,4,136,3253,1838,0.00122963418383031,0.0418075622502306,0.391945896095911
"age_25_30","female","Dutch",901,1,144,7942,6896,0.00012591286829514,0.0181314530345001,0.113447494333921
"age_25_30","female","Non_Western",1296,33,294,8648,7025,0.0038159111933395,0.0339962997224792,0.149861239592969
"age_25_30","female","Western",559,2,32,4099,3506,0.000487923883874116,0.00780678214198585,0.136374725542815
"age_25_30","male","Dutch",1153,1,134,7975,6687,0.000125391849529781,0.0168025078369906,0.144576802507837
"age_25_30","male","Non_Western",1219,43,288,8748,7198,0.00491540923639689,0.0329218106995885,0.139346136259717
"age_25_30","male","Western",513,0,36,4908,4359,0,0.00733496332518337,0.104523227383863
"age_30_35","female","Dutch",187,4,49,7238,6998,0.000552638850511191,0.00676982591876209,0.0258358662613982
"age_30_35","female","Non_Western",347,19,91,8796,8339,0.00216007276034561,0.0103456116416553,0.039449749886312
"age_30_35","female","Western",96,4,12,4792,4680,0.000834724540901503,0.00250417362270451,0.0200333889816361
"age_30_35","male","Dutch",253,0,47,7301,7001,0,0.0064374743185865,0.0346527872894124
"age_30_35","male","Non_Western",312,4,78,8895,8501,0.000449690837549185,0.00876897133220911,0.0350758853288364
"age_30_35","male","Western",131,0,12,4580,4437,0,0.00262008733624454,0.0286026200873362
"age_35_40","female","Dutch",90,0,32,7187,7065,0,0.00445248365103659,0.0125226102685404
"age_35_40","female","Non_Western",131,7,46,8531,8347,0.000820536865549174,0.00539209940218028,0.0153557613409917
"age_35_40","female","Western",46,3,14,4559,4496,0.000658039043649923,0.00307084887036631,0.0100899320026322
"age_35_40","male","Dutch",77,0,26,6953,6850,0,0.00373939306774054,0.0110743563929239
"age_35_40","male","Non_Western",74,2,50,8494,8368,0.000235460324935248,0.00588650812338121,0.00871203202260419
"age_35_40","male","Western",25,0,11,4689,4653,0,0.00234591597355513,0.00533162721262529
"age_40_45","female","Dutch",78,0,28,7042,6936,0,0.00397614314115308,0.011076398750355
"age_40_45","female","Non_Western",64,4,38,7284,7178,0.000549148819330038,0.00521691378363537,0.00878638110928062
"age_40_45","female","Western",30,2,10,4400,4358,0.000454545454545455,0.00227272727272727,0.00681818181818182
"age_40_45","male","Dutch",61,0,9,7717,7647,0,0.00116625631722172,0.00790462615005831
"age_40_45","male","Non_Western",41,1,16,7067,7009,0.000141502759303806,0.0022640441488609,0.00580161313145606
"age_40_45","male","Western",23,0,5,4180,4152,0,0.00119617224880383,0.00550239234449761
"age_45_50","female","Dutch",51,0,38,8792,8703,0,0.0043221110100091,0.0058007279344859
"age_45_50","female","Non_Western",32,0,32,7131,7067,0,0.00448744916561492,0.00448744916561492
"age_45_50","female","Western",28,0,10,3912,3874,0,0.00255623721881391,0.00715746421267894
"age_45_50","male","Dutch",31,0,14,9434,9389,0,0.00148399406402374,0.00328598685605258
"age_45_50","male","Non_Western",28,0,17,7468,7423,0,0.00227637921799679,0.00374933047670059
"age_45_50","male","Western",8,0,7,3915,3900,0,0.00178799489144317,0.00204342273307791
"age_over_50","female","Dutch",69,0,44,52686,52573,0,0.000835136468891167,0.00130964582621569
"age_over_50","female","Non_Western",20,1,24,21609,21564,4.62770142070434e-05,0.00111064834096904,0.000925540284140867
"age_over_50","female","Western",21,0,7,13561,13533,0,0.000516186121967407,0.00154855836590222
"age_over_50","male","Dutch",50,1,16,53012,52945,1.88636535124123e-05,0.000301818456198597,0.000943182675620614
"age_over_50","male","Non_Western",14,0,15,22119,22090,0,0.0006781500067815,0.0006329400063294
"age_over_50","male","Western",11,0,10,13538,13517,0,0.000738661545279953,0.000812527699807948
