"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",11,169,33,213
"female","age_over_95",16,612,130,758
"female","age_0_5",6130,6174,3240,15544
"male","age_0_5",6451,6489,3076,16016
"female","age_5_10",6340,6182,2917,15439
"male","age_5_10",6542,6456,2810,15808
"male","age_10_15",6339,6028,2425,14792
"female","age_10_15",6747,5859,2327,14933
"female","age_15_20",6853,5783,2240,14876
"male","age_15_20",7210,5982,2545,15737
"male","age_20_25",8151,6020,3253,17424
"female","age_20_25",8046,6105,3911,18062
"female","age_25_30",8648,7942,4099,20689
"male","age_25_30",8748,7975,4908,21631
"male","age_30_35",8895,7301,4580,20776
"female","age_30_35",8796,7238,4792,20826
"female","age_35_40",8531,7187,4559,20277
"male","age_35_40",8494,6953,4689,20136
"male","age_40_45",7067,7717,4180,18964
"female","age_40_45",7284,7042,4400,18726
"female","age_45_50",7131,8792,3912,19835
"male","age_45_50",7468,9434,3915,20817
"female","age_50_55",6051,9440,3290,18781
"male","age_50_55",6406,8631,3213,18250
"female","age_55_60",5267,8498,2471,16236
"male","age_55_60",5501,9141,2552,17194
"female","age_60_65",3971,8060,1921,13952
"male","age_60_65",3697,8295,2100,14092
"male","age_65_70",2916,7618,1656,12190
"female","age_65_70",2570,7585,1831,11986
"female","age_70_75",1762,7139,1398,10299
"male","age_70_75",1711,7841,1558,11110
"male","age_75_80",1092,4136,958,6186
"female","age_75_80",1077,5056,1186,7319
"female","age_80_85",640,2717,604,3961
"male","age_80_85",485,3959,868,5312
"male","age_85_90",265,1570,286,2121
"female","age_85_90",166,2938,624,3728
"female","age_90_95",89,641,106,836
"male","age_90_95",35,1652,314,2001
