"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU05181785",55,27,28,10,6,16,13,10,27,27,10,5,2,3,"1.90769230769231",19,15,21,1
"BU05183284",15010,7325,7685,2170,1620,4575,3940,2710,2630,3030,7840,3735,1840,2275,"     1.9",3190,5370,3140,9350
"BU05183387",8730,4350,4380,1850,1085,2600,2070,1130,1105,5495,4015,1880,620,1525,"     2.1",3250,2250,870,2130
"BU05183396",7955,3975,3980,1655,870,2475,1930,1025,1055,4825,3745,1690,695,1370,"     2.1",2850,2170,960,2075
"BU05183398",10820,5250,5565,2265,1260,3185,2325,1790,1385,6530,4940,2255,865,1830,"     2.1",3520,3030,1150,2905
"BU05183399",1525,725,800,210,120,240,365,590,205,165,820,435,210,185,"     1.9",370,330,340,1155
"BU05183480",6205,3155,3050,1210,645,2175,1530,645,1160,3500,3225,1650,565,1020,"     1.9",2390,1560,1000,1545
"BU05183488",7505,3705,3800,1495,810,2295,1815,1090,800,4245,3465,1500,695,1275,"     2.2",1890,2600,1190,2460
"BU05183489",5630,2900,2730,975,560,1930,1385,780,715,2970,3230,1865,510,860,"     1.7",1900,1890,680,1945
"BU05183536",155,65,85,5,5,10,45,90,10,20,115,95,25,5,"     1.3",70,30,10,125
"BU05183620",3245,1745,1495,655,355,1095,775,370,445,2025,1720,1000,205,525,"     1.8",1160,860,330,775
"BU05183637",6245,3175,3070,1370,635,1885,1560,795,680,4055,3220,1705,425,1100,"     1.9",2250,1940,400,1510
"BU05183638",7035,3630,3400,1375,925,2305,1720,710,1430,3865,3495,1730,605,1170,"     2.0",2660,2010,770,1740
"BU05183639",4765,2510,2255,1085,605,1775,885,415,425,3140,2450,1300,375,785,"     1.9",1640,1230,660,1200
