"Perioden";"Huwelijkssluiting/Tussen man en vrouw (aantal)";"Huwelijkssluiting/Tussen mannen (aantal)";"Huwelijkssluiting/Tussen vrouwen (aantal)";"Partnerschapsregistraties/Totaal gesloten partnerschappen/Tussen man en vrouw (aantal)";"Partnerschapsregistraties/Totaal gesloten partnerschappen/Tussen mannen (aantal)";"Partnerschapsregistraties/Totaal gesloten partnerschappen/Tussen vrouwen (aantal)"
"2001";79677;1339;1075;2847;285;245
"2002";83970;935;903;7774;269;278
"2003";78928;735;764;9577;262;280
"2004";72231;579;631;10573;261;322
"2005";71113;570;580;10699;279;329
"2006";71157;579;633;10182;295;324
"2007";71114;663;708;9945;269;336
"2008";74030;656;752;10231;298;313
"2009";72119;573;785;9002;221;274
"2010";74045;660;694;9084;234;253
"2011";70217;601;754;9464;235;246
"2012";69030;544;741;8789;217;218
"2013";63327;522;700;9038;208;199
"2014";64074;532;727;9962;201;200
"2015";62912;647;749;12331;202;239
"2016";63813;665;771;15090;286;330
"2017";63027;620;755;17194;316;356
"2018";62813;682;820;19181;311;338
"2019";62146;675;744;21176;348;361
