"Geslacht";"Leeftijd";"Perioden";"Regio's";"Personen in particuliere huishoudens/Thuiswonend kind (aantal)";"Personen in particuliere huishoudens/Alleenstaand (aantal)";"Personen in particuliere huishoudens/Samenwonend/Totaal samenwonende personen (aantal)";"Personen in particuliere huishoudens/Ouder in eenouderhuishouden (aantal)"
"Mannen";"0 tot 5 jaar";"2019";"'s-Gravenhage (gemeente)";15683;;;
"Mannen";"5 tot 10 jaar";"2019";"'s-Gravenhage (gemeente)";15479;;;
"Mannen";"10 tot 15 jaar";"2019";"'s-Gravenhage (gemeente)";14741;;;
"Mannen";"15 tot 20 jaar";"2019";"'s-Gravenhage (gemeente)";13696;1093;211;0
"Mannen";"20 tot 25 jaar";"2019";"'s-Gravenhage (gemeente)";8645;5316;2262;9
"Mannen";"25 tot 30 jaar";"2019";"'s-Gravenhage (gemeente)";4385;7574;7479;30
"Mannen";"30 tot 35 jaar";"2019";"'s-Gravenhage (gemeente)";1781;6584;11221;102
"Mannen";"35 tot 40 jaar";"2019";"'s-Gravenhage (gemeente)";909;5872;12524;201
"Mannen";"40 tot 45 jaar";"2019";"'s-Gravenhage (gemeente)";512;5345;12189;356
"Mannen";"45 tot 50 jaar";"2019";"'s-Gravenhage (gemeente)";452;5944;13179;648
"Mannen";"50 tot 55 jaar";"2019";"'s-Gravenhage (gemeente)";249;5383;12140;763
"Mannen";"55 tot 60 jaar";"2019";"'s-Gravenhage (gemeente)";152;5028;10627;667
"Mannen";"60 tot 65 jaar";"2019";"'s-Gravenhage (gemeente)";69;4369;8507;411
"Mannen";"65 tot 70 jaar";"2019";"'s-Gravenhage (gemeente)";28;3566;7549;239
"Mannen";"70 tot 75 jaar";"2019";"'s-Gravenhage (gemeente)";8;2944;6764;131
"Mannen";"75 tot 80 jaar";"2019";"'s-Gravenhage (gemeente)";0;1812;4003;75
"Mannen";"80 tot 85 jaar";"2019";"'s-Gravenhage (gemeente)";0;1196;2280;44
"Mannen";"85 tot 90 jaar";"2019";"'s-Gravenhage (gemeente)";0;713;1023;22
"Mannen";"90 tot 95 jaar";"2019";"'s-Gravenhage (gemeente)";0;323;269;6
"Mannen";"95 jaar of ouder";"2019";"'s-Gravenhage (gemeente)";0;91;44;3
"Vrouwen";"0 tot 5 jaar";"2019";"'s-Gravenhage (gemeente)";14961;;;
"Vrouwen";"5 tot 10 jaar";"2019";"'s-Gravenhage (gemeente)";14964;;;
"Vrouwen";"10 tot 15 jaar";"2019";"'s-Gravenhage (gemeente)";14082;;;
"Vrouwen";"15 tot 20 jaar";"2019";"'s-Gravenhage (gemeente)";12811;1494;353;30
"Vrouwen";"20 tot 25 jaar";"2019";"'s-Gravenhage (gemeente)";6881;6028;3838;430
"Vrouwen";"25 tot 30 jaar";"2019";"'s-Gravenhage (gemeente)";2600;6584;9997;1446
"Vrouwen";"30 tot 35 jaar";"2019";"'s-Gravenhage (gemeente)";855;4457;12710;2293
"Vrouwen";"35 tot 40 jaar";"2019";"'s-Gravenhage (gemeente)";304;3227;13391;2907
"Vrouwen";"40 tot 45 jaar";"2019";"'s-Gravenhage (gemeente)";171;2829;12349;3141
"Vrouwen";"45 tot 50 jaar";"2019";"'s-Gravenhage (gemeente)";143;3285;12520;3567
"Vrouwen";"50 tot 55 jaar";"2019";"'s-Gravenhage (gemeente)";91;3648;10852;2932
"Vrouwen";"55 tot 60 jaar";"2019";"'s-Gravenhage (gemeente)";74;4463;9408;1906
"Vrouwen";"60 tot 65 jaar";"2019";"'s-Gravenhage (gemeente)";24;4852;7866;983
"Vrouwen";"65 tot 70 jaar";"2019";"'s-Gravenhage (gemeente)";10;4961;6448;556
"Vrouwen";"70 tot 75 jaar";"2019";"'s-Gravenhage (gemeente)";4;5009;5476;285
"Vrouwen";"75 tot 80 jaar";"2019";"'s-Gravenhage (gemeente)";1;4016;2705;202
"Vrouwen";"80 tot 85 jaar";"2019";"'s-Gravenhage (gemeente)";0;3360;1433;165
"Vrouwen";"85 tot 90 jaar";"2019";"'s-Gravenhage (gemeente)";0;2468;507;114
"Vrouwen";"90 tot 95 jaar";"2019";"'s-Gravenhage (gemeente)";0;1158;109;69
"Vrouwen";"95 jaar of ouder";"2019";"'s-Gravenhage (gemeente)";0;388;9;16
