"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Verdeling inkomen/Gestandaardiseerd inkomen: 1e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 2e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 3e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 4e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 5e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 6e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 7e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 8e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 9e 10%-groep (%)";"Verdeling inkomen/Gestandaardiseerd inkomen: 10e 10%-groep (%)"
"Particuliere huishoudens excl. studenten";"Type: Eenpersoonshuishouden";"2019";"'s-Gravenhage (gemeente)";21;16;12;9;9;8;7;6;6;6
"Particuliere huishoudens excl. studenten";"Type: Eenoudergezin";"2019";"'s-Gravenhage (gemeente)";23;18;11;12;9;7;6;5;4;3
"Particuliere huishoudens excl. studenten";"Type: Paar, zonder kind";"2019";"'s-Gravenhage (gemeente)";9;9;7;8;8;8;9;10;13;18
"Particuliere huishoudens excl. studenten";"Type: Paar, met kind(eren)";"2019";"'s-Gravenhage (gemeente)";12;7;6;8;8;9;10;11;13;17
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: tot 25 jaar";"2019";"'s-Gravenhage (gemeente)";35;15;15;12;8;6;4;3;2;1
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: 25 tot 45 jaar";"2019";"'s-Gravenhage (gemeente)";17;10;9;9;10;9;9;9;9;10
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: 45 tot 65 jaar";"2019";"'s-Gravenhage (gemeente)";18;10;7;7;7;8;8;9;10;15
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: 65 jaar of ouder";"2019";"'s-Gravenhage (gemeente)";10;19;16;11;9;8;7;7;6;8
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: Nederland";"2019";"'s-Gravenhage (gemeente)";9;10;10;9;9;9;9;10;11;14
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: westers";"2019";"'s-Gravenhage (gemeente)";18;10;9;9;9;9;8;7;8;13
"Particuliere huishoudens excl. studenten";"Hoofdkostwinner: niet-westers";"2019";"'s-Gravenhage (gemeente)";26;17;10;9;8;7;6;6;5;5
