"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"21996";"T001038";"10000";"T001345";"1012600";"GM0518";"2018SJ00";"   12089"
"53148";"T001038";"10000";"T001345";"2012655";"GM0518";"2018SJ00";"    4224"
"68724";"T001038";"10000";"T001345";"2012657";"GM0518";"2018SJ00";"   12618"
"193332";"T001038";"10000";"A041919";"1012600";"GM0518";"2018SJ00";"    4721"
"224484";"T001038";"10000";"A041919";"2012655";"GM0518";"2018SJ00";"    1721"
"240060";"T001038";"10000";"A041919";"2012657";"GM0518";"2018SJ00";"    5271"
"364668";"T001038";"10000";"A041920";"1012600";"GM0518";"2018SJ00";"    2964"
"395820";"T001038";"10000";"A041920";"2012655";"GM0518";"2018SJ00";"    1011"
"411396";"T001038";"10000";"A041920";"2012657";"GM0518";"2018SJ00";"    1528"
"536004";"T001038";"10000";"A041921";"1012600";"GM0518";"2018SJ00";"    2195"
"567156";"T001038";"10000";"A041921";"2012655";"GM0518";"2018SJ00";"     770"
"582732";"T001038";"10000";"A041921";"2012657";"GM0518";"2018SJ00";"    1926"
"707340";"T001038";"10000";"A041922";"1012600";"GM0518";"2018SJ00";"    1124"
"738492";"T001038";"10000";"A041922";"2012655";"GM0518";"2018SJ00";"     268"
"754068";"T001038";"10000";"A041922";"2012657";"GM0518";"2018SJ00";"    1431"
"878676";"T001038";"10000";"A041923";"1012600";"GM0518";"2018SJ00";"     818"
"909828";"T001038";"10000";"A041923";"2012655";"GM0518";"2018SJ00";"     251"
"925404";"T001038";"10000";"A041923";"2012657";"GM0518";"2018SJ00";"    1662"
"1050012";"T001038";"10000";"A025289";"1012600";"GM0518";"2018SJ00";"     267"
"1081164";"T001038";"10000";"A025289";"2012655";"GM0518";"2018SJ00";"     203"
"1096740";"T001038";"10000";"A025289";"2012657";"GM0518";"2018SJ00";"     800"
"1221348";"T001038";"10000";"A025300";"1012600";"GM0518";"2018SJ00";"     142"
"1252500";"T001038";"10000";"A025300";"2012655";"GM0518";"2018SJ00";"      51"
"1268076";"T001038";"10000";"A025300";"2012657";"GM0518";"2018SJ00";"     257"
"1392684";"T001038";"10000";"A041867";"1012600";"GM0518";"2018SJ00";"    4113"
"1423836";"T001038";"10000";"A041867";"2012655";"GM0518";"2018SJ00";"     965"
"1439412";"T001038";"10000";"A041867";"2012657";"GM0518";"2018SJ00";"    8407"
"1564020";"T001038";"10000";"A041868";"1012600";"GM0518";"2018SJ00";"    2944"
"1595172";"T001038";"10000";"A041868";"2012655";"GM0518";"2018SJ00";"     718"
"1610748";"T001038";"10000";"A041868";"2012657";"GM0518";"2018SJ00";"    7350"
"1735356";"T001038";"10000";"A025293";"1012600";"GM0518";"2018SJ00";"    1169"
"1766508";"T001038";"10000";"A025293";"2012655";"GM0518";"2018SJ00";"     247"
"1782084";"T001038";"10000";"A025293";"2012657";"GM0518";"2018SJ00";"    1057"
"1906692";"T001038";"10000";"A041751";"1012600";"GM0518";"2018SJ00";"      88"
"1937844";"T001038";"10000";"A041751";"2012655";"GM0518";"2018SJ00";"      54"
"1953420";"T001038";"10000";"A041751";"2012657";"GM0518";"2018SJ00";"     609"
"2078028";"T001038";"10000";"A041755";"1012600";"GM0518";"2018SJ00";"     697"
"2109180";"T001038";"10000";"A041755";"2012655";"GM0518";"2018SJ00";"     234"
"2124756";"T001038";"10000";"A041755";"2012657";"GM0518";"2018SJ00";"    2027"
"2249364";"T001038";"10000";"A041759";"1012600";"GM0518";"2018SJ00";"    1002"
"2280516";"T001038";"10000";"A041759";"2012655";"GM0518";"2018SJ00";"     208"
"2296092";"T001038";"10000";"A041759";"2012657";"GM0518";"2018SJ00";"    1813"
"2420700";"T001038";"10000";"A041924";"1012600";"GM0518";"2018SJ00";"    2322"
"2451852";"T001038";"10000";"A041924";"2012655";"GM0518";"2018SJ00";"     469"
"2467428";"T001038";"10000";"A041924";"2012657";"GM0518";"2018SJ00";"    3958"
"2592036";"T001038";"10000";"A041925";"1012600";"GM0518";"2018SJ00";"       4"
"2623188";"T001038";"10000";"A041925";"2012655";"GM0518";"2018SJ00";"       0"
"2638764";"T001038";"10000";"A041925";"2012657";"GM0518";"2018SJ00";"       0"
"2763372";"T001038";"10000";"A025294";"1012600";"GM0518";"2018SJ00";"    6052"
"2794524";"T001038";"10000";"A025294";"2012655";"GM0518";"2018SJ00";"    3146"
"2810100";"T001038";"10000";"A025294";"2012657";"GM0518";"2018SJ00";"    7359"
"2934708";"T001038";"10000";"A025297";"1012600";"GM0518";"2018SJ00";"    3954"
"2965860";"T001038";"10000";"A025297";"2012655";"GM0518";"2018SJ00";"    2391"
"2981436";"T001038";"10000";"A025297";"2012657";"GM0518";"2018SJ00";"    3133"
"3106044";"T001038";"40900";"T001345";"1012600";"GM0518";"2018SJ00";"       0"
"3137196";"T001038";"40900";"T001345";"2012655";"GM0518";"2018SJ00";"       0"
"3152772";"T001038";"40900";"T001345";"2012657";"GM0518";"2018SJ00";"       0"
"3277380";"T001038";"40900";"A041919";"1012600";"GM0518";"2018SJ00";"       0"
"3308532";"T001038";"40900";"A041919";"2012655";"GM0518";"2018SJ00";"       0"
"3324108";"T001038";"40900";"A041919";"2012657";"GM0518";"2018SJ00";"       0"
"3448716";"T001038";"40900";"A041920";"1012600";"GM0518";"2018SJ00";"       0"
"3479868";"T001038";"40900";"A041920";"2012655";"GM0518";"2018SJ00";"       0"
"3495444";"T001038";"40900";"A041920";"2012657";"GM0518";"2018SJ00";"       0"
"3620052";"T001038";"40900";"A041921";"1012600";"GM0518";"2018SJ00";"       0"
"3651204";"T001038";"40900";"A041921";"2012655";"GM0518";"2018SJ00";"       0"
"3666780";"T001038";"40900";"A041921";"2012657";"GM0518";"2018SJ00";"       0"
"3791388";"T001038";"40900";"A041922";"1012600";"GM0518";"2018SJ00";"       0"
"3822540";"T001038";"40900";"A041922";"2012655";"GM0518";"2018SJ00";"       0"
"3838116";"T001038";"40900";"A041922";"2012657";"GM0518";"2018SJ00";"       0"
"3962724";"T001038";"40900";"A041923";"1012600";"GM0518";"2018SJ00";"       0"
"3993876";"T001038";"40900";"A041923";"2012655";"GM0518";"2018SJ00";"       0"
"4009452";"T001038";"40900";"A041923";"2012657";"GM0518";"2018SJ00";"       0"
"4134060";"T001038";"40900";"A025289";"1012600";"GM0518";"2018SJ00";"       0"
"4165212";"T001038";"40900";"A025289";"2012655";"GM0518";"2018SJ00";"       0"
"4180788";"T001038";"40900";"A025289";"2012657";"GM0518";"2018SJ00";"       0"
"4305396";"T001038";"40900";"A025300";"1012600";"GM0518";"2018SJ00";"       0"
"4336548";"T001038";"40900";"A025300";"2012655";"GM0518";"2018SJ00";"       0"
"4352124";"T001038";"40900";"A025300";"2012657";"GM0518";"2018SJ00";"       0"
"4476732";"T001038";"40900";"A041867";"1012600";"GM0518";"2018SJ00";"       0"
"4507884";"T001038";"40900";"A041867";"2012655";"GM0518";"2018SJ00";"       0"
"4523460";"T001038";"40900";"A041867";"2012657";"GM0518";"2018SJ00";"       0"
"4648068";"T001038";"40900";"A041868";"1012600";"GM0518";"2018SJ00";"       0"
"4679220";"T001038";"40900";"A041868";"2012655";"GM0518";"2018SJ00";"       0"
"4694796";"T001038";"40900";"A041868";"2012657";"GM0518";"2018SJ00";"       0"
"4819404";"T001038";"40900";"A025293";"1012600";"GM0518";"2018SJ00";"       0"
"4850556";"T001038";"40900";"A025293";"2012655";"GM0518";"2018SJ00";"       0"
"4866132";"T001038";"40900";"A025293";"2012657";"GM0518";"2018SJ00";"       0"
"4990740";"T001038";"40900";"A041751";"1012600";"GM0518";"2018SJ00";"       0"
"5021892";"T001038";"40900";"A041751";"2012655";"GM0518";"2018SJ00";"       0"
"5037468";"T001038";"40900";"A041751";"2012657";"GM0518";"2018SJ00";"       0"
"5162076";"T001038";"40900";"A041755";"1012600";"GM0518";"2018SJ00";"       0"
"5193228";"T001038";"40900";"A041755";"2012655";"GM0518";"2018SJ00";"       0"
