"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"10636";"T001038";"10000";"T001019";"GM0518";"2019JJ00";"  537833"
"166561";"T001038";"10010";"T001019";"GM0518";"2019JJ00";"    6226"
"322486";"T001038";"10100";"T001019";"GM0518";"2019JJ00";"    6396"
"478411";"T001038";"10200";"T001019";"GM0518";"2019JJ00";"    6374"
"634336";"T001038";"10300";"T001019";"GM0518";"2019JJ00";"    6210"
"790261";"T001038";"10400";"T001019";"GM0518";"2019JJ00";"    6354"
"946186";"T001038";"10500";"T001019";"GM0518";"2019JJ00";"    6164"
"1102111";"T001038";"10600";"T001019";"GM0518";"2019JJ00";"    6275"
"1258036";"T001038";"10700";"T001019";"GM0518";"2019JJ00";"    6306"
"1413961";"T001038";"10800";"T001019";"GM0518";"2019JJ00";"    6324"
"1569886";"T001038";"10900";"T001019";"GM0518";"2019JJ00";"    6178"
"1725811";"T001038";"11000";"T001019";"GM0518";"2019JJ00";"    6136"
"1881736";"T001038";"11100";"T001019";"GM0518";"2019JJ00";"    5925"
"2037661";"T001038";"11200";"T001019";"GM0518";"2019JJ00";"    5998"
"2193586";"T001038";"11300";"T001019";"GM0518";"2019JJ00";"    5814"
"2349511";"T001038";"11400";"T001019";"GM0518";"2019JJ00";"    5852"
"2505436";"T001038";"11500";"T001019";"GM0518";"2019JJ00";"    5788"
"2661361";"T001038";"11600";"T001019";"GM0518";"2019JJ00";"    5834"
"2817286";"T001038";"11700";"T001019";"GM0518";"2019JJ00";"    5808"
"2973211";"T001038";"11800";"T001019";"GM0518";"2019JJ00";"    6244"
"3129136";"T001038";"11900";"T001019";"GM0518";"2019JJ00";"    6939"
"3285061";"T001038";"12000";"T001019";"GM0518";"2019JJ00";"    6917"
"3440986";"T001038";"12100";"T001019";"GM0518";"2019JJ00";"    6851"
"3596911";"T001038";"12200";"T001019";"GM0518";"2019JJ00";"    6867"
"3752836";"T001038";"12300";"T001019";"GM0518";"2019JJ00";"    7234"
"3908761";"T001038";"12400";"T001019";"GM0518";"2019JJ00";"    7617"
"4064686";"T001038";"12500";"T001019";"GM0518";"2019JJ00";"    8075"
"4220611";"T001038";"12600";"T001019";"GM0518";"2019JJ00";"    8370"
"4376536";"T001038";"12700";"T001019";"GM0518";"2019JJ00";"    8531"
"4532461";"T001038";"12800";"T001019";"GM0518";"2019JJ00";"    8668"
"4688386";"T001038";"12900";"T001019";"GM0518";"2019JJ00";"    8676"
"4844311";"T001038";"13000";"T001019";"GM0518";"2019JJ00";"    8644"
"5000236";"T001038";"13100";"T001019";"GM0518";"2019JJ00";"    8283"
"5156161";"T001038";"13200";"T001019";"GM0518";"2019JJ00";"    8154"
"5312086";"T001038";"13300";"T001019";"GM0518";"2019JJ00";"    8314"
"5468011";"T001038";"13400";"T001019";"GM0518";"2019JJ00";"    8207"
"5623936";"T001038";"13500";"T001019";"GM0518";"2019JJ00";"    8234"
"5779861";"T001038";"13600";"T001019";"GM0518";"2019JJ00";"    7996"
"5935786";"T001038";"13700";"T001019";"GM0518";"2019JJ00";"    8219"
"6091711";"T001038";"13800";"T001019";"GM0518";"2019JJ00";"    8102"
"6247636";"T001038";"13900";"T001019";"GM0518";"2019JJ00";"    7862"
"6403561";"T001038";"14000";"T001019";"GM0518";"2019JJ00";"    7863"
"6559486";"T001038";"14100";"T001019";"GM0518";"2019JJ00";"    7583"
"6715411";"T001038";"14200";"T001019";"GM0518";"2019JJ00";"    7227"
"6871336";"T001038";"14300";"T001019";"GM0518";"2019JJ00";"    7377"
"7027261";"T001038";"14400";"T001019";"GM0518";"2019JJ00";"    7640"
"7183186";"T001038";"14500";"T001019";"GM0518";"2019JJ00";"    7713"
"7339111";"T001038";"14600";"T001019";"GM0518";"2019JJ00";"    8154"
"7495036";"T001038";"14700";"T001019";"GM0518";"2019JJ00";"    8244"
"7650961";"T001038";"14800";"T001019";"GM0518";"2019JJ00";"    8227"
"7806886";"T001038";"14900";"T001019";"GM0518";"2019JJ00";"    8314"
"7962811";"T001038";"15000";"T001019";"GM0518";"2019JJ00";"    7566"
"8118736";"T001038";"15100";"T001019";"GM0518";"2019JJ00";"    7407"
"8274661";"T001038";"15200";"T001019";"GM0518";"2019JJ00";"    7362"
"8430586";"T001038";"15300";"T001019";"GM0518";"2019JJ00";"    7357"
"8586511";"T001038";"15400";"T001019";"GM0518";"2019JJ00";"    7339"
"8742436";"T001038";"15500";"T001019";"GM0518";"2019JJ00";"    7233"
"8898361";"T001038";"15600";"T001019";"GM0518";"2019JJ00";"    6797"
"9054286";"T001038";"15700";"T001019";"GM0518";"2019JJ00";"    6493"
"9210211";"T001038";"15800";"T001019";"GM0518";"2019JJ00";"    6549"
"9366136";"T001038";"15900";"T001019";"GM0518";"2019JJ00";"    6358"
"9522061";"T001038";"16000";"T001019";"GM0518";"2019JJ00";"    5881"
"9677986";"T001038";"16100";"T001019";"GM0518";"2019JJ00";"    5770"
"9833911";"T001038";"16200";"T001019";"GM0518";"2019JJ00";"    5702"
"9989836";"T001038";"16300";"T001019";"GM0518";"2019JJ00";"    5374"
"10145761";"T001038";"16400";"T001019";"GM0518";"2019JJ00";"    5317"
"10301686";"T001038";"16500";"T001019";"GM0518";"2019JJ00";"    5058"
"10457611";"T001038";"16600";"T001019";"GM0518";"2019JJ00";"    5026"
"10613536";"T001038";"16700";"T001019";"GM0518";"2019JJ00";"    4708"
"10769461";"T001038";"16800";"T001019";"GM0518";"2019JJ00";"    4809"
"10925386";"T001038";"16900";"T001019";"GM0518";"2019JJ00";"    4575"
"11081311";"T001038";"17000";"T001019";"GM0518";"2019JJ00";"    4776"
"11237236";"T001038";"17100";"T001019";"GM0518";"2019JJ00";"    4876"
