"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"2094153";"T001038";"70100";"1012600";"T001040";"GM0518";"2019JJ00";"   12663"
"2161623";"T001038";"70100";"2012655";"T001040";"GM0518";"2019JJ00";"    6316"
"2195358";"T001038";"70100";"2012657";"T001040";"GM0518";"2019JJ00";"   12581"
"4151988";"T001038";"70200";"1012600";"T001040";"GM0518";"2019JJ00";"   12638"
"4219458";"T001038";"70200";"2012655";"T001040";"GM0518";"2019JJ00";"    5727"
"4253193";"T001038";"70200";"2012657";"T001040";"GM0518";"2019JJ00";"   12882"
"6209823";"T001038";"70300";"1012600";"T001040";"GM0518";"2019JJ00";"   11887"
"6277293";"T001038";"70300";"2012655";"T001040";"GM0518";"2019JJ00";"    4752"
"6311028";"T001038";"70300";"2012657";"T001040";"GM0518";"2019JJ00";"   13086"
"8267658";"T001038";"70400";"1012600";"T001040";"GM0518";"2019JJ00";"   11765"
"8335128";"T001038";"70400";"2012655";"T001040";"GM0518";"2019JJ00";"    4785"
"8368863";"T001038";"70400";"2012657";"T001040";"GM0518";"2019JJ00";"   14063"
"10325493";"T001038";"70500";"1012600";"T001040";"GM0518";"2019JJ00";"   12125"
"10392963";"T001038";"70500";"2012655";"T001040";"GM0518";"2019JJ00";"    7164"
"10426698";"T001038";"70500";"2012657";"T001040";"GM0518";"2019JJ00";"   16197"
"12383328";"T001038";"70600";"1012600";"T001040";"GM0518";"2019JJ00";"   15917"
"12450798";"T001038";"70600";"2012655";"T001040";"GM0518";"2019JJ00";"    9007"
"12484533";"T001038";"70600";"2012657";"T001040";"GM0518";"2019JJ00";"   17396"
"14441163";"T001038";"70700";"1012600";"T001040";"GM0518";"2019JJ00";"   14539"
"14508633";"T001038";"70700";"2012655";"T001040";"GM0518";"2019JJ00";"    9372"
"14542368";"T001038";"70700";"2012657";"T001040";"GM0518";"2019JJ00";"   17691"
"16498998";"T001038";"70800";"1012600";"T001040";"GM0518";"2019JJ00";"   14140"
"16566468";"T001038";"70800";"2012655";"T001040";"GM0518";"2019JJ00";"    9248"
"16600203";"T001038";"70800";"2012657";"T001040";"GM0518";"2019JJ00";"   17025"
