"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Regio's";"Bevolking op 1 januari (aantal)"
"Totaal mannen en vrouwen";"16 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";42184
"Totaal mannen en vrouwen";"17 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";42523
"Totaal mannen en vrouwen";"18 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";45007
"Totaal mannen en vrouwen";"19 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";46655
"Totaal mannen en vrouwen";"20 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47107
"Totaal mannen en vrouwen";"21 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";46554
"Totaal mannen en vrouwen";"22 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47236
"Totaal mannen en vrouwen";"23 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";47889
"Totaal mannen en vrouwen";"24 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";49507
"Totaal mannen en vrouwen";"25 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";50391
"Totaal mannen en vrouwen";"26 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";51124
"Totaal mannen en vrouwen";"27 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";51442
"Totaal mannen en vrouwen";"28 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";51732
"Totaal mannen en vrouwen";"29 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";50378
"Totaal mannen en vrouwen";"30 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";49664
"Totaal mannen en vrouwen";"31 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";49169
"Totaal mannen en vrouwen";"32 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";48935
"Totaal mannen en vrouwen";"33 jaar";"Totaal burgerlijke staat";"2019";"Zuid-Holland (PV)";48261
