"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"5819";"T001038";"10000";"T001345";"T001040";"GM0518";"2019SJ00";"    5066"
"19959";"T001038";"10000";"T001345";"1012600";"GM0518";"2019SJ00";"    2294"
"34099";"T001038";"10000";"T001345";"2012605";"GM0518";"2019SJ00";"    2772"
"48239";"T001038";"10000";"T001345";"2012655";"GM0518";"2019SJ00";"     516"
"62379";"T001038";"10000";"T001345";"2012657";"GM0518";"2019SJ00";"    2256"
"76519";"T001038";"10000";"T001345";"H008766";"GM0518";"2019SJ00";"     558"
"90659";"T001038";"10000";"T001345";"H008673";"GM0518";"2019SJ00";"     473"
"104799";"T001038";"10000";"T001345";"H008751";"GM0518";"2019SJ00";"     492"
"118939";"T001038";"10000";"T001345";"H007119";"GM0518";"2019SJ00";"     106"
"133079";"T001038";"10000";"T001345";"A008187";"GM0518";"2019SJ00";"     627"
"147219";"T001038";"10000";"T001345";"2012659";"GM0518";"2019SJ00";"       0"
"161359";"T001038";"10000";"A025284";"T001040";"GM0518";"2019SJ00";"    1197"
"175499";"T001038";"10000";"A025284";"1012600";"GM0518";"2019SJ00";"     708"
"189639";"T001038";"10000";"A025284";"2012605";"GM0518";"2019SJ00";"     489"
"203779";"T001038";"10000";"A025284";"2012655";"GM0518";"2019SJ00";"     158"
"217919";"T001038";"10000";"A025284";"2012657";"GM0518";"2019SJ00";"     331"
"232059";"T001038";"10000";"A025284";"H008766";"GM0518";"2019SJ00";"      71"
"246199";"T001038";"10000";"A025284";"H008673";"GM0518";"2019SJ00";"      51"
"260339";"T001038";"10000";"A025284";"H008751";"GM0518";"2019SJ00";"      92"
"274479";"T001038";"10000";"A025284";"H007119";"GM0518";"2019SJ00";"       4"
"288619";"T001038";"10000";"A025284";"A008187";"GM0518";"2019SJ00";"     113"
"302759";"T001038";"10000";"A025284";"2012659";"GM0518";"2019SJ00";"       0"
"316899";"T001038";"10000";"A025285";"T001040";"GM0518";"2019SJ00";"    1331"
"331039";"T001038";"10000";"A025285";"1012600";"GM0518";"2019SJ00";"     687"
"345179";"T001038";"10000";"A025285";"2012605";"GM0518";"2019SJ00";"     644"
"359319";"T001038";"10000";"A025285";"2012655";"GM0518";"2019SJ00";"     126"
"373459";"T001038";"10000";"A025285";"2012657";"GM0518";"2019SJ00";"     518"
"387599";"T001038";"10000";"A025285";"H008766";"GM0518";"2019SJ00";"     103"
"401739";"T001038";"10000";"A025285";"H008673";"GM0518";"2019SJ00";"      93"
"415879";"T001038";"10000";"A025285";"H008751";"GM0518";"2019SJ00";"     138"
"430019";"T001038";"10000";"A025285";"H007119";"GM0518";"2019SJ00";"      25"
"444159";"T001038";"10000";"A025285";"A008187";"GM0518";"2019SJ00";"     159"
"458299";"T001038";"10000";"A025285";"2012659";"GM0518";"2019SJ00";"       0"
"472439";"T001038";"10000";"A025288";"T001040";"GM0518";"2019SJ00";"    1374"
"486579";"T001038";"10000";"A025288";"1012600";"GM0518";"2019SJ00";"     531"
"500719";"T001038";"10000";"A025288";"2012605";"GM0518";"2019SJ00";"     843"
"514859";"T001038";"10000";"A025288";"2012655";"GM0518";"2019SJ00";"     140"
"528999";"T001038";"10000";"A025288";"2012657";"GM0518";"2019SJ00";"     703"
"543139";"T001038";"10000";"A025288";"H008766";"GM0518";"2019SJ00";"     168"
"557279";"T001038";"10000";"A025288";"H008673";"GM0518";"2019SJ00";"     146"
"571419";"T001038";"10000";"A025288";"H008751";"GM0518";"2019SJ00";"     160"
"585559";"T001038";"10000";"A025288";"H007119";"GM0518";"2019SJ00";"      35"
"599699";"T001038";"10000";"A025288";"A008187";"GM0518";"2019SJ00";"     194"
"613839";"T001038";"10000";"A025288";"2012659";"GM0518";"2019SJ00";"       0"
"627979";"T001038";"10000";"A025287";"T001040";"GM0518";"2019SJ00";"    1164"
"642119";"T001038";"10000";"A025287";"1012600";"GM0518";"2019SJ00";"     368"
"656259";"T001038";"10000";"A025287";"2012605";"GM0518";"2019SJ00";"     796"
"670399";"T001038";"10000";"A025287";"2012655";"GM0518";"2019SJ00";"      92"
"684539";"T001038";"10000";"A025287";"2012657";"GM0518";"2019SJ00";"     704"
"698679";"T001038";"10000";"A025287";"H008766";"GM0518";"2019SJ00";"     216"
"712819";"T001038";"10000";"A025287";"H008673";"GM0518";"2019SJ00";"     183"
"726959";"T001038";"10000";"A025287";"H008751";"GM0518";"2019SJ00";"     102"
"741099";"T001038";"10000";"A025287";"H007119";"GM0518";"2019SJ00";"      42"
"755239";"T001038";"10000";"A025287";"A008187";"GM0518";"2019SJ00";"     161"
"769379";"T001038";"10000";"A025287";"2012659";"GM0518";"2019SJ00";"       0"
"783519";"T001038";"10000";"A025300";"T001040";"GM0518";"2019SJ00";"     246"
"797659";"T001038";"10000";"A025300";"1012600";"GM0518";"2019SJ00";"      79"
"811799";"T001038";"10000";"A025300";"2012605";"GM0518";"2019SJ00";"     167"
"825939";"T001038";"10000";"A025300";"2012655";"GM0518";"2019SJ00";"      23"
"840079";"T001038";"10000";"A025300";"2012657";"GM0518";"2019SJ00";"     144"
"854219";"T001038";"10000";"A025300";"H008766";"GM0518";"2019SJ00";"      28"
"868359";"T001038";"10000";"A025300";"H008673";"GM0518";"2019SJ00";"      27"
"882499";"T001038";"10000";"A025300";"H008751";"GM0518";"2019SJ00";"      37"
"896639";"T001038";"10000";"A025300";"H007119";"GM0518";"2019SJ00";"       3"
"910779";"T001038";"10000";"A025300";"A008187";"GM0518";"2019SJ00";"      49"
"924919";"T001038";"10000";"A025300";"2012659";"GM0518";"2019SJ00";"       0"
"939059";"T001038";"10000";"A025290";"T001040";"GM0518";"2019SJ00";"    4077"
"953199";"T001038";"10000";"A025290";"1012600";"GM0518";"2019SJ00";"    1250"
"967339";"T001038";"10000";"A025290";"2012605";"GM0518";"2019SJ00";"    2827"
"981479";"T001038";"10000";"A025290";"2012655";"GM0518";"2019SJ00";"     287"
"995619";"T001038";"10000";"A025290";"2012657";"GM0518";"2019SJ00";"    2540"
"1009759";"T001038";"10000";"A025290";"H008766";"GM0518";"2019SJ00";"     614"
"1023899";"T001038";"10000";"A025290";"H008673";"GM0518";"2019SJ00";"     427"
"1038039";"T001038";"10000";"A025290";"H008751";"GM0518";"2019SJ00";"     470"
"1052179";"T001038";"10000";"A025290";"H007119";"GM0518";"2019SJ00";"     277"
"1066319";"T001038";"10000";"A025290";"A008187";"GM0518";"2019SJ00";"     752"
"1080459";"T001038";"10000";"A025290";"2012659";"GM0518";"2019SJ00";"       0"
"1094599";"T001038";"10000";"A041868";"T001040";"GM0518";"2019SJ00";"    2794"
"1108739";"T001038";"10000";"A041868";"1012600";"GM0518";"2019SJ00";"     763"
"1122879";"T001038";"10000";"A041868";"2012605";"GM0518";"2019SJ00";"    2031"
"1137019";"T001038";"10000";"A041868";"2012655";"GM0518";"2019SJ00";"     176"
"1151159";"T001038";"10000";"A041868";"2012657";"GM0518";"2019SJ00";"    1855"
"1165299";"T001038";"10000";"A041868";"H008766";"GM0518";"2019SJ00";"     458"
"1179439";"T001038";"10000";"A041868";"H008673";"GM0518";"2019SJ00";"     327"
"1193579";"T001038";"10000";"A041868";"H008751";"GM0518";"2019SJ00";"     309"
"1207719";"T001038";"10000";"A041868";"H007119";"GM0518";"2019SJ00";"     195"
"1221859";"T001038";"10000";"A041868";"A008187";"GM0518";"2019SJ00";"     566"
"1235999";"T001038";"10000";"A041868";"2012659";"GM0518";"2019SJ00";"       0"
"1250139";"T001038";"10000";"A025293";"T001040";"GM0518";"2019SJ00";"     784"
"1264279";"T001038";"10000";"A025293";"1012600";"GM0518";"2019SJ00";"     360"
"1278419";"T001038";"10000";"A025293";"2012605";"GM0518";"2019SJ00";"     424"
"1292559";"T001038";"10000";"A025293";"2012655";"GM0518";"2019SJ00";"      63"
"1306699";"T001038";"10000";"A025293";"2012657";"GM0518";"2019SJ00";"     361"
"1320839";"T001038";"10000";"A025293";"H008766";"GM0518";"2019SJ00";"      72"
"1334979";"T001038";"10000";"A025293";"H008673";"GM0518";"2019SJ00";"      47"
"1349119";"T001038";"10000";"A025293";"H008751";"GM0518";"2019SJ00";"      95"
"1363259";"T001038";"10000";"A025293";"H007119";"GM0518";"2019SJ00";"      50"
"1377399";"T001038";"10000";"A025293";"A008187";"GM0518";"2019SJ00";"      97"
"1391539";"T001038";"10000";"A025293";"2012659";"GM0518";"2019SJ00";"       0"
"1405679";"T001038";"10000";"A041773";"T001040";"GM0518";"2019SJ00";"     499"
"1419819";"T001038";"10000";"A041773";"1012600";"GM0518";"2019SJ00";"     127"
"1433959";"T001038";"10000";"A041773";"2012605";"GM0518";"2019SJ00";"     372"
"1448099";"T001038";"10000";"A041773";"2012655";"GM0518";"2019SJ00";"      48"
"1462239";"T001038";"10000";"A041773";"2012657";"GM0518";"2019SJ00";"     324"
"1476379";"T001038";"10000";"A041773";"H008766";"GM0518";"2019SJ00";"      84"
"1490519";"T001038";"10000";"A041773";"H008673";"GM0518";"2019SJ00";"      53"
"1504659";"T001038";"10000";"A041773";"H008751";"GM0518";"2019SJ00";"      66"
"1518799";"T001038";"10000";"A041773";"H007119";"GM0518";"2019SJ00";"      32"
"1532939";"T001038";"10000";"A041773";"A008187";"GM0518";"2019SJ00";"      89"
"1547079";"T001038";"10000";"A041773";"2012659";"GM0518";"2019SJ00";"       0"
"1561219";"T001038";"10000";"A041751";"T001040";"GM0518";"2019SJ00";"     636"
"1575359";"T001038";"10000";"A041751";"1012600";"GM0518";"2019SJ00";"      88"
"1589499";"T001038";"10000";"A041751";"2012605";"GM0518";"2019SJ00";"     548"
"1603639";"T001038";"10000";"A041751";"2012655";"GM0518";"2019SJ00";"      50"
"1617779";"T001038";"10000";"A041751";"2012657";"GM0518";"2019SJ00";"     498"
"1631919";"T001038";"10000";"A041751";"H008766";"GM0518";"2019SJ00";"      94"
"1646059";"T001038";"10000";"A041751";"H008673";"GM0518";"2019SJ00";"      74"
"1660199";"T001038";"10000";"A041751";"H008751";"GM0518";"2019SJ00";"      30"
"1674339";"T001038";"10000";"A041751";"H007119";"GM0518";"2019SJ00";"      51"
"1688479";"T001038";"10000";"A041751";"A008187";"GM0518";"2019SJ00";"     249"
"1702619";"T001038";"10000";"A041751";"2012659";"GM0518";"2019SJ00";"       0"
"1716759";"T001038";"10000";"A041755";"T001040";"GM0518";"2019SJ00";"    1107"
"1730899";"T001038";"10000";"A041755";"1012600";"GM0518";"2019SJ00";"     269"
"1745039";"T001038";"10000";"A041755";"2012605";"GM0518";"2019SJ00";"     838"
"1759179";"T001038";"10000";"A041755";"2012655";"GM0518";"2019SJ00";"      95"
"1773319";"T001038";"10000";"A041755";"2012657";"GM0518";"2019SJ00";"     743"
"1787459";"T001038";"10000";"A041755";"H008766";"GM0518";"2019SJ00";"     184"
"1801599";"T001038";"10000";"A041755";"H008673";"GM0518";"2019SJ00";"     123"
"1815739";"T001038";"10000";"A041755";"H008751";"GM0518";"2019SJ00";"     121"
"1829879";"T001038";"10000";"A041755";"H007119";"GM0518";"2019SJ00";"      86"
"1844019";"T001038";"10000";"A041755";"A008187";"GM0518";"2019SJ00";"     229"
"1858159";"T001038";"10000";"A041755";"2012659";"GM0518";"2019SJ00";"       0"
"1872299";"T001038";"10000";"A041759";"T001040";"GM0518";"2019SJ00";"     732"
"1886439";"T001038";"10000";"A041759";"1012600";"GM0518";"2019SJ00";"     267"
"1900579";"T001038";"10000";"A041759";"2012605";"GM0518";"2019SJ00";"     465"
"1914719";"T001038";"10000";"A041759";"2012655";"GM0518";"2019SJ00";"      56"
"1928859";"T001038";"10000";"A041759";"2012657";"GM0518";"2019SJ00";"     409"
"1942999";"T001038";"10000";"A041759";"H008766";"GM0518";"2019SJ00";"     101"
"1957139";"T001038";"10000";"A041759";"H008673";"GM0518";"2019SJ00";"      64"
"1971279";"T001038";"10000";"A041759";"H008751";"GM0518";"2019SJ00";"      86"
"1985419";"T001038";"10000";"A041759";"H007119";"GM0518";"2019SJ00";"      65"
"1999559";"T001038";"10000";"A041759";"A008187";"GM0518";"2019SJ00";"      93"
"2013699";"T001038";"10000";"A041759";"2012659";"GM0518";"2019SJ00";"       0"
"2027839";"T001038";"10000";"A041924";"T001040";"GM0518";"2019SJ00";"    1578"
"2041979";"T001038";"10000";"A041924";"1012600";"GM0518";"2019SJ00";"     615"
"2056119";"T001038";"10000";"A041924";"2012605";"GM0518";"2019SJ00";"     963"
"2070259";"T001038";"10000";"A041924";"2012655";"GM0518";"2019SJ00";"      85"
"2084399";"T001038";"10000";"A041924";"2012657";"GM0518";"2019SJ00";"     878"
"2098539";"T001038";"10000";"A041924";"H008766";"GM0518";"2019SJ00";"     232"
"2112679";"T001038";"10000";"A041924";"H008673";"GM0518";"2019SJ00";"     164"
"2126819";"T001038";"10000";"A041924";"H008751";"GM0518";"2019SJ00";"     228"
"2140959";"T001038";"10000";"A041924";"H007119";"GM0518";"2019SJ00";"      74"
"2155099";"T001038";"10000";"A041924";"A008187";"GM0518";"2019SJ00";"     180"
"2169239";"T001038";"10000";"A041924";"2012659";"GM0518";"2019SJ00";"       0"
"2183379";"T001038";"10000";"A041925";"T001040";"GM0518";"2019SJ00";"      24"
"2197519";"T001038";"10000";"A041925";"1012600";"GM0518";"2019SJ00";"      11"
"2211659";"T001038";"10000";"A041925";"2012605";"GM0518";"2019SJ00";"      13"
"2225799";"T001038";"10000";"A041925";"2012655";"GM0518";"2019SJ00";"       1"
"2239939";"T001038";"10000";"A041925";"2012657";"GM0518";"2019SJ00";"      12"
"2254079";"T001038";"10000";"A041925";"H008766";"GM0518";"2019SJ00";"       3"
"2268219";"T001038";"10000";"A041925";"H008673";"GM0518";"2019SJ00";"       2"
"2282359";"T001038";"10000";"A041925";"H008751";"GM0518";"2019SJ00";"       5"
"2296499";"T001038";"10000";"A041925";"H007119";"GM0518";"2019SJ00";"       1"
"2310639";"T001038";"10000";"A041925";"A008187";"GM0518";"2019SJ00";"       1"
"2324779";"T001038";"10000";"A041925";"2012659";"GM0518";"2019SJ00";"       0"
"2338919";"T001038";"10000";"A028669";"T001040";"GM0518";"2019SJ00";"      68"
"2353059";"T001038";"10000";"A028669";"1012600";"GM0518";"2019SJ00";"      26"
"2367199";"T001038";"10000";"A028669";"2012605";"GM0518";"2019SJ00";"      42"
"2381339";"T001038";"10000";"A028669";"2012655";"GM0518";"2019SJ00";"       5"
"2395479";"T001038";"10000";"A028669";"2012657";"GM0518";"2019SJ00";"      37"
"2409619";"T001038";"10000";"A028669";"H008766";"GM0518";"2019SJ00";"       1"
"2423759";"T001038";"10000";"A028669";"H008673";"GM0518";"2019SJ00";"       7"
"2437899";"T001038";"10000";"A028669";"H008751";"GM0518";"2019SJ00";"      11"
"2452039";"T001038";"10000";"A028669";"H007119";"GM0518";"2019SJ00";"       6"
"2466179";"T001038";"10000";"A028669";"A008187";"GM0518";"2019SJ00";"      12"
"2480319";"T001038";"10000";"A028669";"2012659";"GM0518";"2019SJ00";"       0"
"2494459";"T001038";"10000";"A043049";"T001040";"GM0518";"2019SJ00";"    2115"
"2508599";"T001038";"10000";"A043049";"1012600";"GM0518";"2019SJ00";"     868"
"2522739";"T001038";"10000";"A043049";"2012605";"GM0518";"2019SJ00";"    1247"
