"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenDeelnemersStudenten_1"
"6109";"T001038";"10000";"T001345";"T001040";"GM0518";"2019SJ00";"   29283"
"20956";"T001038";"10000";"T001345";"1012600";"GM0518";"2019SJ00";"   11945"
"35803";"T001038";"10000";"T001345";"2012605";"GM0518";"2019SJ00";"   17179"
"50650";"T001038";"10000";"T001345";"2012655";"GM0518";"2019SJ00";"    4446"
"65497";"T001038";"10000";"T001345";"2012657";"GM0518";"2019SJ00";"   12733"
"80344";"T001038";"10000";"T001345";"H008766";"GM0518";"2019SJ00";"    2908"
"95191";"T001038";"10000";"T001345";"H008673";"GM0518";"2019SJ00";"    2799"
"110038";"T001038";"10000";"T001345";"H008751";"GM0518";"2019SJ00";"    2249"
"124885";"T001038";"10000";"T001345";"H007119";"GM0518";"2019SJ00";"     668"
"139732";"T001038";"10000";"T001345";"A008187";"GM0518";"2019SJ00";"    4109"
"154579";"T001038";"10000";"T001345";"2012659";"GM0518";"2019SJ00";"     159"
"169426";"T001038";"10000";"A041919";"T001040";"GM0518";"2019SJ00";"   11876"
"184273";"T001038";"10000";"A041919";"1012600";"GM0518";"2019SJ00";"    4702"
"199120";"T001038";"10000";"A041919";"2012605";"GM0518";"2019SJ00";"    7100"
"213967";"T001038";"10000";"A041919";"2012655";"GM0518";"2019SJ00";"    1803"
"228814";"T001038";"10000";"A041919";"2012657";"GM0518";"2019SJ00";"    5297"
"243661";"T001038";"10000";"A041919";"H008766";"GM0518";"2019SJ00";"    1234"
"258508";"T001038";"10000";"A041919";"H008673";"GM0518";"2019SJ00";"    1209"
"273355";"T001038";"10000";"A041919";"H008751";"GM0518";"2019SJ00";"     818"
"288202";"T001038";"10000";"A041919";"H007119";"GM0518";"2019SJ00";"     275"
"303049";"T001038";"10000";"A041919";"A008187";"GM0518";"2019SJ00";"    1761"
"317896";"T001038";"10000";"A041919";"2012659";"GM0518";"2019SJ00";"      74"
"332743";"T001038";"10000";"A041920";"T001040";"GM0518";"2019SJ00";"    5875"
"347590";"T001038";"10000";"A041920";"1012600";"GM0518";"2019SJ00";"    3050"
"362437";"T001038";"10000";"A041920";"2012605";"GM0518";"2019SJ00";"    2777"
"377284";"T001038";"10000";"A041920";"2012655";"GM0518";"2019SJ00";"    1162"
"392131";"T001038";"10000";"A041920";"2012657";"GM0518";"2019SJ00";"    1615"
"406978";"T001038";"10000";"A041920";"H008766";"GM0518";"2019SJ00";"     242"
"421825";"T001038";"10000";"A041920";"H008673";"GM0518";"2019SJ00";"     266"
"436672";"T001038";"10000";"A041920";"H008751";"GM0518";"2019SJ00";"     369"
"451519";"T001038";"10000";"A041920";"H007119";"GM0518";"2019SJ00";"      44"
"466366";"T001038";"10000";"A041920";"A008187";"GM0518";"2019SJ00";"     694"
"481213";"T001038";"10000";"A041920";"2012659";"GM0518";"2019SJ00";"      48"
"496060";"T001038";"10000";"A041921";"T001040";"GM0518";"2019SJ00";"    4703"
"510907";"T001038";"10000";"A041921";"1012600";"GM0518";"2019SJ00";"    2066"
"525754";"T001038";"10000";"A041921";"2012605";"GM0518";"2019SJ00";"    2610"
"540601";"T001038";"10000";"A041921";"2012655";"GM0518";"2019SJ00";"     721"
"555448";"T001038";"10000";"A041921";"2012657";"GM0518";"2019SJ00";"    1889"
"570295";"T001038";"10000";"A041921";"H008766";"GM0518";"2019SJ00";"     358"
"585142";"T001038";"10000";"A041921";"H008673";"GM0518";"2019SJ00";"     365"
"599989";"T001038";"10000";"A041921";"H008751";"GM0518";"2019SJ00";"     426"
"614836";"T001038";"10000";"A041921";"H007119";"GM0518";"2019SJ00";"      69"
"629683";"T001038";"10000";"A041921";"A008187";"GM0518";"2019SJ00";"     671"
"644530";"T001038";"10000";"A041921";"2012659";"GM0518";"2019SJ00";"      27"
"659377";"T001038";"10000";"A041922";"T001040";"GM0518";"2019SJ00";"    2786"
"674224";"T001038";"10000";"A041922";"1012600";"GM0518";"2019SJ00";"    1074"
"689071";"T001038";"10000";"A041922";"2012605";"GM0518";"2019SJ00";"    1709"
"703918";"T001038";"10000";"A041922";"2012655";"GM0518";"2019SJ00";"     293"
"718765";"T001038";"10000";"A041922";"2012657";"GM0518";"2019SJ00";"    1416"
"733612";"T001038";"10000";"A041922";"H008766";"GM0518";"2019SJ00";"     328"
"748459";"T001038";"10000";"A041922";"H008673";"GM0518";"2019SJ00";"     363"
"763306";"T001038";"10000";"A041922";"H008751";"GM0518";"2019SJ00";"     293"
"778153";"T001038";"10000";"A041922";"H007119";"GM0518";"2019SJ00";"      76"
"793000";"T001038";"10000";"A041922";"A008187";"GM0518";"2019SJ00";"     356"
"807847";"T001038";"10000";"A041922";"2012659";"GM0518";"2019SJ00";"       3"
"822694";"T001038";"10000";"A041923";"T001040";"GM0518";"2019SJ00";"    2742"
