"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1";"GemiddeldeBevolking_2"
"1501";"T001038";"10000";"T001019";"CR26  ";"2019JJ00";"  872211";"877965.5"
"157426";"T001038";"10010";"T001019";"CR26  ";"2019JJ00";"    9632";"  4895.5"
"313351";"T001038";"10100";"T001019";"CR26  ";"2019JJ00";"    9868";"  9626.5"
"469276";"T001038";"10200";"T001019";"CR26  ";"2019JJ00";"   10072";"  9878.0"
"625201";"T001038";"10300";"T001019";"CR26  ";"2019JJ00";"    9911";" 10057.5"
"781126";"T001038";"10400";"T001019";"CR26  ";"2019JJ00";"   10227";"  9911.5"
"937051";"T001038";"10500";"T001019";"CR26  ";"2019JJ00";"    9870";" 10215.5"
"1092976";"T001038";"10600";"T001019";"CR26  ";"2019JJ00";"   10147";"  9875.5"
"1248901";"T001038";"10700";"T001019";"CR26  ";"2019JJ00";"   10308";" 10144.5"
"1404826";"T001038";"10800";"T001019";"CR26  ";"2019JJ00";"   10290";" 10321.0"
"1560751";"T001038";"10900";"T001019";"CR26  ";"2019JJ00";"   10223";" 10297.0"
"1716676";"T001038";"11000";"T001019";"CR26  ";"2019JJ00";"   10144";" 10256.5"
"1872601";"T001038";"11100";"T001019";"CR26  ";"2019JJ00";"    9779";" 10195.0"
"2028526";"T001038";"11200";"T001019";"CR26  ";"2019JJ00";"    9787";"  9818.0"
"2184451";"T001038";"11300";"T001019";"CR26  ";"2019JJ00";"    9857";"  9811.5"
"2340376";"T001038";"11400";"T001019";"CR26  ";"2019JJ00";"    9811";"  9900.5"
"2496301";"T001038";"11500";"T001019";"CR26  ";"2019JJ00";"    9854";"  9857.5"
"2652226";"T001038";"11600";"T001019";"CR26  ";"2019JJ00";"    9775";"  9915.5"
"2808151";"T001038";"11700";"T001019";"CR26  ";"2019JJ00";"    9788";"  9857.0"
"2964076";"T001038";"11800";"T001019";"CR26  ";"2019JJ00";"   10244";" 10091.5"
"3120001";"T001038";"11900";"T001019";"CR26  ";"2019JJ00";"   10592";" 10617.5"
