"","agent_ID","age_group","neighb_code","age"
"26893","Agent_26893","age_25_45","BU05183396",28
"64814","Agent_64814","age_25_45","BU05183620",27
"42332","Agent_42332","age_over65","BU05183398",78
"44223","Agent_44223","age_0_15","BU05183480",2
"52929","Agent_52929","age_25_45","BU05183488",27
"43496","Agent_43496","age_45_65","BU05183399",59
"22942","Agent_22942","age_over65","BU05183387",95
"61381","Agent_61381","age_45_65","BU05183489",49
"35751","Agent_35751","age_25_45","BU05183398",34
"18769","Agent_18769","age_25_45","BU05183387",31
"9319","Agent_9319","age_45_65","BU05183284",47
"70647","Agent_70647","age_25_45","BU05183638",35
"65078","Agent_65078","age_25_45","BU05183620",40
"32201","Agent_32201","age_0_15","BU05183398",6
"24440","Agent_24440","age_0_15","BU05183396",9
"73296","Agent_73296","age_over65","BU05183638",84
"69505","Agent_69505","age_25_45","BU05183638",31
"46421","Agent_46421","age_25_45","BU05183480",41
"24488","Agent_24488","age_0_15","BU05183396",4
"75156","Agent_75156","age_15_25","BU05183639",22
"40077","Agent_40077","age_45_65","BU05183398",51
"34086","Agent_34086","age_15_25","BU05183398",23
"61505","Agent_61505","age_45_65","BU05183489",61
"39224","Agent_39224","age_45_65","BU05183398",50
"64490","Agent_64490","age_15_25","BU05183620",23
"25575","Agent_25575","age_15_25","BU05183396",19
"24464","Agent_24464","age_0_15","BU05183396",1
"6305","Agent_6305","age_25_45","BU05183284",30
"45802","Agent_45802","age_15_25","BU05183480",15
"27408","Agent_27408","age_25_45","BU05183396",26
"31218","Agent_31218","age_over65","BU05183396",76
"10840","Agent_10840","age_45_65","BU05183284",63
"67848","Agent_67848","age_0_15","BU05183638",13
"35979","Agent_35979","age_25_45","BU05183398",29
"55474","Agent_55474","age_45_65","BU05183488",60
"52291","Agent_52291","age_15_25","BU05183488",20
"35641","Agent_35641","age_25_45","BU05183398",37
"49370","Agent_49370","age_45_65","BU05183480",61
"73419","Agent_73419","age_over65","BU05183638",73
"39720","Agent_39720","age_45_65","BU05183398",54
"77903","Agent_77903","age_45_65","BU05183639",58
"2385","Agent_2385","age_15_25","BU05183284",18
"74032","Agent_74032","age_0_15","BU05183639",12
"52558","Agent_52558","age_15_25","BU05183488",20
"65401","Agent_65401","age_25_45","BU05183620",39
"62625","Agent_62625","age_45_65","BU05183489",47
"13455","Agent_13455","age_over65","BU05183284",71
"7327","Agent_7327","age_25_45","BU05183284",28
"60927","Agent_60927","age_25_45","BU05183489",39
"38390","Agent_38390","age_25_45","BU05183398",37
"8156","Agent_8156","age_25_45","BU05183284",28
"2963","Agent_2963","age_15_25","BU05183284",16
"44238","Agent_44238","age_0_15","BU05183480",0
"21259","Agent_21259","age_45_65","BU05183387",46
"58990","Agent_58990","age_15_25","BU05183489",23
"1009","Agent_1009","age_0_15","BU05183284",5
"63478","Agent_63478","age_45_65","BU05183536",52
"40200","Agent_40200","age_45_65","BU05183398",52
"38192","Agent_38192","age_25_45","BU05183398",30
"3425","Agent_3425","age_15_25","BU05183284",16
"36161","Agent_36161","age_25_45","BU05183398",29
"42382","Agent_42382","age_over65","BU05183398",82
"58615","Agent_58615","age_0_15","BU05183489",14
"66301","Agent_66301","age_45_65","BU05183620",49
"114","Agent_114","age_0_15","BU05183284",10
"77922","Agent_77922","age_45_65","BU05183639",57
"70018","Agent_70018","age_25_45","BU05183638",36
"66896","Agent_66896","age_0_15","BU05183638",10
"29987","Agent_29987","age_45_65","BU05183396",46
"47546","Agent_47546","age_25_45","BU05183480",28
"10026","Agent_10026","age_45_65","BU05183284",46
"74118","Agent_74118","age_0_15","BU05183639",9
"1049","Agent_1049","age_0_15","BU05183284",6
"70133","Agent_70133","age_25_45","BU05183638",41
"30718","Agent_30718","age_45_65","BU05183396",56
