"neighb_code","tot_pop","gender_male","gender_female","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","migration_west","migration_non_west","hh_total","hh_single","hh_no_children","hh_with_children","hh_avg_size","education_absolved_low","education_absolved_middle","education_absolved_high","migration_Dutch"
"BU03440111",1500,715,780,190,305,455,225,340,170,125,910,615,170,120,"     1.6",100,340,640,1205
"BU03440112",4370,2185,2180,1230,465,1110,1135,435,445,175,1550,330,355,855,"     2.8",250,530,2230,3750
"BU03440113",1465,760,700,305,160,515,275,220,145,425,550,265,130,150,"     2.0",130,740,250,895
"BU03440114",1710,840,870,320,205,645,410,145,175,720,885,445,165,265,"     1.9",350,420,600,815
"BU03440121",2290,1105,1180,130,460,1225,285,195,300,660,1485,950,360,165,"     1.5",250,550,1300,1330
"BU03440122",1225,600,620,170,155,520,255,140,150,420,675,370,145,150,"     1.8",280,210,530,655
"BU03440123",5115,2465,2650,610,810,2410,910,390,725,1045,3045,1835,665,540,"     1.7",640,980,2670,3345
"BU03440124",4255,1995,2255,505,700,1995,760,310,530,965,2505,1445,615,440,"     1.7",430,1050,2130,2760
"BU03440131",6005,2820,3185,900,985,2690,1065,380,770,1120,3360,1870,760,725,"     1.8",670,1140,3070,4115
"BU03440132",1305,655,650,265,165,535,245,105,135,130,585,215,150,215,"     2.2",210,320,490,1040
"BU03440133",145,75,65,20,25,30,50,35,15,25,65,20,20,20,"     2.2",50,50,30,105
"BU03440211",4610,2310,2300,365,760,2615,610,270,655,665,2955,1805,820,325,"     1.6",350,920,3010,3290
"BU03440212",2110,1030,1075,270,295,870,450,235,260,630,1180,645,260,270,"     1.8",520,340,860,1220
"BU03440221",1880,925,950,245,230,805,405,210,255,430,1030,510,280,240,"     1.8",380,430,1050,1195
"BU03440222",5205,2570,2635,865,650,2055,1005,640,540,1200,2575,1155,685,730,"     2.0",1220,1240,1650,3465
"BU03440223",3685,1750,1930,330,740,1740,530,355,550,610,2330,1470,560,295,"     1.6",390,900,1870,2525
"BU03440224",2915,1400,1515,295,530,1265,540,295,355,565,1715,985,425,305,"     1.7",510,780,1200,1995
"BU03440231",2965,1430,1530,305,580,1450,450,190,435,395,1870,1165,430,270,"     1.6",430,610,1500,2135
