"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"27612";"T001038";"10000";"T001345";"1012600";"GM0344";"2018SJ00";"    1696"
"57306";"T001038";"10000";"T001345";"2012655";"GM0344";"2018SJ00";"     196"
"72153";"T001038";"10000";"T001345";"2012657";"GM0344";"2018SJ00";"     953"
"190929";"T001038";"10000";"A025284";"1012600";"GM0344";"2018SJ00";"     581"
"220623";"T001038";"10000";"A025284";"2012655";"GM0344";"2018SJ00";"      65"
"235470";"T001038";"10000";"A025284";"2012657";"GM0344";"2018SJ00";"      85"
"354246";"T001038";"10000";"A025285";"1012600";"GM0344";"2018SJ00";"     474"
"383940";"T001038";"10000";"A025285";"2012655";"GM0344";"2018SJ00";"      45"
"398787";"T001038";"10000";"A025285";"2012657";"GM0344";"2018SJ00";"     180"
"517563";"T001038";"10000";"A025288";"1012600";"GM0344";"2018SJ00";"     367"
"547257";"T001038";"10000";"A025288";"2012655";"GM0344";"2018SJ00";"      57"
"562104";"T001038";"10000";"A025288";"2012657";"GM0344";"2018SJ00";"     257"
"680880";"T001038";"10000";"A025287";"1012600";"GM0344";"2018SJ00";"     274"
"710574";"T001038";"10000";"A025287";"2012655";"GM0344";"2018SJ00";"      29"
"725421";"T001038";"10000";"A025287";"2012657";"GM0344";"2018SJ00";"     431"
"844197";"T001038";"10000";"A025300";"1012600";"GM0344";"2018SJ00";"      60"
"873891";"T001038";"10000";"A025300";"2012655";"GM0344";"2018SJ00";"      11"
"888738";"T001038";"10000";"A025300";"2012657";"GM0344";"2018SJ00";"      58"
"1007514";"T001038";"10000";"A025290";"1012600";"GM0344";"2018SJ00";"     889"
"1037208";"T001038";"10000";"A025290";"2012655";"GM0344";"2018SJ00";"     124"
"1052055";"T001038";"10000";"A025290";"2012657";"GM0344";"2018SJ00";"    1094"
"1170831";"T001038";"10000";"A041868";"1012600";"GM0344";"2018SJ00";"     561"
"1200525";"T001038";"10000";"A041868";"2012655";"GM0344";"2018SJ00";"      87"
"1215372";"T001038";"10000";"A041868";"2012657";"GM0344";"2018SJ00";"     783"
"1334148";"T001038";"10000";"A025293";"1012600";"GM0344";"2018SJ00";"     221"
"1363842";"T001038";"10000";"A025293";"2012655";"GM0344";"2018SJ00";"      22"
"1378689";"T001038";"10000";"A025293";"2012657";"GM0344";"2018SJ00";"     120"
"1497465";"T001038";"10000";"A041773";"1012600";"GM0344";"2018SJ00";"     107"
"1527159";"T001038";"10000";"A041773";"2012655";"GM0344";"2018SJ00";"      15"
