"gender","n_people","age_group_education","migration_background","education_level"
"male",5,"12","Dutch","low"
"male",0,"25","Non_Western","low"
"female",0,"24","Dutch","low"
"male",0,"age_40_45","Western","low"
"male",1,"12","Western","low"
"male",10,"12","Non_Western","low"
"male",0,"22","Western","low"
"male",0,"22","Non_Western","low"
"female",0,"25","Non_Western","low"
"female",0,"28","Western","low"
"female",0,"28","Non_Western","low"
"female",0,"age_40_45","Western","low"
"female",0,"19","Non_Western","low"
"female",0,"age_40_45","Dutch","low"
"male",0,"27","Western","low"
"male",0,"18","Western","low"
"male",0,"24","Western","low"
"male",1,"18","Dutch","low"
"male",0,"29","Dutch","low"
"female",0,"20","Dutch","low"
"female",0,"29","Dutch","low"
"female",0,"29","Western","low"
"female",0,"29","Non_Western","low"
"female",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Western","low"
"male",9,"18","Non_Western","low"
"female",0,"24","Western","low"
"male",0,"age_40_45","Non_Western","low"
"male",0,"28","Western","low"
"female",11,"15","Dutch","low"
"male",0,"age_40_45","Dutch","low"
"female",3,"12","Dutch","low"
"female",1,"12","Western","low"
"female",7,"12","Non_Western","low"
"female",1,"15","Western","low"
"female",27,"15","Non_Western","low"
"female",0,"age_35_40","Non_Western","low"
"male",0,"age_30_35","Western","low"
"male",0,"age_30_35","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"female",0,"23","Western","low"
"male",32,"15","Non_Western","low"
"female",0,"23","Dutch","low"
"male",0,"27","Dutch","low"
"male",13,"14","Dutch","low"
"female",7,"13","Dutch","low"
"female",1,"13","Western","low"
"female",0,"22","Dutch","low"
"female",0,"22","Western","low"
"female",0,"22","Non_Western","low"
"female",0,"28","Dutch","low"
"female",0,"19","Dutch","low"
"female",0,"age_35_40","Dutch","low"
"female",0,"age_35_40","Western","low"
"female",0,"21","Western","low"
"male",0,"28","Dutch","low"
"male",0,"25","Western","low"
"female",16,"16","Dutch","low"
"male",0,"19","Dutch","low"
"male",0,"24","Dutch","low"
"female",0,"age_over_50","Dutch","low"
"female",0,"age_over_50","Western","low"
"female",0,"age_over_50","Non_Western","low"
"male",0,"27","Non_Western","low"
"female",0,"age_30_35","Dutch","low"
"male",0,"24","Non_Western","low"
"female",0,"19","Western","low"
"female",0,"25","Western","low"
"male",0,"23","Dutch","low"
"male",0,"age_over_50","Western","low"
"female",0,"27","Dutch","low"
"male",20,"13","Dutch","low"
"male",0,"19","Western","low"
"male",0,"19","Non_Western","low"
"male",0,"28","Non_Western","low"
"female",0,"27","Western","low"
"female",0,"27","Non_Western","low"
"female",0,"24","Non_Western","low"
"male",0,"26","Western","low"
"female",29,"14","Non_Western","low"
"male",1,"15","Western","low"
"male",0,"22","Dutch","low"
"male",0,"23","Western","low"
"male",0,"26","Non_Western","low"
"male",0,"age_30_35","Non_Western","low"
"male",0,"26","Dutch","low"
"male",0,"29","Western","low"
"male",0,"age_30_35","Dutch","low"
"female",6,"18","Non_Western","low"
"male",0,"age_30_35","Western","low"
"female",0,"26","Non_Western","low"
"male",0,"20","Dutch","low"
"female",0,"26","Dutch","low"
"male",0,"age_30_35","Dutch","low"
"male",0,"age_over_50","Dutch","low"
"female",0,"age_30_35","Western","low"
"female",24,"17","Non_Western","low"
"female",0,"26","Western","low"
"male",0,"age_35_40","Western","low"
"male",0,"age_35_40","Non_Western","low"
"male",4,"13","Western","low"
"male",0,"age_over_50","Non_Western","low"
"female",4,"14","Western","low"
"female",1,"16","Western","low"
"male",0,"29","Non_Western","low"
"male",0,"20","Western","low"
"male",23,"13","Non_Western","low"
"female",0,"21","Dutch","low"
"female",31,"16","Non_Western","low"
"female",0,"21","Non_Western","low"
"male",0,"23","Non_Western","low"
"male",0,"21","Dutch","low"
"female",0,"20","Western","low"
"male",0,"20","Non_Western","low"
"female",0,"23","Non_Western","low"
"female",2,"17","Western","low"
"female",0,"25","Dutch","low"
"female",0,"age_40_45","Non_Western","low"
"male",6,"16","Western","low"
"male",29,"16","Non_Western","low"
"female",2,"18","Western","low"
"female",0,"20","Non_Western","low"
"male",5,"14","Western","low"
"male",31,"14","Non_Western","low"
"female",17,"13","Non_Western","low"
"male",19,"16","Dutch","low"
"female",10,"14","Dutch","low"
"male",0,"age_35_40","Dutch","low"
"male",12,"15","Dutch","low"
"male",0,"25","Dutch","low"
"female",1,"18","Dutch","low"
"male",5,"17","Western","low"
"male",0,"21","Non_Western","low"
"male",18,"17","Non_Western","low"
"male",0,"21","Western","low"
"female",11,"17","Dutch","low"
"male",13,"17","Dutch","low"
"male",10,"26","Non_Western",""
"female",4,"27","Western",""
"female",3,"28","Non_Western",""
"female",15,"25","Dutch",""
"female",0,"13","Dutch",""
"male",0,"29","Western",""
"male",5,"age_30_35","Western",""
"male",18,"20","Non_Western",""
"female",22,"19","Dutch",""
"female",4,"26","Western",""
"female",13,"age_40_45","Dutch",""
"male",12,"22","Non_Western",""
"male",8,"29","Dutch",""
"female",12,"18","Non_Western",""
"male",0,"13","Dutch",""
"female",18,"18","Dutch",""
"male",10,"23","Non_Western",""
"female",4,"20","Non_Western",""
"male",5,"17","Western",""
"male",6,"29","Non_Western",""
"male",24,"age_30_35","Non_Western",""
"female",3,"17","Non_Western",""
"female",11,"26","Dutch",""
"female",8,"17","Dutch",""
"female",3,"26","Non_Western",""
"female",0,"14","Non_Western",""
"male",7,"age_over_50","Non_Western",""
"female",3,"age_35_40","Western",""
"female",3,"age_40_45","Western",""
"female",12,"27","Dutch",""
"male",3,"age_30_35","Western",""
"female",6,"27","Non_Western",""
"male",21,"17","Non_Western",""
"female",2,"age_over_50","Western",""
"female",9,"age_over_50","Non_Western",""
"male",2,"26","Western",""
"female",16,"age_over_50","Dutch",""
"male",0,"15","Dutch",""
"female",14,"age_35_40","Non_Western",""
"female",0,"14","Western",""
"male",0,"15","Western",""
"male",1,"age_over_50","Western",""
"male",1,"23","Western",""
"female",0,"20","Western",""
"male",31,"age_30_35","Dutch",""
"male",1,"20","Western",""
"male",21,"age_35_40","Dutch",""
"female",2,"17","Western",""
"male",21,"21","Non_Western",""
"female",11,"age_30_35","Non_Western",""
"female",9,"28","Dutch",""
"male",44,"19","Dutch",""
"female",7,"age_30_35","Western",""
"male",11,"28","Dutch",""
"female",28,"age_30_35","Dutch",""
"female",7,"29","Non_Western",""
"female",25,"age_30_35","Non_Western",""
"female",0,"15","Western",""
"female",11,"20","Dutch",""
"female",0,"15","Non_Western",""
"female",17,"age_30_35","Dutch",""
"female",2,"age_30_35","Western",""
"female",12,"21","Non_Western",""
"female",10,"25","Non_Western",""
"male",6,"age_30_35","Non_Western",""
"female",12,"age_35_40","Dutch",""
"female",7,"16","Dutch",""
"male",0,"14","Non_Western",""
"male",47,"20","Dutch",""
"male",12,"26","Dutch",""
"male",8,"age_30_35","Dutch",""
"male",1,"27","Western",""
"male",2,"21","Western",""
"female",6,"24","Non_Western",""
"male",5,"16","Non_Western",""
"female",0,"28","Western",""
"female",14,"24","Dutch",""
"male",0,"12","Dutch",""
"female",15,"22","Non_Western",""
"male",0,"15","Non_Western",""
"female",5,"23","Non_Western",""
"male",7,"27","Non_Western",""
"female",0,"22","Western",""
"male",16,"age_35_40","Non_Western",""
"male",0,"28","Western",""
"female",0,"15","Dutch",""
"male",13,"25","Non_Western",""
"male",1,"age_40_45","Western",""
"female",3,"24","Western",""
"male",0,"13","Non_Western",""
"female",4,"19","Non_Western",""
"female",0,"16","Non_Western",""
"male",31,"19","Non_Western",""
"male",0,"14","Dutch",""
"male",1,"28","Non_Western",""
"male",15,"age_40_45","Non_Western",""
"male",15,"25","Dutch",""
"male",11,"age_over_50","Dutch",""
"male",3,"age_35_40","Western",""
"male",9,"27","Dutch",""
"male",0,"12","Western",""
"male",1,"16","Western",""
"male",7,"18","Western",""
"female",15,"age_40_45","Non_Western",""
"female",17,"21","Dutch",""
"female",0,"25","Western",""
"female",22,"23","Dutch",""
"female",2,"23","Western",""
"male",45,"17","Dutch",""
"female",2,"21","Western",""
"male",2,"25","Western",""
"male",0,"12","Non_Western",""
"male",0,"13","Western",""
"male",31,"21","Dutch",""
"female",0,"12","Non_Western",""
"male",2,"19","Western",""
"male",23,"16","Dutch",""
"male",14,"24","Non_Western",""
"female",1,"29","Western",""
"male",2,"24","Western",""
"male",0,"14","Western",""
"female",0,"13","Western",""
"female",1,"18","Western",""
"female",0,"12","Western",""
"female",12,"22","Dutch",""
"female",0,"16","Western",""
"male",11,"24","Dutch",""
"male",1,"22","Western",""
"female",4,"19","Western",""
"female",0,"12","Dutch",""
"male",48,"18","Dutch",""
"male",33,"18","Non_Western",""
"male",24,"22","Dutch",""
"female",5,"29","Dutch",""
"female",0,"14","Dutch",""
"female",0,"13","Non_Western",""
"male",8,"age_40_45","Dutch",""
"male",25,"23","Dutch",""
"female",19,"age_40_45","Western","high"
"male",30,"age_30_35","Western","high"
"female",47,"age_30_35","Dutch","high"
"male",0,"13","Dutch","high"
"female",0,"12","Western","high"
"female",611,"23","Dutch","high"
"male",237,"19","Dutch","high"
"male",507,"23","Dutch","high"
"male",0,"14","Dutch","high"
"female",0,"14","Dutch","high"
"male",2,"age_over_50","Non_Western","high"
"male",196,"age_30_35","Dutch","high"
"male",68,"age_30_35","Non_Western","high"
"male",0,"13","Western","high"
"male",0,"15","Non_Western","high"
"male",22,"17","Non_Western","high"
"male",141,"28","Dutch","high"
"male",55,"25","Western","high"
"female",0,"12","Dutch","high"
"female",38,"28","Non_Western","high"
"female",0,"13","Western","high"
"female",11,"age_30_35","Western","high"
"female",78,"23","Western","high"
"female",4,"age_30_35","Non_Western","high"
"female",129,"24","Non_Western","high"
"female",89,"22","Western","high"
"male",38,"26","Western","high"
"male",8,"age_over_50","Western","high"
"female",176,"20","Non_Western","high"
"male",69,"23","Western","high"
"male",500,"24","Dutch","high"
"male",274,"26","Dutch","high"
"female",0,"14","Western","high"
"female",0,"13","Non_Western","high"
"male",0,"12","Non_Western","high"
"male",0,"14","Western","high"
"female",14,"28","Western","high"
"male",0,"13","Non_Western","high"
"male",34,"19","Western","high"
"male",74,"26","Non_Western","high"
"male",0,"12","Dutch","high"
"female",89,"20","Western","high"
"female",57,"24","Western","high"
"female",176,"18","Dutch","high"
"male",0,"15","Dutch","high"
"female",745,"22","Dutch","high"
"male",545,"22","Dutch","high"
"female",0,"14","Non_Western","high"
"female",424,"24","Dutch","high"
"female",30,"29","Non_Western","high"
"female",111,"19","Non_Western","high"
"female",0,"13","Dutch","high"
"male",19,"28","Western","high"
"female",187,"22","Non_Western","high"
"male",0,"16","Non_Western","high"
"male",42,"28","Non_Western","high"
"female",54,"age_40_45","Dutch","high"
"male",25,"29","Non_Western","high"
"female",42,"18","Western","high"
"male",112,"21","Non_Western","high"
"female",574,"20","Dutch","high"
"female",81,"28","Dutch","high"
"male",57,"21","Western","high"
"female",52,"19","Western","high"
"male",2,"16","Dutch","high"
"female",17,"age_35_40","Non_Western","high"
"male",63,"24","Western","high"
"female",85,"age_35_40","Dutch","high"
"male",49,"27","Non_Western","high"
"female",9,"age_40_45","Non_Western","high"
"female",8,"29","Western","high"
"female",83,"25","Non_Western","high"
"male",42,"20","Western","high"
"female",284,"25","Dutch","high"
"female",64,"29","Dutch","high"
"female",47,"25","Western","high"
"male",0,"12","Western","high"
"male",0,"16","Western","high"
"female",163,"23","Non_Western","high"
"male",130,"22","Non_Western","high"
"male",105,"20","Non_Western","high"
"female",38,"26","Western","high"
"male",187,"27","Dutch","high"
"female",11,"age_35_40","Western","high"
"female",78,"26","Non_Western","high"
"female",0,"16","Western","high"
"female",0,"15","Non_Western","high"
"male",54,"18","Non_Western","high"
"male",451,"21","Dutch","high"
"female",330,"19","Dutch","high"
"male",13,"17","Western","high"
"male",64,"17","Dutch","high"
"male",391,"25","Dutch","high"
"female",166,"21","Non_Western","high"
"female",23,"27","Western","high"
"female",42,"27","Non_Western","high"
"female",1,"16","Non_Western","high"
"female",134,"27","Dutch","high"
"female",9,"17","Western","high"
"male",92,"19","Non_Western","high"
"female",0,"15","Western","high"
"male",17,"age_over_50","Dutch","high"
"male",34,"age_30_35","Dutch","high"
"female",0,"15","Dutch","high"
"female",77,"18","Non_Western","high"
"female",17,"17","Non_Western","high"
"male",92,"25","Non_Western","high"
"female",8,"age_over_50","Western","high"
"male",14,"18","Western","high"
"female",0,"12","Non_Western","high"
"male",24,"27","Western","high"
"male",14,"29","Western","high"
"female",0,"16","Dutch","high"
"male",15,"age_35_40","Western","high"
"male",4,"age_30_35","Western","high"
"female",6,"age_over_50","Non_Western","high"
"female",102,"21","Western","high"
"female",67,"17","Dutch","high"
"female",769,"21","Dutch","high"
"male",101,"24","Non_Western","high"
"male",156,"18","Dutch","high"
"female",190,"26","Dutch","high"
"male",342,"20","Dutch","high"
"male",34,"age_40_45","Dutch","high"
"male",0,"15","Western","high"
"female",162,"age_30_35","Dutch","high"
"male",19,"age_35_40","Non_Western","high"
"female",32,"age_30_35","Western","high"
"male",60,"age_35_40","Dutch","high"
"male",7,"age_30_35","Non_Western","high"
"male",0,"14","Non_Western","high"
"male",101,"29","Dutch","high"
"male",10,"age_40_45","Western","high"
"male",66,"22","Western","high"
"male",134,"23","Non_Western","high"
"male",10,"age_40_45","Non_Western","high"
"female",62,"age_30_35","Non_Western","high"
"female",45,"age_over_50","Dutch","high"
"female",153,"24","Non_Western","high"
"male",139,"24","Western","high"
"male",93,"25","Non_Western","high"
