"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"LeerlingenStudenten_1"
"28970";"T001038";"10000";"T001345";"1012600";"GM0344";"2018SJ00";"    9935"
"60122";"T001038";"10000";"T001345";"2012655";"GM0344";"2018SJ00";"    1486"
"75698";"T001038";"10000";"T001345";"2012657";"GM0344";"2018SJ00";"    5706"
"200306";"T001038";"10000";"A041919";"1012600";"GM0344";"2018SJ00";"    4113"
"231458";"T001038";"10000";"A041919";"2012655";"GM0344";"2018SJ00";"     680"
"247034";"T001038";"10000";"A041919";"2012657";"GM0344";"2018SJ00";"    2640"
"371642";"T001038";"10000";"A041920";"1012600";"GM0344";"2018SJ00";"    2752"
"402794";"T001038";"10000";"A041920";"2012655";"GM0344";"2018SJ00";"     368"
"418370";"T001038";"10000";"A041920";"2012657";"GM0344";"2018SJ00";"     588"
"542978";"T001038";"10000";"A041921";"1012600";"GM0344";"2018SJ00";"    1619"
"574130";"T001038";"10000";"A041921";"2012655";"GM0344";"2018SJ00";"     225"
"589706";"T001038";"10000";"A041921";"2012657";"GM0344";"2018SJ00";"     722"
"714314";"T001038";"10000";"A041922";"1012600";"GM0344";"2018SJ00";"     733"
"745466";"T001038";"10000";"A041922";"2012655";"GM0344";"2018SJ00";"     110"
"761042";"T001038";"10000";"A041922";"2012657";"GM0344";"2018SJ00";"     570"
"885650";"T001038";"10000";"A041923";"1012600";"GM0344";"2018SJ00";"     576"
"916802";"T001038";"10000";"A041923";"2012655";"GM0344";"2018SJ00";"      69"
"932378";"T001038";"10000";"A041923";"2012657";"GM0344";"2018SJ00";"     893"
"1056986";"T001038";"10000";"A025289";"1012600";"GM0344";"2018SJ00";"     142"
"1088138";"T001038";"10000";"A025289";"2012655";"GM0344";"2018SJ00";"      34"
"1103714";"T001038";"10000";"A025289";"2012657";"GM0344";"2018SJ00";"     293"
"1228322";"T001038";"10000";"A025300";"1012600";"GM0344";"2018SJ00";"     122"
"1259474";"T001038";"10000";"A025300";"2012655";"GM0344";"2018SJ00";"      20"
"1275050";"T001038";"10000";"A025300";"2012657";"GM0344";"2018SJ00";"     133"
"1399658";"T001038";"10000";"A041867";"1012600";"GM0344";"2018SJ00";"    2877"
"1430810";"T001038";"10000";"A041867";"2012655";"GM0344";"2018SJ00";"     375"
"1446386";"T001038";"10000";"A041867";"2012657";"GM0344";"2018SJ00";"    3628"
"1570994";"T001038";"10000";"A041868";"1012600";"GM0344";"2018SJ00";"    2176"
"1602146";"T001038";"10000";"A041868";"2012655";"GM0344";"2018SJ00";"     295"
"1617722";"T001038";"10000";"A041868";"2012657";"GM0344";"2018SJ00";"    3194"
"1742330";"T001038";"10000";"A025293";"1012600";"GM0344";"2018SJ00";"     701"
"1773482";"T001038";"10000";"A025293";"2012655";"GM0344";"2018SJ00";"      80"
"1789058";"T001038";"10000";"A025293";"2012657";"GM0344";"2018SJ00";"     434"
"1913666";"T001038";"10000";"A041751";"1012600";"GM0344";"2018SJ00";"      35"
"1944818";"T001038";"10000";"A041751";"2012655";"GM0344";"2018SJ00";"      10"
"1960394";"T001038";"10000";"A041751";"2012657";"GM0344";"2018SJ00";"     216"
"2085002";"T001038";"10000";"A041755";"1012600";"GM0344";"2018SJ00";"     446"
"2116154";"T001038";"10000";"A041755";"2012655";"GM0344";"2018SJ00";"      84"
"2131730";"T001038";"10000";"A041755";"2012657";"GM0344";"2018SJ00";"     941"
"2256338";"T001038";"10000";"A041759";"1012600";"GM0344";"2018SJ00";"     550"
"2287490";"T001038";"10000";"A041759";"2012655";"GM0344";"2018SJ00";"      56"
"2303066";"T001038";"10000";"A041759";"2012657";"GM0344";"2018SJ00";"     579"
"2427674";"T001038";"10000";"A041924";"1012600";"GM0344";"2018SJ00";"    1846"
"2458826";"T001038";"10000";"A041924";"2012655";"GM0344";"2018SJ00";"     225"
"2474402";"T001038";"10000";"A041924";"2012657";"GM0344";"2018SJ00";"    1892"
"2599010";"T001038";"10000";"A041925";"1012600";"GM0344";"2018SJ00";"       0"
"2630162";"T001038";"10000";"A041925";"2012655";"GM0344";"2018SJ00";"       0"
"2645738";"T001038";"10000";"A041925";"2012657";"GM0344";"2018SJ00";"       0"
"2770346";"T001038";"10000";"A025294";"1012600";"GM0344";"2018SJ00";"    9081"
"2801498";"T001038";"10000";"A025294";"2012655";"GM0344";"2018SJ00";"    1304"
"2817074";"T001038";"10000";"A025294";"2012657";"GM0344";"2018SJ00";"    2534"
"2941682";"T001038";"10000";"A025297";"1012600";"GM0344";"2018SJ00";"   14565"
