"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1";"GemiddeldeBevolking_2"
"26421";"T001038";"10000";"T001019";"GM0344";"2019JJ00";"  352866";"355231.5"
"182346";"T001038";"10010";"T001019";"GM0344";"2019JJ00";"    4748";"  2346.0"
"338271";"T001038";"10100";"T001019";"GM0344";"2019JJ00";"    4497";"  4656.0"
"494196";"T001038";"10200";"T001019";"GM0344";"2019JJ00";"    4332";"  4407.0"
"650121";"T001038";"10300";"T001019";"GM0344";"2019JJ00";"    4160";"  4262.5"
"806046";"T001038";"10400";"T001019";"GM0344";"2019JJ00";"    4171";"  4108.0"
"961971";"T001038";"10500";"T001019";"GM0344";"2019JJ00";"    4039";"  4138.5"
"1117896";"T001038";"10600";"T001019";"GM0344";"2019JJ00";"    4066";"  4007.0"
"1273821";"T001038";"10700";"T001019";"GM0344";"2019JJ00";"    3954";"  4031.0"
"1429746";"T001038";"10800";"T001019";"GM0344";"2019JJ00";"    4052";"  3926.0"
"1585671";"T001038";"10900";"T001019";"GM0344";"2019JJ00";"    3940";"  4037.5"
"1741596";"T001038";"11000";"T001019";"GM0344";"2019JJ00";"    3828";"  3925.0"
"1897521";"T001038";"11100";"T001019";"GM0344";"2019JJ00";"    3756";"  3831.0"
"2053446";"T001038";"11200";"T001019";"GM0344";"2019JJ00";"    3613";"  3753.5"
"2209371";"T001038";"11300";"T001019";"GM0344";"2019JJ00";"    3552";"  3616.0"
"2365296";"T001038";"11400";"T001019";"GM0344";"2019JJ00";"    3353";"  3547.5"
"2521221";"T001038";"11500";"T001019";"GM0344";"2019JJ00";"    3449";"  3364.5"
"2677146";"T001038";"11600";"T001019";"GM0344";"2019JJ00";"    3241";"  3450.5"
"2833071";"T001038";"11700";"T001019";"GM0344";"2019JJ00";"    3217";"  3265.5"
"2988996";"T001038";"11800";"T001019";"GM0344";"2019JJ00";"    3644";"  3448.0"
"3144921";"T001038";"11900";"T001019";"GM0344";"2019JJ00";"    4343";"  4053.0"
"3300846";"T001038";"12000";"T001019";"GM0344";"2019JJ00";"    5627";"  4828.5"
"3456771";"T001038";"12100";"T001019";"GM0344";"2019JJ00";"    6479";"  5963.0"
"3612696";"T001038";"12200";"T001019";"GM0344";"2019JJ00";"    7369";"  6712.0"
"3768621";"T001038";"12300";"T001019";"GM0344";"2019JJ00";"    7923";"  7549.5"
"3924546";"T001038";"12400";"T001019";"GM0344";"2019JJ00";"    8489";"  8033.0"
"4080471";"T001038";"12500";"T001019";"GM0344";"2019JJ00";"    8763";"  8590.5"
"4236396";"T001038";"12600";"T001019";"GM0344";"2019JJ00";"    8584";"  8881.0"
"4392321";"T001038";"12700";"T001019";"GM0344";"2019JJ00";"    8477";"  8699.0"
"4548246";"T001038";"12800";"T001019";"GM0344";"2019JJ00";"    8332";"  8520.5"
"4704171";"T001038";"12900";"T001019";"GM0344";"2019JJ00";"    7978";"  8369.5"
"4860096";"T001038";"13000";"T001019";"GM0344";"2019JJ00";"    7686";"  7978.0"
"5016021";"T001038";"13100";"T001019";"GM0344";"2019JJ00";"    7408";"  7660.5"
"5171946";"T001038";"13200";"T001019";"GM0344";"2019JJ00";"    6919";"  7347.5"
"5327871";"T001038";"13300";"T001019";"GM0344";"2019JJ00";"    6551";"  6855.5"
"5483796";"T001038";"13400";"T001019";"GM0344";"2019JJ00";"    6196";"  6487.5"
"5639721";"T001038";"13500";"T001019";"GM0344";"2019JJ00";"    5958";"  6143.0"
"5795646";"T001038";"13600";"T001019";"GM0344";"2019JJ00";"    5688";"  5905.0"
"5951571";"T001038";"13700";"T001019";"GM0344";"2019JJ00";"    5550";"  5611.5"
"6107496";"T001038";"13800";"T001019";"GM0344";"2019JJ00";"    5415";"  5493.0"
"6263421";"T001038";"13900";"T001019";"GM0344";"2019JJ00";"    5012";"  5365.5"
"6419346";"T001038";"14000";"T001019";"GM0344";"2019JJ00";"    4938";"  4962.0"
"6575271";"T001038";"14100";"T001019";"GM0344";"2019JJ00";"    4648";"  4910.0"
"6731196";"T001038";"14200";"T001019";"GM0344";"2019JJ00";"    4617";"  4632.5"
"6887121";"T001038";"14300";"T001019";"GM0344";"2019JJ00";"    4599";"  4585.5"
"7043046";"T001038";"14400";"T001019";"GM0344";"2019JJ00";"    4548";"  4564.0"
"7198971";"T001038";"14500";"T001019";"GM0344";"2019JJ00";"    4590";"  4526.5"
"7354896";"T001038";"14600";"T001019";"GM0344";"2019JJ00";"    4785";"  4552.0"
"7510821";"T001038";"14700";"T001019";"GM0344";"2019JJ00";"    4836";"  4760.5"
"7666746";"T001038";"14800";"T001019";"GM0344";"2019JJ00";"    4804";"  4805.5"
"7822671";"T001038";"14900";"T001019";"GM0344";"2019JJ00";"    4757";"  4770.0"
"7978596";"T001038";"15000";"T001019";"GM0344";"2019JJ00";"    4267";"  4737.0"
"8134521";"T001038";"15100";"T001019";"GM0344";"2019JJ00";"    3932";"  4267.0"
"8290446";"T001038";"15200";"T001019";"GM0344";"2019JJ00";"    3969";"  3920.5"
"8446371";"T001038";"15300";"T001019";"GM0344";"2019JJ00";"    3762";"  3966.5"
"8602296";"T001038";"15400";"T001019";"GM0344";"2019JJ00";"    3766";"  3751.5"
"8758221";"T001038";"15500";"T001019";"GM0344";"2019JJ00";"    3712";"  3751.0"
"8914146";"T001038";"15600";"T001019";"GM0344";"2019JJ00";"    3556";"  3695.0"
