"ID";"WijkenEnBuurten";"SoortRegio_2";"Codering_3";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"WestersTotaal_17";"NietWestersTotaal_18";"HuishoudensTotaal_28";"Eenpersoonshuishoudens_29";"HuishoudensZonderKinderen_30";"HuishoudensMetKinderen_31";"GemiddeldeHuishoudensgrootte_32";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"14825";"GM0344    ";"Gemeente  ";"GM0344    ";"  359370";"  176554";"  182816";"   60232";"   52695";"  131858";"   76670";"   37915";"   44113";"   86776";"  181775";"   90986";"   41898";"   48891";"     2.0";"       .";"       .";"       ."
"14826";"WK034401  ";"Wijk      ";"WK034401  ";"   29255";"   14210";"   15045";"    4540";"    4095";"   12100";"    5775";"    2760";"    3655";"    5770";"   15355";"    7920";"    3750";"    3680";"     1.9";"       .";"       .";"       ."
"14827";"BU03440111";"Buurt     ";"BU03440111";"    1835";"     870";"     960";"     210";"     280";"     765";"     230";"     360";"     195";"     155";"    1100";"     665";"     300";"     135";"     1.6";"       .";"       .";"       ."
"14828";"BU03440112";"Buurt     ";"BU03440112";"    4285";"    2145";"    2135";"    1155";"     465";"     990";"    1230";"     460";"     455";"     190";"    1535";"     325";"     365";"     840";"     2.8";"       .";"       .";"       ."
"14829";"BU03440113";"Buurt     ";"BU03440113";"    1485";"     770";"     710";"     285";"     170";"     550";"     275";"     215";"     145";"     415";"     565";"     260";"     140";"     160";"     2.0";"       .";"       .";"       ."
"14830";"BU03440114";"Buurt     ";"BU03440114";"    1720";"     825";"     895";"     305";"     225";"     615";"     430";"     160";"     165";"     735";"     855";"     400";"     190";"     260";"     2.0";"       .";"       .";"       ."
"14831";"BU03440121";"Buurt     ";"BU03440121";"    2275";"    1070";"    1205";"     140";"     435";"    1225";"     290";"     200";"     330";"     655";"    1475";"     940";"     360";"     175";"     1.5";"       .";"       .";"       ."
"14832";"BU03440122";"Buurt     ";"BU03440122";"    1205";"     595";"     610";"     165";"     150";"     500";"     255";"     140";"     145";"     425";"     650";"     340";"     155";"     145";"     1.9";"       .";"       .";"       ."
"14833";"BU03440123";"Buurt     ";"BU03440123";"    4935";"    2385";"    2545";"     630";"     705";"    2310";"     920";"     385";"     695";"     960";"    2855";"    1645";"     670";"     540";"     1.7";"       .";"       .";"       ."
"14834";"BU03440124";"Buurt     ";"BU03440124";"    4235";"    2025";"    2205";"     495";"     650";"    1995";"     785";"     320";"     585";"     960";"    2475";"    1405";"     615";"     455";"     1.7";"       .";"       .";"       ."
"14835";"BU03440131";"Buurt     ";"BU03440131";"    5805";"    2755";"    3050";"     885";"     865";"    2580";"    1095";"     395";"     800";"    1120";"    3180";"    1695";"     765";"     720";"     1.8";"       .";"       .";"       ."
"14836";"BU03440132";"Buurt     ";"BU03440132";"    1290";"     655";"     635";"     270";"     150";"     540";"     230";"     110";"     130";"     125";"     565";"     190";"     150";"     220";"     2.3";"       .";"       .";"       ."
"14837";"BU03440133";"Buurt     ";"BU03440133";"     170";"      95";"      75";"      25";"      20";"      45";"      55";"      30";"      25";"      45";"      85";"      40";"      25";"      20";"     2.0";"       .";"       .";"       ."
"14838";"WK034402  ";"Wijk      ";"WK034402  ";"   44930";"   21805";"   23120";"    6230";"    6195";"   19435";"    8565";"    4515";"    5630";"   10340";"   24310";"   12510";"    6315";"    5480";"     1.8";"       .";"       .";"       ."
"14839";"BU03440211";"Buurt     ";"BU03440211";"    4800";"    2345";"    2450";"     375";"     695";"    2785";"     675";"     280";"     745";"     715";"    2990";"    1700";"     925";"     360";"     1.6";"       .";"       .";"       ."
"14840";"BU03440212";"Buurt     ";"BU03440212";"    2160";"    1055";"    1100";"     265";"     295";"     940";"     435";"     240";"     315";"     625";"    1240";"     700";"     275";"     260";"     1.7";"       .";"       .";"       ."
"14841";"BU03440221";"Buurt     ";"BU03440221";"    2160";"    1040";"    1115";"     240";"     245";"    1070";"     395";"     220";"     265";"     430";"    1220";"     595";"     375";"     245";"     1.8";"       .";"       .";"       ."
"14842";"BU03440222";"Buurt     ";"BU03440222";"    5240";"    2585";"    2650";"     925";"     600";"    2070";"    1010";"     645";"     570";"    1265";"    2550";"    1105";"     695";"     745";"     2.0";"       .";"       .";"       ."
"14843";"BU03440223";"Buurt     ";"BU03440223";"    3605";"    1710";"    1890";"     325";"     630";"    1755";"     550";"     355";"     565";"     605";"    2255";"    1355";"     590";"     300";"     1.6";"       .";"       .";"       ."
"14844";"BU03440224";"Buurt     ";"BU03440224";"    2845";"    1350";"    1495";"     305";"     470";"    1280";"     540";"     265";"     355";"     540";"    1645";"     895";"     430";"     315";"     1.7";"       .";"       .";"       ."
"14845";"BU03440231";"Buurt     ";"BU03440231";"    2860";"    1370";"    1490";"     310";"     535";"    1410";"     430";"     185";"     435";"     380";"    1765";"    1060";"     435";"     270";"     1.6";"       .";"       .";"       ."
"14846";"BU03440232";"Buurt     ";"BU03440232";"    4270";"    2025";"    2245";"     495";"     640";"    2000";"     790";"     355";"     620";"     465";"    2515";"    1400";"     655";"     455";"     1.7";"       .";"       .";"       ."
"14847";"BU03440233";"Buurt     ";"BU03440233";"    3475";"    1670";"    1805";"     540";"     420";"    1285";"     770";"     475";"     390";"     710";"    1830";"     930";"     405";"     490";"     1.9";"       .";"       .";"       ."
"14848";"BU03440241";"Buurt     ";"BU03440241";"    4005";"    1930";"    2075";"     665";"     560";"    1560";"     840";"     395";"     465";"    1260";"    1970";"     935";"     440";"     585";"     2.0";"       .";"       .";"       ."
"14849";"BU03440242";"Buurt     ";"BU03440242";"    4500";"    2210";"    2290";"     795";"     595";"    1545";"    1050";"     525";"     435";"    1775";"    2085";"     910";"     520";"     650";"     2.1";"       .";"       .";"       ."
"14850";"BU03440243";"Buurt     ";"BU03440243";"    1175";"     610";"     565";"     320";"     130";"     465";"     205";"      65";"     100";"     550";"     455";"     140";"      90";"     220";"     2.6";"       .";"       .";"       ."
"14851";"BU03440244";"Buurt     ";"BU03440244";"    3815";"    1890";"    1925";"     695";"     405";"    1290";"     895";"     540";"     385";"    1025";"    1780";"     750";"     460";"     565";"     2.1";"       .";"       .";"       ."
"14852";"WK034403  ";"Wijk      ";"WK034403  ";"   34155";"   17220";"   16935";"    6310";"    4325";"   11180";"    7525";"    4825";"    3470";"   17150";"   16605";"    8200";"    3415";"    4985";"     2.0";"       .";"       .";"       ."
"14853";"BU03440311";"Buurt     ";"BU03440311";"    4260";"    2230";"    2030";"     660";"     605";"    1745";"     770";"     495";"     660";"    1610";"    2215";"    1090";"     590";"     535";"     1.9";"       .";"       .";"       ."
"14854";"BU03440312";"Buurt     ";"BU03440312";"    4765";"    2390";"    2375";"    1015";"     555";"    1520";"    1075";"     610";"     375";"    2750";"    2140";"     985";"     390";"     760";"     2.2";"       .";"       .";"       ."
"14855";"BU03440321";"Buurt     ";"BU03440321";"    2845";"    1415";"    1430";"     275";"     415";"    1135";"     565";"     465";"     405";"    1105";"    1750";"    1040";"     445";"     260";"     1.6";"       .";"       .";"       ."
"14856";"BU03440322";"Buurt     ";"BU03440322";"    4330";"    2145";"    2185";"     820";"     555";"    1190";"     995";"     785";"     415";"    2490";"    2185";"    1175";"     370";"     635";"     2.0";"       .";"       .";"       ."
"14857";"BU03440331";"Buurt     ";"BU03440331";"    5225";"    2535";"    2685";"    1025";"     590";"    1805";"    1080";"     740";"     460";"    2480";"    2445";"    1115";"     510";"     815";"     2.1";"       .";"       .";"       ."
"14858";"BU03440332";"Buurt     ";"BU03440332";"    3280";"    1640";"    1640";"     540";"     380";"     895";"     845";"     635";"     340";"    1230";"    1500";"     710";"     310";"     480";"     2.1";"       .";"       .";"       ."
"14859";"BU03440333";"Buurt     ";"BU03440333";"      95";"      55";"      40";"      15";"      15";"      35";"      20";"      20";"      20";"      15";"      50";"      25";"      10";"      10";"     1.9";"       .";"       .";"       ."
"14860";"BU03440341";"Buurt     ";"BU03440341";"    4490";"    2365";"    2125";"     895";"     575";"    1520";"    1005";"     510";"     390";"    2560";"    2250";"    1150";"     435";"     660";"     2.0";"       .";"       .";"       ."
"14861";"BU03440342";"Buurt     ";"BU03440342";"    4600";"    2305";"    2295";"    1040";"     625";"    1300";"    1100";"     550";"     390";"    2910";"    1965";"     875";"     305";"     780";"     2.3";"       .";"       .";"       ."
"14862";"BU03440343";"Buurt     ";"BU03440343";"     235";"     115";"     115";"      45";"      30";"      45";"      90";"      45";"      20";"      15";"      95";"      15";"      35";"      35";"     2.5";"       .";"       .";"       ."
"14863";"WK034404  ";"Wijk      ";"WK034404  ";"   39510";"   18790";"   20715";"    6175";"    6440";"   13350";"    9125";"    4430";"    5230";"    3885";"   21165";"   11435";"    4685";"    5035";"     1.8";"       .";"       .";"       ."
"14864";"BU03440411";"Buurt     ";"BU03440411";"    4070";"    1905";"    2165";"     500";"     790";"    1700";"     810";"     280";"     625";"     360";"    2445";"    1480";"     545";"     420";"     1.7";"       .";"       .";"       ."
"14865";"BU03440412";"Buurt     ";"BU03440412";"    2520";"    1310";"    1210";"     265";"     375";"    1115";"     590";"     185";"     415";"     410";"    1485";"     980";"     280";"     225";"     1.6";"       .";"       .";"       ."
"14866";"BU03440413";"Buurt     ";"BU03440413";"    1680";"     800";"     880";"     330";"     220";"     660";"     350";"     135";"     185";"     490";"     840";"     395";"     190";"     250";"     2.0";"       .";"       .";"       ."
"14867";"BU03440414";"Buurt     ";"BU03440414";"    2375";"    1095";"    1275";"     365";"     325";"     850";"     580";"     265";"     295";"     190";"    1250";"     600";"     305";"     340";"     1.9";"       .";"       .";"       ."
"14868";"BU03440415";"Buurt     ";"BU03440415";"    2825";"    1365";"    1455";"     490";"     405";"     985";"     655";"     295";"     410";"     300";"    1420";"     690";"     335";"     395";"     2.0";"       .";"       .";"       ."
"14869";"BU03440421";"Buurt     ";"BU03440421";"    6865";"    3290";"    3575";"    1300";"    1550";"    1640";"    1545";"     840";"     635";"     380";"    3420";"    1770";"     660";"     985";"     2.0";"       .";"       .";"       ."
"14870";"BU03440422";"Buurt     ";"BU03440422";"    3110";"    1455";"    1650";"     485";"     380";"    1015";"     685";"     555";"     335";"     310";"    1610";"     810";"     395";"     405";"     1.9";"       .";"       .";"       ."
"14871";"BU03440423";"Buurt     ";"BU03440423";"    5015";"    2365";"    2650";"    1020";"     500";"    1530";"    1365";"     615";"     610";"     535";"    2285";"     930";"     575";"     775";"     2.2";"       .";"       .";"       ."
"14872";"BU03440431";"Buurt     ";"BU03440431";"    1235";"     565";"     665";"     140";"     140";"     350";"     285";"     330";"     185";"     120";"     710";"     395";"     175";"     130";"     1.7";"       .";"       .";"       ."
"14873";"BU03440432";"Buurt     ";"BU03440432";"    3175";"    1475";"    1695";"     365";"     585";"    1105";"     745";"     390";"     460";"     315";"    1895";"    1190";"     370";"     330";"     1.7";"       .";"       .";"       ."
"14874";"BU03440433";"Buurt     ";"BU03440433";"    6620";"    3145";"    3475";"     930";"    1190";"    2415";"    1540";"     560";"    1085";"     480";"    3785";"    2180";"     830";"     765";"     1.7";"       .";"       .";"       ."
"14875";"WK034405  ";"Wijk      ";"WK034405  ";"   32200";"   15010";"   17190";"    3405";"    8425";"   11210";"    5800";"    3365";"    5400";"    3360";"   20790";"   14320";"    3590";"    2875";"     1.5";"       .";"       .";"       ."
"14876";"BU03440511";"Buurt     ";"BU03440511";"    4585";"    2115";"    2470";"     385";"     915";"    1930";"     860";"     505";"     795";"     415";"    3040";"    2120";"     580";"     335";"     1.5";"       .";"       .";"       ."
"14877";"BU03440512";"Buurt     ";"BU03440512";"    4970";"    2330";"    2640";"     645";"     710";"    1910";"    1120";"     595";"     800";"     425";"    2940";"    1745";"     660";"     535";"     1.7";"       .";"       .";"       ."
"14878";"BU03440521";"Buurt     ";"BU03440521";"    2105";"    1010";"    1090";"     280";"     290";"     785";"     505";"     255";"     305";"     225";"    1215";"     705";"     260";"     245";"     1.7";"       .";"       .";"       ."
"14879";"BU03440522";"Buurt     ";"BU03440522";"     875";"     420";"     450";"     150";"     110";"     245";"     240";"     140";"      70";"     195";"     425";"     185";"      95";"     135";"     2.1";"       .";"       .";"       ."
"14880";"BU03440523";"Buurt     ";"BU03440523";"    3130";"    1455";"    1675";"     145";"    1510";"     970";"     260";"     260";"     375";"     295";"    2515";"    2175";"     215";"     120";"     1.2";"       .";"       .";"       ."
"14881";"BU03440524";"Buurt     ";"BU03440524";"    2345";"    1100";"    1245";"     255";"     370";"    1145";"     430";"     155";"     325";"     265";"    1435";"     850";"     375";"     210";"     1.6";"       .";"       .";"       ."
"14882";"BU03440525";"Buurt     ";"BU03440525";"    1015";"     475";"     535";"     155";"     140";"     425";"     220";"      80";"     120";"     165";"     570";"     325";"     115";"     125";"     1.8";"       .";"       .";"       ."
"14883";"BU03440526";"Buurt     ";"BU03440526";"     210";"     115";"      95";"      50";"      40";"      55";"      50";"      35";"      40";"      15";"      90";"      40";"      15";"      35";"     2.3";"       .";"       .";"       ."
"14884";"BU03440531";"Buurt     ";"BU03440531";"    3515";"    1610";"    1905";"     550";"     475";"    1200";"     820";"     485";"     460";"     285";"    1865";"     935";"     470";"     460";"     1.9";"       .";"       .";"       ."
"14885";"BU03440532";"Buurt     ";"BU03440532";"    2645";"    1270";"    1370";"     475";"     475";"     590";"     700";"     415";"     395";"     135";"    1265";"     605";"     285";"     370";"     2.1";"       .";"       .";"       ."
"14886";"BU03440533";"Buurt     ";"BU03440533";"    3100";"    1420";"    1675";"      10";"    1815";"    1240";"      30";"      10";"     830";"     500";"    2840";"    2645";"     185";"      10";"     1.1";"       .";"       .";"       ."
"14887";"BU03440534";"Buurt     ";"BU03440534";"    2705";"    1320";"    1385";"     320";"     830";"     600";"     535";"     435";"     405";"     220";"    1675";"    1130";"     280";"     265";"     1.6";"       .";"       .";"       ."
"14888";"BU03440535";"Buurt     ";"BU03440535";"     970";"     345";"     625";"      15";"     770";"     130";"      50";"      20";"     485";"     240";"     890";"     840";"      35";"      10";"     1.1";"       .";"       .";"       ."
"14889";"WK034406  ";"Wijk      ";"WK034406  ";"   19400";"    9940";"    9460";"     935";"    3160";"    9615";"    3590";"    2120";"    3630";"    2495";"   12765";"    8410";"    3360";"     985";"     1.5";"       .";"       .";"       ."
"14890";"BU03440611";"Buurt     ";"BU03440611";"    2385";"    1235";"    1145";"      70";"     520";"    1300";"     335";"     175";"     485";"     215";"    1730";"    1205";"     440";"      80";"     1.4";"       .";"       .";"       ."
"14891";"BU03440612";"Buurt     ";"BU03440612";"    1660";"     855";"     805";"      60";"     330";"     935";"     210";"     130";"     320";"     240";"    1115";"     760";"     285";"      60";"     1.4";"       .";"       .";"       ."
"14892";"BU03440613";"Buurt     ";"BU03440613";"    2195";"    1350";"     840";"     105";"     215";"    1440";"     330";"     115";"     405";"     565";"    1060";"     565";"     420";"      75";"     1.6";"       .";"       .";"       ."
"14893";"BU03440621";"Buurt     ";"BU03440621";"    1330";"     625";"     700";"      60";"     205";"     580";"     275";"     215";"     265";"     195";"     910";"     610";"     215";"      80";"     1.4";"       .";"       .";"       ."
"14894";"BU03440622";"Buurt     ";"BU03440622";"    2655";"    1350";"    1305";"     120";"     495";"    1400";"     430";"     225";"     550";"     250";"    1855";"    1290";"     435";"     130";"     1.4";"       .";"       .";"       ."
"14895";"BU03440623";"Buurt     ";"BU03440623";"     985";"     510";"     470";"      40";"     225";"     545";"     130";"      60";"     185";"     135";"     755";"     580";"     130";"      40";"     1.3";"       .";"       .";"       ."
"14896";"BU03440624";"Buurt     ";"BU03440624";"    1970";"     925";"    1040";"     120";"     270";"     710";"     465";"     415";"     305";"     165";"    1235";"     795";"     305";"     135";"     1.5";"       .";"       .";"       ."
"14897";"BU03440625";"Buurt     ";"BU03440625";"    2490";"    1230";"    1260";"     140";"     410";"    1140";"     555";"     260";"     465";"     200";"    1640";"    1060";"     430";"     140";"     1.5";"       .";"       .";"       ."
"14898";"BU03440626";"Buurt     ";"BU03440626";"    1115";"     530";"     585";"      85";"     155";"     395";"     290";"     210";"     220";"      80";"     730";"     455";"     185";"      80";"     1.5";"       .";"       .";"       ."
"14899";"BU03440627";"Buurt     ";"BU03440627";"     520";"     235";"     285";"      35";"     105";"     225";"     115";"      50";"      70";"     140";"     335";"     220";"      70";"      40";"     1.6";"       .";"       .";"       ."
"14900";"BU03440628";"Buurt     ";"BU03440628";"    2080";"    1070";"    1005";"     115";"     245";"     970";"     475";"     285";"     365";"     315";"    1390";"     845";"     425";"     115";"     1.5";"       .";"       .";"       ."
"14901";"WK034407  ";"Wijk      ";"WK034407  ";"   27765";"   13650";"   14115";"    4425";"    3975";"   10215";"    6060";"    3105";"    3110";"    6140";"   14785";"    7830";"    3325";"    3625";"     1.9";"       .";"       .";"       ."
"14902";"BU03440711";"Buurt     ";"BU03440711";"    4325";"    2195";"    2125";"     425";"     855";"    1510";"     995";"     560";"     550";"     910";"    2775";"    1860";"     510";"     400";"     1.6";"       .";"       .";"       ."
"14903";"BU03440712";"Buurt     ";"BU03440712";"    7020";"    3625";"    3395";"    1155";"     945";"    2160";"    1975";"     795";"     815";"    1330";"    3580";"    1770";"     760";"    1045";"     2.0";"       .";"       .";"       ."
"14904";"BU03440721";"Buurt     ";"BU03440721";"    4155";"    1880";"    2275";"     320";"     820";"    2215";"     495";"     315";"     605";"     720";"    2770";"    1785";"     690";"     285";"     1.5";"       .";"       .";"       ."
"14905";"BU03440722";"Buurt     ";"BU03440722";"    3155";"    1525";"    1630";"     775";"     315";"    1160";"     630";"     290";"     310";"     210";"    1365";"     490";"     350";"     525";"     2.3";"       .";"       .";"       ."
"14906";"BU03440723";"Buurt     ";"BU03440723";"    2400";"    1185";"    1215";"     510";"     230";"     835";"     505";"     330";"     215";"     170";"    1060";"     360";"     295";"     400";"     2.3";"       .";"       .";"       ."
"14907";"BU03440731";"Buurt     ";"BU03440731";"     770";"     380";"     390";"      85";"      80";"     335";"     210";"      75";"     110";"     125";"     455";"     265";"     100";"      85";"     1.7";"       .";"       .";"       ."
"14908";"BU03440732";"Buurt     ";"BU03440732";"    2225";"    1050";"    1170";"     350";"     250";"     770";"     430";"     435";"     190";"     740";"    1190";"     645";"     285";"     255";"     1.9";"       .";"       .";"       ."
"14909";"BU03440733";"Buurt     ";"BU03440733";"    3700";"    1800";"    1900";"     820";"     490";"    1250";"     830";"     325";"     325";"    1935";"    1580";"     640";"     320";"     610";"     2.3";"       .";"       .";"       ."
"14910";"WK034408  ";"Wijk      ";"WK034408  ";"   38670";"   19470";"   19200";"    5840";"    5895";"   15700";"    7285";"    3965";"    4585";"   15210";"   20220";"   10700";"    4820";"    4695";"     1.9";"       .";"       .";"       ."
"14911";"BU03440811";"Buurt     ";"BU03440811";"    5235";"    2515";"    2715";"     860";"     710";"    2150";"    1105";"     425";"     745";"     690";"    2725";"    1335";"     710";"     675";"     1.9";"       .";"       .";"       ."
"14912";"BU03440812";"Buurt     ";"BU03440812";"    9095";"    4465";"    4630";"    1365";"    1115";"    3380";"    2180";"    1065";"    1055";"    1820";"    4735";"    2305";"    1245";"    1185";"     1.9";"       .";"       .";"       ."
"14913";"BU03440821";"Buurt     ";"BU03440821";"     450";"     260";"     185";"      10";"      70";"     355";"      15";"      10";"     130";"     150";"     350";"     260";"      80";"       5";"     1.3";"       .";"       .";"       ."
"14914";"BU03440822";"Buurt     ";"BU03440822";"    2770";"    1390";"    1380";"     175";"     315";"    1530";"     270";"     490";"     250";"     795";"    1855";"    1340";"     360";"     150";"     1.4";"       .";"       .";"       ."
"14915";"BU03440823";"Buurt     ";"BU03440823";"    3960";"    2010";"    1945";"     470";"     545";"    1565";"     655";"     735";"     510";"    1380";"    2170";"    1175";"     590";"     400";"     1.8";"       .";"       .";"       ."
"14916";"BU03440831";"Buurt     ";"BU03440831";"    8945";"    4630";"    4310";"    1730";"    1580";"    3215";"    1755";"     680";"     950";"    5565";"    4325";"    2235";"     815";"    1270";"     2.1";"       .";"       .";"       ."
"14917";"BU03440832";"Buurt     ";"BU03440832";"    8205";"    4190";"    4015";"    1245";"    1570";"    3515";"    1320";"     570";"     945";"    4810";"    4055";"    2040";"    1010";"    1000";"     2.0";"       .";"       .";"       ."
"14918";"WK034409  ";"Wijk      ";"WK034409  ";"   42780";"   21480";"   21295";"   10505";"    4220";"   16110";"    9200";"    2755";"    4830";"   13890";"   16910";"    5080";"    4080";"    7745";"     2.5";"       .";"       .";"       ."
"14919";"BU03440911";"Buurt     ";"BU03440911";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"14920";"BU03440912";"Buurt     ";"BU03440912";"    5315";"    2670";"    2645";"    1235";"     675";"    1580";"    1395";"     440";"     675";"    1775";"    1955";"     475";"     465";"    1005";"     2.7";"       .";"       .";"       ."
"14921";"BU03440913";"Buurt     ";"BU03440913";"    5725";"    2870";"    2850";"    1310";"     460";"    2545";"    1040";"     380";"     745";"    2075";"    2415";"     810";"     645";"     955";"     2.3";"       .";"       .";"       ."
"14922";"BU03440921";"Buurt     ";"BU03440921";"    6380";"    3180";"    3200";"    1795";"     535";"    2315";"    1390";"     360";"     745";"    1525";"    2315";"     535";"     545";"    1230";"     2.7";"       .";"       .";"       ."
"14923";"BU03440922";"Buurt     ";"BU03440922";"    4205";"    2155";"    2050";"    1250";"     410";"    1540";"     860";"     160";"     415";"    1615";"    1465";"     330";"     290";"     840";"     2.8";"       .";"       .";"       ."
"14924";"BU03440931";"Buurt     ";"BU03440931";"    2045";"    1070";"     970";"     130";"     135";"    1395";"     240";"     155";"     305";"     555";"    1250";"     595";"     515";"     135";"     1.6";"       .";"       .";"       ."
"14925";"BU03440932";"Buurt     ";"BU03440932";"    1745";"     865";"     875";"     610";"     115";"     715";"     265";"      50";"     180";"     575";"     610";"     145";"      90";"     370";"     2.9";"       .";"       .";"       ."
"14926";"BU03440933";"Buurt     ";"BU03440933";"    3525";"    1750";"    1770";"    1285";"     200";"    1685";"     335";"      30";"     380";"    1080";"    1140";"     175";"     215";"     745";"     3.1";"       .";"       .";"       ."
"14927";"BU03440934";"Buurt     ";"BU03440934";"    1015";"     550";"     465";"     210";"     160";"     560";"      90";"      10";"      65";"     605";"     630";"     490";"      20";"     115";"     1.6";"       .";"       .";"       ."
"14928";"BU03440941";"Buurt     ";"BU03440941";"    3395";"    1685";"    1710";"     760";"     480";"     895";"    1015";"     255";"     375";"     975";"    1265";"     320";"     270";"     670";"     2.7";"       .";"       .";"       ."
"14929";"BU03440942";"Buurt     ";"BU03440942";"    3785";"    1840";"    1945";"     675";"     475";"    1205";"    1090";"     355";"     365";"    1700";"    1570";"     505";"     405";"     650";"     2.4";"       .";"       .";"       ."
"14930";"BU03440943";"Buurt     ";"BU03440943";"    4465";"    2240";"    2225";"     860";"     500";"    1215";"    1345";"     560";"     535";"     950";"    1920";"     625";"     515";"     775";"     2.3";"       .";"       .";"       ."
"14931";"BU03440951";"Buurt     ";"BU03440951";"    1140";"     575";"     565";"     400";"     100";"     480";"     150";"      25";"      45";"     460";"     360";"      50";"      75";"     230";"     3.2";"       .";"       .";"       ."
"14932";"BU03440952";"Buurt     ";"BU03440952";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"       .";"       ."
"14933";"BU03440953";"Buurt     ";"BU03440953";"      15";"       5";"       5";"       0";"      10";"      10";"       5";"       5";"       5";"       5";"      10";"       5";"       0";"       0";"     1.8";"       .";"       .";"       ."
"14934";"WK034410  ";"Wijk      ";"WK034410  ";"   50500";"   24835";"   25665";"   11870";"    5945";"   12865";"   13740";"    6090";"    4520";"    8485";"   18710";"    4425";"    4530";"    9755";"     2.7";"       .";"       .";"       ."
"14935";"BU03441011";"Buurt     ";"BU03441011";"      45";"      20";"      20";"       5";"      10";"       5";"      20";"      15";"       5";"       0";"      15";"       0";"       5";"       5";"     2.6";"       .";"       .";"       ."
"14936";"BU03441012";"Buurt     ";"BU03441012";"     555";"     275";"     275";"      90";"      60";"      90";"     185";"     140";"      45";"      15";"     225";"      55";"      75";"      90";"     2.5";"       .";"       .";"       ."
"14937";"BU03441013";"Buurt     ";"BU03441013";"    8140";"    3960";"    4180";"    1515";"    1015";"    1825";"    2230";"    1565";"     685";"     945";"    3345";"     985";"     945";"    1410";"     2.4";"       .";"       .";"       ."
"14938";"BU03441014";"Buurt     ";"BU03441014";"    1000";"     515";"     485";"     310";"     100";"     250";"     260";"      95";"      95";"     115";"     305";"      35";"      55";"     210";"     3.2";"       .";"       .";"       ."
"14939";"BU03441021";"Buurt     ";"BU03441021";"    6110";"    2975";"    3130";"    1655";"     800";"    1620";"    1700";"     345";"     590";"    1370";"    2040";"     355";"     415";"    1265";"     3.0";"       .";"       .";"       ."
"14940";"BU03441022";"Buurt     ";"BU03441022";"    7560";"    3700";"    3855";"    2160";"     620";"    2515";"    1605";"     670";"     735";"    1520";"    2740";"     620";"     625";"    1495";"     2.7";"       .";"       .";"       ."
"14941";"BU03441023";"Buurt     ";"BU03441023";"    5000";"    2425";"    2575";"    1615";"     520";"    1585";"    1070";"     225";"     415";"    1125";"    1550";"     225";"     230";"    1085";"     3.2";"       .";"       .";"       ."
"14942";"BU03441024";"Buurt     ";"BU03441024";"    9290";"    4595";"    4690";"    1940";"    1310";"    2155";"    3005";"     890";"     850";"    2195";"    3450";"     810";"     785";"    1850";"     2.7";"       .";"       .";"       ."
