"age_group","gender","migration_background","high","low","middle","total","no_current_edu"
"age_15_20","female","Dutch",1503,441,2761,5303,598
"age_15_20","female","Non_Western",440,708,1736,3122,238
"age_15_20","female","Western",380,86,423,891,2
"age_15_20","male","Dutch",1061,542,2887,5080,590
"age_15_20","male","Non_Western",353,900,1600,3285,432
"age_15_20","male","Western",245,115,410,1006,236
"age_20_25","female","Dutch",8821,2,362,12934,3749
"age_20_25","female","Non_Western",1673,18,517,3640,1432
"age_20_25","female","Western",1688,0,69,2648,891
"age_20_25","male","Dutch",5833,1,374,9231,3023
"age_20_25","male","Non_Western",1182,26,624,3662,1830
"age_20_25","male","Western",1066,1,60,1893,766
"age_25_30","female","Dutch",2266,1,90,13289,10932
"age_25_30","female","Non_Western",586,1,92,4162,3483
"age_25_30","female","Western",556,0,6,2807,2245
"age_25_30","male","Dutch",2432,0,108,15185,12645
"age_25_30","male","Non_Western",620,7,117,4144,3400
"age_25_30","male","Western",538,0,9,3334,2787
"age_30_35","female","Dutch",267,0,25,11029,10737
"age_30_35","female","Non_Western",154,2,41,4438,4241
"age_30_35","female","Western",89,0,8,2760,2663
"age_30_35","male","Dutch",366,0,30,11691,11295
"age_30_35","male","Non_Western",136,1,44,4495,4314
"age_30_35","male","Western",90,0,3,2525,2432
"age_35_40","female","Dutch",109,0,18,8424,8297
"age_35_40","female","Non_Western",55,0,29,4027,3943
"age_35_40","female","Western",29,0,2,1945,1914
"age_35_40","male","Dutch",90,1,7,7816,7718
"age_35_40","male","Non_Western",59,1,21,3963,3882
"age_35_40","male","Western",24,0,4,2045,2017
"age_40_45","female","Dutch",77,0,12,6670,6581
"age_40_45","female","Non_Western",25,0,26,3362,3311
"age_40_45","female","Western",15,0,5,1632,1612
"age_40_45","male","Dutch",57,0,15,7244,7172
"age_40_45","male","Non_Western",15,0,10,3370,3345
"age_40_45","male","Western",12,0,3,1501,1486
"age_45_50","female","Dutch",75,0,16,6684,6593
"age_45_50","female","Non_Western",15,2,19,2877,2841
"age_45_50","female","Western",17,0,1,1355,1337
"age_45_50","male","Dutch",41,0,8,7363,7314
"age_45_50","male","Non_Western",7,0,6,3017,3004
"age_45_50","male","Western",10,0,0,1460,1450
"age_over_50","female","Dutch",58,0,17,32417,32342
"age_over_50","female","Non_Western",7,0,5,8056,8044
"age_over_50","female","Western",23,0,3,5013,4987
"age_over_50","male","Dutch",61,0,10,32105,32034
"age_over_50","male","Non_Western",9,0,4,9137,9124
"age_over_50","male","Western",10,0,1,5101,5090
