"age","male","female","total","age_group","group_propensity"
0,2409,2236,4645,"age_0_15",0.0771184752291141
1,2257,2146,4403,"age_0_15",0.0731006773807943
2,2291,2073,4364,"age_0_15",0.0724531810333378
3,2016,2106,4122,"age_0_15",0.0684353831850179
4,2047,2010,4057,"age_0_15",0.0673562226059238
5,2005,1954,3959,"age_0_15",0.0657291805020587
6,2015,2001,4016,"age_0_15",0.0666755213175721
7,2010,1893,3903,"age_0_15",0.064799442156993
8,2077,1882,3959,"age_0_15",0.0657291805020587
9,2000,1841,3841,"age_0_15",0.0637700889892416
10,1990,2000,3990,"age_0_15",0.0662438570859344
11,1918,1944,3862,"age_0_15",0.0641187408686412
12,1925,1884,3809,"age_0_15",0.0632388099349183
13,1893,1822,3715,"age_0_15",0.0616781777128437
14,1855,1732,3587,"age_0_15",0.0595530614955505
15,1831,1687,3518,"age_15_25",0.066761552329443
16,1729,1642,3371,"age_15_25",0.0639719138438182
17,1762,1719,3481,"age_15_25",0.066059398424898
18,1832,1917,3749,"age_15_25",0.0711452699497106
19,2102,2466,4568,"age_15_25",0.0866875415124775
20,2401,3153,5554,"age_15_25",0.105398994211975
21,2635,3503,6138,"age_15_25",0.116481639624253
22,2977,3948,6925,"age_15_25",0.131416642945251
23,3210,4197,7407,"age_15_25",0.140563620836892
24,3541,4443,7984,"age_15_25",0.151513426321283
25,3692,4546,8238,"age_25_45",0.0624763002624035
26,4044,4736,8780,"age_25_45",0.0665867827511414
27,4224,4617,8841,"age_25_45",0.0670494016290252
28,4200,4489,8689,"age_25_45",0.0658966463923311
29,4080,4293,8373,"age_25_45",0.0635001289265725
30,4071,4135,8206,"age_25_45",0.0622336149494153
31,3896,3856,7752,"age_25_45",0.058790517071395
32,3771,3605,7376,"age_25_45",0.0559389646437835
33,3596,3435,7031,"age_25_45",0.0533225136131293
34,3320,3253,6573,"age_25_45",0.0498490800709855
35,3093,3026,6119,"age_25_45",0.0464059821929652
36,3029,2849,5878,"age_25_45",0.0445782584295227
37,2825,2808,5633,"age_25_45",0.0427201990019567
38,2667,2648,5315,"age_25_45",0.0403085137041363
39,2718,2557,5275,"age_25_45",0.040005157062901
40,2708,2491,5199,"age_25_45",0.039428779444554
41,2443,2364,4807,"age_25_45",0.0364558843604484
42,2450,2308,4758,"age_25_45",0.0360842724749352
43,2251,2305,4556,"age_25_45",0.0345523214366971
44,2263,2196,4459,"age_25_45",0.0338166815817015
45,2273,2190,4463,"age_45_65",0.0582105125864093
46,2281,2163,4444,"age_45_65",0.0579626972740316
47,2271,2194,4465,"age_45_65",0.0582365984087648
48,2424,2258,4682,"age_45_65",0.061066910134342
49,2486,2216,4702,"age_45_65",0.0613277683578975
50,2392,2272,4664,"age_45_65",0.060832137733142
51,2426,2240,4666,"age_45_65",0.0608582235554976
52,2183,2056,4239,"age_45_65",0.0552889004825877
53,2039,1833,3872,"age_45_65",0.0505021520803443
54,2032,1860,3892,"age_45_65",0.0507630103038998
55,1925,1779,3704,"age_45_65",0.0483109430024782
56,1905,1783,3688,"age_45_65",0.0481022564236338
57,1841,1788,3629,"age_45_65",0.047332724664145
58,1759,1712,3471,"age_45_65",0.0452719446980566
59,1758,1648,3406,"age_45_65",0.0444241554715012
60,1607,1568,3175,"age_45_65",0.0414112429894352
61,1506,1574,3080,"age_45_65",0.0401721664275466
62,1534,1473,3007,"age_45_65",0.0392200339115691
63,1408,1362,2770,"age_45_65",0.0361288639624364
64,1312,1339,2651,"age_45_65",0.0345767575322812
65,1239,1298,2537,"age_over65",0.0669128313332454
66,1196,1235,2431,"age_over65",0.0641171040485296
67,1119,1212,2331,"age_over65",0.061479625478043
68,1107,1192,2299,"age_over65",0.0606356323354873
69,1030,1078,2108,"age_over65",0.0555980482658578
70,1043,1084,2127,"age_over65",0.0560991691942503
71,994,1027,2021,"age_over65",0.0533034419095345
72,929,1075,2004,"age_over65",0.0528550705525518
73,998,1044,2042,"age_over65",0.0538573124093367
74,969,1190,2159,"age_over65",0.056943162336806
75,581,718,1299,"age_over65",0.0342608466306211
76,649,830,1479,"age_over65",0.039008308057497
77,584,752,1336,"age_over65",0.0352367137017012
78,561,712,1273,"age_over65",0.0335751022022946
79,510,607,1117,"age_over65",0.0294606356323355
80,581,682,1263,"age_over65",0.0333113543452459
81,448,633,1081,"age_over65",0.0285111433469603
82,447,544,991,"age_over65",0.0261374126335224
83,362,522,884,"age_over65",0.0233153105631017
84,321,505,826,"age_over65",0.0217855729922194
85,298,435,733,"age_over65",0.0193327179216669
86,228,365,593,"age_over65",0.0156402479229856
87,204,329,533,"age_over65",0.0140577607806937
88,183,325,508,"age_over65",0.013398391138072
89,122,292,414,"age_over65",0.0109191612818146
90,110,235,345,"age_over65",0.00909930106817882
91,79,193,272,"age_over65",0.00717394171172359
92,66,181,247,"age_over65",0.00651457206910194
93,47,131,178,"age_over65",0.00469471185546617
94,41,104,145,"age_over65",0.00382434392720559
95,31,70,101,"age_over65",0.00266385335619148
96,20,70,90,"age_over65",0.00237373071343795
97,11,35,46,"age_over65",0.00121324014242384
98,9,29,38,"age_over65",0.00100224185678491
99,2,27,29,"age_over65",0.000764868785441118
100,2,16,18,"age_over65",0.000474746142687591
101,1,9,10,"age_over65",0.000263747857048661
102,0,5,5,"age_over65",0.000131873928524331
103,0,1,1,"age_over65",2.63747857048661e-05
104,1,0,1,"age_over65",2.63747857048661e-05
