"gender","age_group","Non_Western","Dutch","Western","total"
"male","age_over_95",3,68,6,77
"female","age_over_95",9,241,12,262
"female","age_0_5",2704,6686,1243,10633
"male","age_0_5",2744,7033,1181,10958
"female","age_5_10",2944,5648,1035,9627
"male","age_5_10",3200,5872,979,10051
"male","age_10_15",3171,5455,870,9496
"female","age_10_15",3256,5322,889,9467
"female","age_15_20",3122,5303,891,9316
"male","age_15_20",3285,5080,1006,9371
"male","age_20_25",3662,9231,1893,14786
"female","age_20_25",3640,12934,2648,19222
"female","age_25_30",4162,13289,2807,20258
"male","age_25_30",4144,15185,3334,22663
"male","age_30_35",4495,11691,2525,18711
"female","age_30_35",4438,11029,2760,18227
"female","age_35_40",4027,8424,1945,14396
"male","age_35_40",3963,7816,2045,13824
"male","age_40_45",3370,7244,1501,12115
"female","age_40_45",3362,6670,1632,11664
"female","age_45_50",2877,6684,1355,10916
"male","age_45_50",3017,7363,1460,11840
"female","age_50_55",2318,7048,1256,10622
"male","age_50_55",2768,6636,1307,10711
"female","age_55_60",1805,5919,951,8675
"male","age_55_60",2266,5971,986,9223
"female","age_60_65",1337,5155,736,7228
"male","age_60_65",1397,5234,824,7455
"male","age_65_70",970,4297,619,5886
"female","age_65_70",775,4342,703,5820
"female","age_70_75",712,3787,518,5017
"male","age_70_75",628,4095,613,5336
"male","age_75_80",511,2044,303,2858
"female","age_75_80",538,2733,375,3646
"female","age_80_85",398,1448,275,2121
"male","age_80_85",436,2204,284,2924
"male","age_85_90",132,802,106,1040
"female","age_85_90",127,1459,155,1741
"female","age_90_95",37,285,32,354
"male","age_90_95",26,754,53,833
