"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"59720";"T001038";"10000";"1012600";"2013356";"GM0344";"2021JJ00";""
"127190";"T001038";"10000";"2012655";"2013356";"GM0344";"2021JJ00";"   23600"
"160925";"T001038";"10000";"2012657";"2013356";"GM0344";"2021JJ00";"   45702"
"2117555";"T001038";"70100";"1012600";"2013356";"GM0344";"2021JJ00";""
"2185025";"T001038";"70100";"2012655";"2013356";"GM0344";"2021JJ00";"     304"
"2218760";"T001038";"70100";"2012657";"2013356";"GM0344";"2021JJ00";"     386"
"4175390";"T001038";"70200";"1012600";"2013356";"GM0344";"2021JJ00";""
"4242860";"T001038";"70200";"2012655";"2013356";"GM0344";"2021JJ00";"     509"
"4276595";"T001038";"70200";"2012657";"2013356";"GM0344";"2021JJ00";"     880"
"6233225";"T001038";"70300";"1012600";"2013356";"GM0344";"2021JJ00";""
"6300695";"T001038";"70300";"2012655";"2013356";"GM0344";"2021JJ00";"     485"
"6334430";"T001038";"70300";"2012657";"2013356";"GM0344";"2021JJ00";"     812"
"8291060";"T001038";"70400";"1012600";"2013356";"GM0344";"2021JJ00";""
"8358530";"T001038";"70400";"2012655";"2013356";"GM0344";"2021JJ00";"     764"
"8392265";"T001038";"70400";"2012657";"2013356";"GM0344";"2021JJ00";"     928"
"10348895";"T001038";"70500";"1012600";"2013356";"GM0344";"2021JJ00";""
"10416365";"T001038";"70500";"2012655";"2013356";"GM0344";"2021JJ00";"    2743"
"10450100";"T001038";"70500";"2012657";"2013356";"GM0344";"2021JJ00";"    1928"
"12406730";"T001038";"70600";"1012600";"2013356";"GM0344";"2021JJ00";""
"12474200";"T001038";"70600";"2012655";"2013356";"GM0344";"2021JJ00";"    4212"
"12507935";"T001038";"70600";"2012657";"2013356";"GM0344";"2021JJ00";"    3565"
"14464565";"T001038";"70700";"1012600";"2013356";"GM0344";"2021JJ00";""
"14532035";"T001038";"70700";"2012655";"2013356";"GM0344";"2021JJ00";"    3569"
"14565770";"T001038";"70700";"2012657";"2013356";"GM0344";"2021JJ00";"    5042"
"16522400";"T001038";"70800";"1012600";"2013356";"GM0344";"2021JJ00";""
"16589870";"T001038";"70800";"2012655";"2013356";"GM0344";"2021JJ00";"    2615"
"16623605";"T001038";"70800";"2012657";"2013356";"GM0344";"2021JJ00";"    5183"
"18580235";"T001038";"70900";"1012600";"2013356";"GM0344";"2021JJ00";""
"18647705";"T001038";"70900";"2012655";"2013356";"GM0344";"2021JJ00";"    1954"
