education_code;education
T001345;Total secondary education (secondary education)
A025284;pre-university education
A025285;Havo
A025288;VMBO g/t
A025287;VMBO-b/k
A025300;Vavo
A025290;Total MBO (incl. extranei)
A041868;Sphere total
A025293;Bbl total
A041773;extranei
A041751;MBO entrance course
A041755;MBO level 2
A041759;MBO level 3
A041924;MBO level 4a
A041925;MBO level 4b
A028669;HBO associate degree
A043049;HBO Bachelor
A043051;HBO master/further education
A043054;university bachelor
A043055;Wo master
A028672;university degree
A043056;Wo further education
