"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"2583";"T001038";"10000";"T001040";"T001040";"GM0518";"2019JJ00";"  537833"
"36318";"T001038";"10000";"1012600";"T001040";"GM0518";"2019JJ00";"  244357"
"70053";"T001038";"10000";"2012605";"T001040";"GM0518";"2019JJ00";"  293476"
"103788";"T001038";"10000";"2012655";"T001040";"GM0518";"2019JJ00";"   99877"
"137523";"T001038";"10000";"2012657";"T001040";"GM0518";"2019JJ00";"  193599"
"171258";"T001038";"10000";"H008519";"T001040";"GM0518";"2019JJ00";"   50979"
"204993";"T001038";"10000";"H008520";"T001040";"GM0518";"2019JJ00";"   72974"
"238728";"T001038";"10000";"H008524";"T001040";"GM0518";"2019JJ00";"   50915"
"272463";"T001038";"10000";"H007933";"T001040";"GM0518";"2019JJ00";"  117392"
"306198";"T001038";"10000";"H008531";"T001040";"GM0518";"2019JJ00";"    1216"
"339933";"T001038";"10000";"H007935";"T001040";"GM0518";"2019JJ00";"   67280"
"373668";"T001038";"10000";"H007936";"T001040";"GM0518";"2019JJ00";"   10973"
"407403";"T001038";"10000";"H007937";"T001040";"GM0518";"2019JJ00";"   30009"
"441138";"T001038";"10000";"H008533";"T001040";"GM0518";"2019JJ00";"    1909"
"474873";"T001038";"10000";"H008544";"T001040";"GM0518";"2019JJ00";"     846"
"508608";"T001038";"10000";"H008552";"T001040";"GM0518";"2019JJ00";"    3104"
"542343";"T001038";"10000";"H008559";"T001040";"GM0518";"2019JJ00";"      46"
"576078";"T001038";"10000";"H008562";"T001040";"GM0518";"2019JJ00";"    1474"
"609813";"T001038";"10000";"H008567";"T001040";"GM0518";"2019JJ00";"    8545"
"643548";"T001038";"10000";"H008575";"T001040";"GM0518";"2019JJ00";"    5859"
"677283";"T001038";"10000";"H008579";"T001040";"GM0518";"2019JJ00";"    2010"
"711018";"T001038";"10000";"H008586";"T001040";"GM0518";"2019JJ00";"      88"
"744753";"T001038";"10000";"H008592";"T001040";"GM0518";"2019JJ00";"    9911"
"778488";"T001038";"10000";"H008594";"T001040";"GM0518";"2019JJ00";"    2866"
"812223";"T001038";"10000";"H008597";"T001040";"GM0518";"2019JJ00";"     809"
"845958";"T001038";"10000";"H008599";"T001040";"GM0518";"2019JJ00";"    1194"
"879693";"T001038";"10000";"H008603";"T001040";"GM0518";"2019JJ00";"    1556"
"913428";"T001038";"10000";"H008605";"T001040";"GM0518";"2019JJ00";"    4468"
"947163";"T001038";"10000";"H008612";"T001040";"GM0518";"2019JJ00";"    2328"
"980898";"T001038";"10000";"H008615";"T001040";"GM0518";"2019JJ00";"    2624"
"1014633";"T001038";"10000";"H008627";"T001040";"GM0518";"2019JJ00";"    1787"
"1048368";"T001038";"10000";"H008631";"T001040";"GM0518";"2019JJ00";"    4527"
"1082103";"T001038";"10000";"H008632";"T001040";"GM0518";"2019JJ00";"   17400"
"1115838";"T001038";"10000";"H008633";"T001040";"GM0518";"2019JJ00";"    3213"
"1149573";"T001038";"10000";"H008634";"T001040";"GM0518";"2019JJ00";"    2547"
"1183308";"T001038";"10000";"H008636";"T001040";"GM0518";"2019JJ00";"    3301"
"1217043";"T001038";"10000";"H007072";"T001040";"GM0518";"2019JJ00";"    2735"
"1250778";"T001038";"10000";"H007069";"T001040";"GM0518";"2019JJ00";"    2975"
"1284513";"T001038";"10000";"H008644";"T001040";"GM0518";"2019JJ00";"     369"
"1318248";"T001038";"10000";"H008673";"T001040";"GM0518";"2019JJ00";"   31865"
"1351983";"T001038";"10000";"H007128";"T001040";"GM0518";"2019JJ00";"   12672"
"1385718";"T001038";"10000";"H007119";"T001040";"GM0518";"2019JJ00";"   13620"
"1419453";"T001038";"10000";"H008706";"T001040";"GM0518";"2019JJ00";"     228"
"1453188";"T001038";"10000";"H008710";"T001040";"GM0518";"2019JJ00";"    3612"
"1486923";"T001038";"10000";"H008718";"T001040";"GM0518";"2019JJ00";"   14514"
"1520658";"T001038";"10000";"H008719";"T001040";"GM0518";"2019JJ00";"    2163"
"1554393";"T001038";"10000";"H008723";"T001040";"GM0518";"2019JJ00";"    2153"
"1588128";"T001038";"10000";"H008724";"T001040";"GM0518";"2019JJ00";"     368"
"1621863";"T001038";"10000";"H008747";"T001040";"GM0518";"2019JJ00";"    2121"
"1655598";"T001038";"10000";"H007186";"T001040";"GM0518";"2019JJ00";"    4424"
"1689333";"T001038";"10000";"H007172";"T001040";"GM0518";"2019JJ00";"    6914"
"1723068";"T001038";"10000";"H008749";"T001040";"GM0518";"2019JJ00";"    2885"
"1756803";"T001038";"10000";"H008751";"T001040";"GM0518";"2019JJ00";"   46068"
"1790538";"T001038";"10000";"H008753";"T001040";"GM0518";"2019JJ00";"    2332"
"1824273";"T001038";"10000";"H008757";"T001040";"GM0518";"2019JJ00";"     893"
"1858008";"T001038";"10000";"H007204";"T001040";"GM0518";"2019JJ00";"    1426"
"1891743";"T001038";"10000";"H008766";"T001040";"GM0518";"2019JJ00";"   40535"
"1925478";"T001038";"10000";"H008776";"T001040";"GM0518";"2019JJ00";"    5605"
"1959213";"T001038";"10000";"H008778";"T001040";"GM0518";"2019JJ00";"    2923"
"1992948";"T001038";"10000";"H008780";"T001040";"GM0518";"2019JJ00";"     595"
"2026683";"T001038";"10000";"H008787";"T001040";"GM0518";"2019JJ00";"    1140"
"2060418";"T001038";"70100";"T001040";"T001040";"GM0518";"2019JJ00";"   31560"
"2094153";"T001038";"70100";"1012600";"T001040";"GM0518";"2019JJ00";"   12663"
"2127888";"T001038";"70100";"2012605";"T001040";"GM0518";"2019JJ00";"   18897"
"2161623";"T001038";"70100";"2012655";"T001040";"GM0518";"2019JJ00";"    6316"
"2195358";"T001038";"70100";"2012657";"T001040";"GM0518";"2019JJ00";"   12581"
"2229093";"T001038";"70100";"H008519";"T001040";"GM0518";"2019JJ00";"    4240"
"2262828";"T001038";"70100";"H008520";"T001040";"GM0518";"2019JJ00";"    3006"
"2296563";"T001038";"70100";"H008524";"T001040";"GM0518";"2019JJ00";"    2774"
"2330298";"T001038";"70100";"H007933";"T001040";"GM0518";"2019JJ00";"    8806"
"2364033";"T001038";"70100";"H008531";"T001040";"GM0518";"2019JJ00";"      71"
"2397768";"T001038";"70100";"H007935";"T001040";"GM0518";"2019JJ00";"    4882"
"2431503";"T001038";"70100";"H007936";"T001040";"GM0518";"2019JJ00";"     749"
"2465238";"T001038";"70100";"H007937";"T001040";"GM0518";"2019JJ00";"    2668"
"2498973";"T001038";"70100";"H008533";"T001040";"GM0518";"2019JJ00";"     177"
"2532708";"T001038";"70100";"H008544";"T001040";"GM0518";"2019JJ00";"      68"
"2566443";"T001038";"70100";"H008552";"T001040";"GM0518";"2019JJ00";"     226"
"2600178";"T001038";"70100";"H008559";"T001040";"GM0518";"2019JJ00";"       2"
"2633913";"T001038";"70100";"H008562";"T001040";"GM0518";"2019JJ00";"     119"
"2667648";"T001038";"70100";"H008567";"T001040";"GM0518";"2019JJ00";"     617"
"2701383";"T001038";"70100";"H008575";"T001040";"GM0518";"2019JJ00";"     353"
"2735118";"T001038";"70100";"H008579";"T001040";"GM0518";"2019JJ00";"     134"
"2768853";"T001038";"70100";"H008586";"T001040";"GM0518";"2019JJ00";"      43"
"2802588";"T001038";"70100";"H008592";"T001040";"GM0518";"2019JJ00";"     417"
"2836323";"T001038";"70100";"H008594";"T001040";"GM0518";"2019JJ00";"     157"
"2870058";"T001038";"70100";"H008597";"T001040";"GM0518";"2019JJ00";"     112"
"2903793";"T001038";"70100";"H008599";"T001040";"GM0518";"2019JJ00";"     136"
"2937528";"T001038";"70100";"H008603";"T001040";"GM0518";"2019JJ00";"     114"
"2971263";"T001038";"70100";"H008605";"T001040";"GM0518";"2019JJ00";"     295"
"3004998";"T001038";"70100";"H008612";"T001040";"GM0518";"2019JJ00";"     146"
"3038733";"T001038";"70100";"H008615";"T001040";"GM0518";"2019JJ00";"     247"
"3072468";"T001038";"70100";"H008627";"T001040";"GM0518";"2019JJ00";"     137"
"3106203";"T001038";"70100";"H008631";"T001040";"GM0518";"2019JJ00";"     365"
"3139938";"T001038";"70100";"H008632";"T001040";"GM0518";"2019JJ00";"     178"
"3173673";"T001038";"70100";"H008633";"T001040";"GM0518";"2019JJ00";"     252"
"3207408";"T001038";"70100";"H008634";"T001040";"GM0518";"2019JJ00";"     180"
"3241143";"T001038";"70100";"H008636";"T001040";"GM0518";"2019JJ00";"     160"
"3274878";"T001038";"70100";"H007072";"T001040";"GM0518";"2019JJ00";"     186"
"3308613";"T001038";"70100";"H007069";"T001040";"GM0518";"2019JJ00";"     207"
"3342348";"T001038";"70100";"H008644";"T001040";"GM0518";"2019JJ00";"      19"
"3376083";"T001038";"70100";"H008673";"T001040";"GM0518";"2019JJ00";"    2660"
"3409818";"T001038";"70100";"H007128";"T001040";"GM0518";"2019JJ00";"     764"
"3443553";"T001038";"70100";"H007119";"T001040";"GM0518";"2019JJ00";"     882"
"3477288";"T001038";"70100";"H008706";"T001040";"GM0518";"2019JJ00";"      24"
"3511023";"T001038";"70100";"H008710";"T001040";"GM0518";"2019JJ00";"     301"
"3544758";"T001038";"70100";"H008718";"T001040";"GM0518";"2019JJ00";"    1525"
"3578493";"T001038";"70100";"H008719";"T001040";"GM0518";"2019JJ00";"     105"
"3612228";"T001038";"70100";"H008723";"T001040";"GM0518";"2019JJ00";"     143"
"3645963";"T001038";"70100";"H008724";"T001040";"GM0518";"2019JJ00";"      38"
"3679698";"T001038";"70100";"H008747";"T001040";"GM0518";"2019JJ00";"     273"
"3713433";"T001038";"70100";"H007186";"T001040";"GM0518";"2019JJ00";"     453"
"3747168";"T001038";"70100";"H007172";"T001040";"GM0518";"2019JJ00";"     695"
"3780903";"T001038";"70100";"H008749";"T001040";"GM0518";"2019JJ00";"     237"
"3814638";"T001038";"70100";"H008751";"T001040";"GM0518";"2019JJ00";"    1186"
"3848373";"T001038";"70100";"H008753";"T001040";"GM0518";"2019JJ00";"     269"
"3882108";"T001038";"70100";"H008757";"T001040";"GM0518";"2019JJ00";"      59"
"3915843";"T001038";"70100";"H007204";"T001040";"GM0518";"2019JJ00";"     102"
"3949578";"T001038";"70100";"H008766";"T001040";"GM0518";"2019JJ00";"    3077"
"3983313";"T001038";"70100";"H008776";"T001040";"GM0518";"2019JJ00";"     331"
