"hh_ID","hh_size","neighb_code","hh_type"
1,1,"BU05183620","single"
2,1,"BU05183620","single"
3,5,"BU05183620","single_parent"
4,1,"BU05183620","single"
5,1,"BU05183620","single"
6,5,"BU05183620","couple"
7,1,"BU05183620","single"
8,1,"BU05183620","single"
9,1,"BU05183620","single"
10,4,"BU05183620","single_parent"
11,1,"BU05183620","single"
12,4,"BU05183620","couple"
13,4,"BU05183620","couple"
14,1,"BU05183620","single"
15,1,"BU05183620","single"
16,1,"BU05183620","single"
17,1,"BU05183620","single"
18,1,"BU05183620","single"
19,2,"BU05183620","single_parent"
20,2,"BU05183620","couple"
21,1,"BU05183620","single"
22,1,"BU05183620","single"
23,1,"BU05183620","single"
24,4,"BU05183620","couple"
25,3,"BU05183620","couple"
26,1,"BU05183620","single"
27,1,"BU05183620","single"
28,2,"BU05183620","single_parent"
29,3,"BU05183620","couple"
30,4,"BU05183620","couple"
31,1,"BU05183620","single"
32,1,"BU05183620","single"
33,1,"BU05183620","single"
34,1,"BU05183620","single"
35,1,"BU05183620","single"
36,1,"BU05183620","single"
37,4,"BU05183620","single_parent"
38,1,"BU05183620","single"
39,3,"BU05183620","couple"
40,4,"BU05183620","couple"
41,1,"BU05183620","single"
42,4,"BU05183620","couple"
43,2,"BU05183620","couple"
44,1,"BU05183620","single"
45,4,"BU05183620","couple"
46,2,"BU05183620","couple"
47,3,"BU05183620","couple"
48,4,"BU05183620","couple"
49,1,"BU05183620","single"
50,2,"BU05183620","single_parent"
51,5,"BU05183620","couple"
52,2,"BU05183620","single_parent"
53,5,"BU05183620","couple"
54,1,"BU05183620","single"
55,1,"BU05183620","single"
56,1,"BU05183620","single"
57,1,"BU05183620","single"
58,2,"BU05183620","single_parent"
59,1,"BU05183620","single"
60,1,"BU05183620","single"
61,2,"BU05183620","couple"
62,1,"BU05183620","single"
63,2,"BU05183620","couple"
64,1,"BU05183620","single"
65,1,"BU05183620","single"
66,1,"BU05183620","single"
67,1,"BU05183620","single"
68,1,"BU05183620","single"
69,1,"BU05183620","single"
70,1,"BU05183620","single"
71,4,"BU05183620","couple"
72,1,"BU05183620","single"
73,1,"BU05183620","single"
74,1,"BU05183620","single"
75,4,"BU05183620","couple"
76,1,"BU05183620","single"
77,3,"BU05183620","couple"
78,3,"BU05183620","couple"
79,1,"BU05183620","single"
80,1,"BU05183620","single"
81,1,"BU05183620","single"
82,1,"BU05183620","single"
83,4,"BU05183620","couple"
84,3,"BU05183620","couple"
85,1,"BU05183620","single"
86,1,"BU05183620","single"
87,3,"BU05183620","couple"
88,1,"BU05183620","single"
89,1,"BU05183620","single"
90,1,"BU05183620","single"
91,1,"BU05183620","single"
92,2,"BU05183620","couple"
93,1,"BU05183620","single"
94,2,"BU05183620","single_parent"
95,1,"BU05183620","single"
96,2,"BU05183620","single_parent"
97,2,"BU05183620","couple"
98,1,"BU05183620","single"
99,1,"BU05183620","single"
100,1,"BU05183620","single"
101,1,"BU05183620","single"
102,1,"BU05183620","single"
103,2,"BU05183620","couple"
104,1,"BU05183620","single"
105,4,"BU05183620","couple"
106,2,"BU05183620","couple"
107,1,"BU05183620","single"
108,4,"BU05183620","couple"
109,2,"BU05183620","couple"
110,1,"BU05183620","single"
111,1,"BU05183620","single"
112,3,"BU05183620","couple"
113,1,"BU05183620","single"
114,1,"BU05183620","single"
115,2,"BU05183620","couple"
116,1,"BU05183620","single"
117,2,"BU05183620","couple"
118,4,"BU05183620","couple"
119,2,"BU05183620","couple"
120,2,"BU05183620","couple"
121,1,"BU05183620","single"
122,1,"BU05183620","single"
123,2,"BU05183620","couple"
124,4,"BU05183620","single_parent"
125,2,"BU05183620","couple"
126,1,"BU05183620","single"
127,1,"BU05183620","single"
128,1,"BU05183620","single"
129,2,"BU05183620","couple"
130,1,"BU05183620","single"
131,1,"BU05183620","single"
132,3,"BU05183620","couple"
133,5,"BU05183620","couple"
134,2,"BU05183620","single_parent"
135,2,"BU05183620","single_parent"
136,4,"BU05183620","single_parent"
137,3,"BU05183620","couple"
138,5,"BU05183620","couple"
139,2,"BU05183620","couple"
140,2,"BU05183620","couple"
141,2,"BU05183620","couple"
142,4,"BU05183620","couple"
143,4,"BU05183620","single_parent"
144,4,"BU05183620","couple"
145,4,"BU05183620","couple"
146,1,"BU05183620","single"
147,2,"BU05183620","couple"
148,2,"BU05183620","couple"
149,2,"BU05183620","single_parent"
150,2,"BU05183620","single_parent"
151,2,"BU05183620","couple"
152,2,"BU05183620","couple"
153,1,"BU05183620","single"
154,4,"BU05183620","single_parent"
155,4,"BU05183620","couple"
156,2,"BU05183620","couple"
157,1,"BU05183620","single"
158,1,"BU05183620","single"
159,3,"BU05183620","couple"
160,1,"BU05183620","single"
161,1,"BU05183620","single"
162,2,"BU05183620","single_parent"
163,1,"BU05183620","single"
164,5,"BU05183620","couple"
165,1,"BU05183620","single"
166,1,"BU05183620","single"
167,3,"BU05183620","single_parent"
168,2,"BU05183620","couple"
169,4,"BU05183620","couple"
170,1,"BU05183620","single"
171,2,"BU05183620","couple"
172,2,"BU05183620","couple"
173,4,"BU05183620","single_parent"
174,1,"BU05183620","single"
175,1,"BU05183620","single"
176,4,"BU05183620","couple"
177,1,"BU05183620","single"
178,2,"BU05183620","couple"
179,1,"BU05183620","single"
180,1,"BU05183620","single"
181,1,"BU05183620","single"
182,1,"BU05183620","single"
183,1,"BU05183620","single"
184,2,"BU05183620","couple"
185,2,"BU05183620","couple"
186,2,"BU05183620","couple"
187,1,"BU05183620","single"
188,3,"BU05183620","couple"
189,1,"BU05183620","single"
190,5,"BU05183620","single_parent"
191,1,"BU05183620","single"
192,1,"BU05183620","single"
193,3,"BU05183620","single_parent"
194,1,"BU05183620","single"
195,2,"BU05183620","single_parent"
196,1,"BU05183620","single"
197,1,"BU05183620","single"
198,3,"BU05183620","couple"
199,2,"BU05183620","single_parent"
200,1,"BU05183620","single"
201,2,"BU05183620","couple"
202,3,"BU05183620","couple"
203,3,"BU05183620","couple"
204,3,"BU05183620","single_parent"
205,1,"BU05183620","single"
206,4,"BU05183620","couple"
207,1,"BU05183620","single"
208,5,"BU05183620","couple"
209,3,"BU05183620","single_parent"
210,1,"BU05183620","single"
211,1,"BU05183620","single"
212,1,"BU05183620","single"
213,1,"BU05183620","single"
214,2,"BU05183620","couple"
215,3,"BU05183620","couple"
216,2,"BU05183620","couple"
217,2,"BU05183620","couple"
218,4,"BU05183620","single_parent"
219,2,"BU05183620","couple"
220,2,"BU05183620","couple"
221,1,"BU05183620","single"
222,1,"BU05183620","single"
223,1,"BU05183620","single"
224,1,"BU05183620","single"
225,1,"BU05183620","single"
226,1,"BU05183620","single"
227,1,"BU05183620","single"
228,2,"BU05183620","couple"
229,1,"BU05183620","single"
230,2,"BU05183620","couple"
231,1,"BU05183620","single"
232,1,"BU05183620","single"
233,2,"BU05183620","couple"
234,1,"BU05183620","single"
235,4,"BU05183620","couple"
236,1,"BU05183620","single"
237,3,"BU05183620","couple"
238,1,"BU05183620","single"
239,3,"BU05183620","couple"
240,1,"BU05183620","single"
241,1,"BU05183620","single"
242,1,"BU05183620","single"
243,1,"BU05183620","single"
244,2,"BU05183620","couple"
245,1,"BU05183620","single"
246,1,"BU05183620","single"
247,5,"BU05183620","couple"
248,1,"BU05183620","single"
249,4,"BU05183620","couple"
250,1,"BU05183620","single"
251,2,"BU05183620","couple"
252,1,"BU05183620","single"
253,3,"BU05183620","single_parent"
254,1,"BU05183620","single"
255,3,"BU05183620","single_parent"
256,1,"BU05183620","single"
257,1,"BU05183620","single"
258,4,"BU05183620","couple"
259,4,"BU05183620","couple"
260,3,"BU05183620","couple"
261,1,"BU05183620","single"
262,1,"BU05183620","single"
263,2,"BU05183620","couple"
264,1,"BU05183620","single"
265,1,"BU05183620","single"
266,5,"BU05183620","single_parent"
267,1,"BU05183620","single"
268,1,"BU05183620","single"
269,3,"BU05183620","couple"
270,1,"BU05183620","single"
271,4,"BU05183620","couple"
272,5,"BU05183620","single_parent"
273,3,"BU05183620","couple"
274,1,"BU05183620","single"
275,1,"BU05183620","single"
276,1,"BU05183620","single"
277,1,"BU05183620","single"
278,1,"BU05183620","single"
279,1,"BU05183620","single"
280,1,"BU05183620","single"
281,4,"BU05183620","couple"
282,2,"BU05183620","couple"
283,1,"BU05183620","single"
284,2,"BU05183620","single_parent"
285,1,"BU05183620","single"
286,2,"BU05183620","single_parent"
287,1,"BU05183620","single"
288,2,"BU05183620","couple"
289,1,"BU05183620","single"
290,1,"BU05183620","single"
291,2,"BU05183620","couple"
292,1,"BU05183620","single"
293,4,"BU05183620","single_parent"
294,2,"BU05183620","couple"
295,3,"BU05183620","couple"
296,1,"BU05183620","single"
297,5,"BU05183620","single_parent"
298,1,"BU05183620","single"
299,1,"BU05183620","single"
300,1,"BU05183620","single"
301,1,"BU05183620","single"
302,1,"BU05183620","single"
303,2,"BU05183620","couple"
304,1,"BU05183620","single"
305,1,"BU05183620","single"
306,2,"BU05183620","couple"
307,2,"BU05183620","couple"
308,1,"BU05183620","single"
309,1,"BU05183620","single"
310,1,"BU05183620","single"
311,1,"BU05183620","single"
312,4,"BU05183620","couple"
313,2,"BU05183620","couple"
314,4,"BU05183620","couple"
315,1,"BU05183620","single"
316,1,"BU05183620","single"
317,1,"BU05183620","single"
318,1,"BU05183620","single"
319,2,"BU05183620","couple"
320,3,"BU05183620","couple"
321,1,"BU05183620","single"
322,3,"BU05183620","couple"
323,2,"BU05183620","couple"
324,5,"BU05183620","couple"
325,2,"BU05183620","couple"
326,1,"BU05183620","single"
327,5,"BU05183620","couple"
328,2,"BU05183620","couple"
329,2,"BU05183620","couple"
330,1,"BU05183620","single"
331,1,"BU05183620","single"
332,1,"BU05183620","single"
333,1,"BU05183620","single"
334,2,"BU05183620","couple"
335,1,"BU05183620","single"
336,2,"BU05183620","couple"
337,3,"BU05183620","couple"
338,2,"BU05183620","couple"
339,1,"BU05183620","single"
340,1,"BU05183620","single"
341,1,"BU05183620","single"
342,1,"BU05183620","single"
343,4,"BU05183620","couple"
344,2,"BU05183620","couple"
345,2,"BU05183620","couple"
346,1,"BU05183620","single"
347,1,"BU05183620","single"
348,1,"BU05183620","single"
349,4,"BU05183620","single_parent"
350,2,"BU05183620","couple"
351,1,"BU05183620","single"
352,1,"BU05183620","single"
353,1,"BU05183620","single"
354,2,"BU05183620","couple"
355,1,"BU05183620","single"
356,1,"BU05183620","single"
357,4,"BU05183620","couple"
358,2,"BU05183620","single_parent"
359,1,"BU05183620","single"
360,1,"BU05183620","single"
361,4,"BU05183620","couple"
362,2,"BU05183620","couple"
363,1,"BU05183620","single"
364,3,"BU05183620","couple"
365,5,"BU05183620","couple"
366,1,"BU05183620","single"
367,2,"BU05183620","couple"
368,3,"BU05183620","couple"
369,1,"BU05183620","single"
370,1,"BU05183620","single"
371,1,"BU05183620","single"
372,1,"BU05183620","single"
373,2,"BU05183620","couple"
374,2,"BU05183620","couple"
375,1,"BU05183620","single"
376,2,"BU05183620","couple"
377,1,"BU05183620","single"
378,1,"BU05183620","single"
379,3,"BU05183620","single_parent"
380,1,"BU05183620","single"
381,1,"BU05183620","single"
382,2,"BU05183620","couple"
383,3,"BU05183620","couple"
384,1,"BU05183620","single"
385,4,"BU05183620","couple"
386,3,"BU05183620","couple"
387,1,"BU05183620","single"
388,2,"BU05183620","single_parent"
389,1,"BU05183620","single"
390,1,"BU05183620","single"
391,1,"BU05183620","single"
392,1,"BU05183620","single"
393,3,"BU05183620","single_parent"
394,2,"BU05183620","single_parent"
395,3,"BU05183620","single_parent"
396,4,"BU05183620","couple"
397,2,"BU05183620","couple"
398,1,"BU05183620","single"
399,5,"BU05183620","couple"
400,1,"BU05183620","single"
401,1,"BU05183620","single"
402,3,"BU05183620","single_parent"
403,4,"BU05183620","couple"
404,1,"BU05183620","single"
405,3,"BU05183620","single_parent"
406,3,"BU05183620","couple"
407,2,"BU05183620","couple"
408,2,"BU05183620","couple"
409,3,"BU05183620","single_parent"
410,1,"BU05183620","single"
411,1,"BU05183620","single"
412,2,"BU05183620","couple"
413,1,"BU05183620","single"
414,1,"BU05183620","single"
415,1,"BU05183620","single"
416,1,"BU05183620","single"
417,5,"BU05183620","couple"
418,1,"BU05183620","single"
419,1,"BU05183620","single"
420,2,"BU05183620","couple"
421,4,"BU05183620","couple"
422,2,"BU05183620","couple"
423,1,"BU05183620","single"
424,5,"BU05183620","couple"
425,1,"BU05183620","single"
426,2,"BU05183620","single_parent"
427,4,"BU05183620","couple"
428,2,"BU05183620","single_parent"
429,1,"BU05183620","single"
430,2,"BU05183620","couple"
431,2,"BU05183620","couple"
432,1,"BU05183620","single"
433,1,"BU05183620","single"
434,4,"BU05183620","couple"
435,1,"BU05183620","single"
436,4,"BU05183620","single_parent"
437,1,"BU05183620","single"
438,1,"BU05183620","single"
439,1,"BU05183620","single"
440,5,"BU05183620","couple"
441,4,"BU05183620","couple"
442,4,"BU05183620","couple"
443,4,"BU05183620","couple"
444,2,"BU05183620","couple"
445,2,"BU05183620","couple"
446,1,"BU05183620","single"
447,1,"BU05183620","single"
448,4,"BU05183620","single_parent"
449,1,"BU05183620","single"
450,3,"BU05183620","couple"
451,2,"BU05183620","couple"
452,2,"BU05183620","couple"
453,2,"BU05183620","couple"
454,1,"BU05183620","single"
455,1,"BU05183620","single"
456,1,"BU05183620","single"
457,5,"BU05183620","couple"
458,2,"BU05183620","single_parent"
459,3,"BU05183620","couple"
460,1,"BU05183620","single"
461,1,"BU05183620","single"
462,2,"BU05183620","couple"
463,1,"BU05183620","single"
464,3,"BU05183620","couple"
465,1,"BU05183620","single"
466,1,"BU05183620","single"
467,1,"BU05183620","single"
468,3,"BU05183620","couple"
469,2,"BU05183620","single_parent"
470,3,"BU05183620","couple"
471,2,"BU05183620","couple"
472,3,"BU05183620","couple"
473,2,"BU05183620","couple"
474,1,"BU05183620","single"
475,1,"BU05183620","single"
476,2,"BU05183620","couple"
477,1,"BU05183620","single"
478,1,"BU05183620","single"
479,1,"BU05183620","single"
480,2,"BU05183620","couple"
481,1,"BU05183620","single"
482,1,"BU05183620","single"
483,1,"BU05183620","single"
484,1,"BU05183620","single"
485,2,"BU05183620","couple"
486,4,"BU05183620","couple"
487,1,"BU05183620","single"
488,4,"BU05183620","couple"
489,1,"BU05183620","single"
490,4,"BU05183620","couple"
491,2,"BU05183620","single_parent"
492,1,"BU05183620","single"
493,4,"BU05183620","couple"
494,3,"BU05183620","couple"
495,3,"BU05183620","couple"
496,3,"BU05183620","single_parent"
497,1,"BU05183620","single"
498,1,"BU05183620","single"
499,1,"BU05183620","single"
500,1,"BU05183620","single"
501,1,"BU05183620","single"
502,3,"BU05183620","couple"
503,1,"BU05183620","single"
504,4,"BU05183620","single_parent"
505,3,"BU05183620","couple"
506,1,"BU05183620","single"
507,2,"BU05183620","couple"
508,1,"BU05183620","single"
509,1,"BU05183620","single"
510,2,"BU05183620","couple"
511,2,"BU05183620","single_parent"
