"PC6","neighb_code","n_individuals","age_0_15","age_15_25","age_25_45","age_45_65","age_over65","female","male","Western","Non_Western","Dutch","education_low","education_middle","education_high","n_households","household_avg_size","children","couples_with_children","couples_without_children","singleparents","singles","no_children","neighb_name"
"2531AA","BU05183638",255,58,32,89,54,22,119,136,56,142,57,61,66,77,117,2.18,83,32,23,12,50,172,"Moerwijk-Noord"
"2531AB","BU05183638",39,4,5,10,12,8,20,19,9,23,7,13,9,13,21,1.86,9,4,5,2,10,30,"Moerwijk-Noord"
"2531AC","BU05183638",53,11,6,26,7,3,22,31,14,30,9,11,22,9,27,1.96,17,6,3,6,12,36,"Moerwijk-Noord"
"2531AD","BU05183638",77,13,8,20,19,17,35,42,15,37,25,28,20,18,37,2.08,23,8,9,6,14,54,"Moerwijk-Noord"
"2531AE","BU05183638",56,7,9,22,10,8,25,31,11,29,16,16,15,19,29,1.93,10,6,11,1,11,46,"Moerwijk-Noord"
"2531AG","BU05183638",49,9,6,21,8,5,24,25,11,25,13,15,13,12,26,1.88,14,7,2,2,15,35,"Moerwijk-Noord"
"2531AH","BU05183638",94,28,7,29,21,9,46,48,13,58,23,13,28,28,45,2.09,34,13,2,2,28,60,"Moerwijk-Noord"
"2531AJ","BU05183638",60,14,7,17,18,4,31,29,9,33,18,19,12,16,30,2,19,7,4,4,15,41,"Moerwijk-Noord"
"2531AK","BU05183638",57,15,5,17,15,5,31,26,16,30,11,15,9,18,25,2.28,21,7,4,4,10,36,"Moerwijk-Noord"
"2531AL","BU05183638",38,8,7,9,11,3,21,17,6,25,7,11,8,11,18,2.11,13,5,2,4,7,25,"Moerwijk-Noord"
"2531AM","BU05183638",57,13,11,17,10,6,29,28,13,26,18,16,13,14,26,2.19,21,5,5,4,12,36,"Moerwijk-Noord"
"2531AN","BU05183638",51,8,6,18,12,7,24,27,11,27,13,11,14,18,29,1.76,13,5,4,2,18,38,"Moerwijk-Noord"
"2531AP","BU05183638",55,13,6,18,13,5,29,26,11,32,12,19,12,11,28,1.96,16,6,5,4,13,39,"Moerwijk-Noord"
"2531AR","BU05183638",53,11,7,22,11,2,25,28,13,26,14,17,16,12,27,1.96,15,7,4,2,14,38,"Moerwijk-Noord"
"2531AS","BU05183638",80,18,8,27,19,8,29,51,21,44,15,27,18,20,35,2.29,26,9,10,5,11,54,"Moerwijk-Noord"
"2531AT","BU05183638",67,14,11,18,18,6,37,30,14,43,10,22,13,20,29,2.31,24,8,6,4,11,43,"Moerwijk-Noord"
"2531AW","BU05183638",80,14,7,24,23,12,39,41,13,46,21,28,22,19,36,2.22,21,11,12,2,11,59,"Moerwijk-Noord"
"2531AX","BU05183638",74,17,10,18,20,9,37,37,12,46,16,26,12,21,34,2.18,24,10,6,3,15,50,"Moerwijk-Noord"
"2531BA","BU05183638",32,9,1,12,6,4,20,12,7,20,5,5,9,12,15,2.13,11,5,1,2,7,21,"Moerwijk-Noord"
"2531BB","BU05183638",47,11,4,13,14,5,22,25,10,28,9,11,8,16,21,2.24,17,7,2,3,9,30,"Moerwijk-Noord"
"2531BC","BU05183638",57,16,8,20,9,4,27,30,18,29,10,15,11,16,26,2.19,23,5,3,7,11,34,"Moerwijk-Noord"
"2531BD","BU05183638",58,9,8,16,17,8,23,35,15,29,14,17,18,16,31,1.87,16,7,4,3,17,42,"Moerwijk-Noord"
"2531BE","BU05183638",82,13,16,16,31,6,36,46,13,46,23,25,24,19,35,2.34,28,13,6,3,13,54,"Moerwijk-Noord"
"2531BG","BU05183638",48,10,9,14,13,2,19,29,6,26,16,13,13,13,19,2.53,17,8,4,1,6,31,"Moerwijk-Noord"
"2531BH","BU05183638",51,7,9,16,14,5,27,24,12,26,13,14,16,12,23,2.22,18,8,2,2,11,33,"Moerwijk-Noord"
"2531BJ","BU05183638",6,0,2,1,0,3,3,3,1,3,2,2,2,2,5,1.2,0,0,1,0,4,6,"Moerwijk-Noord"
"2531BK","BU05183638",64,18,11,16,16,3,40,24,13,36,15,19,13,18,27,2.37,27,8,2,6,11,37,"Moerwijk-Noord"
"2531BL","BU05183638",30,2,5,16,6,1,11,19,6,21,3,7,14,8,21,1.43,5,3,1,1,16,25,"Moerwijk-Noord"
"2531BM","BU05183638",47,8,11,11,15,2,26,21,6,28,13,13,14,12,21,2.24,18,7,1,2,11,29,"Moerwijk-Noord"
"2531BN","BU05183638",74,14,15,17,21,7,39,35,16,46,12,27,15,21,33,2.24,27,10,4,5,14,47,"Moerwijk-Noord"
"2531BP","BU05183638",35,4,5,10,13,3,15,20,8,21,6,8,10,12,19,1.84,7,4,5,1,9,28,"Moerwijk-Noord"
"2531BR","BU05183638",33,8,1,15,8,1,17,16,10,15,8,8,12,6,14,2.36,9,7,3,1,3,24,"Moerwijk-Noord"
"2531CB","BU05183638",47,11,6,17,9,4,23,24,9,27,11,10,14,14,20,2.35,17,9,1,2,8,30,"Moerwijk-Noord"
"2531CC","BU05183638",14,3,0,7,4,0,4,10,2,7,5,1,1,10,8,1.75,3,2,1,1,4,11,"Moerwijk-Noord"
