"hh_ID","hh_size","neighb_code","hh_type"
"1","5","BU05183284","couple_with_children"
"2","4","BU05183284","single-parent"
"3","5","BU05183284","couple_with_children"
"4","5","BU05183284","couple_with_children"
"5","4","BU05183284","single-parent"
"6","4","BU05183284","single-parent"
"7","5","BU05183284","couple_with_children"
"8","4","BU05183284","single-parent"
"9","5","BU05183284","couple_with_children"
"10","4","BU05183284","single-parent"
"11","5","BU05183284","couple_with_children"
"12","5","BU05183284","couple_with_children"
"13","5","BU05183284","couple_with_children"
"14","5","BU05183284","couple_with_children"
"15","5","BU05183284","couple_with_children"
"16","5","BU05183284","couple_with_children"
"17","5","BU05183284","couple_with_children"
"18","5","BU05183284","couple_with_children"
"19","4","BU05183284","single-parent"
"20","5","BU05183284","couple_with_children"
"21","5","BU05183284","couple_with_children"
"22","5","BU05183284","couple_with_children"
"23","5","BU05183284","couple_with_children"
"24","4","BU05183284","single-parent"
"25","5","BU05183284","couple_with_children"
"26","4","BU05183284","single-parent"
"27","5","BU05183284","couple_with_children"
"28","5","BU05183284","couple_with_children"
"29","5","BU05183284","couple_with_children"
"30","5","BU05183284","couple_with_children"
"31","5","BU05183284","couple_with_children"
"32","4","BU05183284","single-parent"
"33","5","BU05183284","couple_with_children"
"34","4","BU05183284","single-parent"
"35","5","BU05183284","couple_with_children"
"36","5","BU05183284","couple_with_children"
"37","4","BU05183284","single-parent"
"38","4","BU05183284","single-parent"
"39","5","BU05183284","couple_with_children"
"40","5","BU05183284","couple_with_children"
"41","5","BU05183284","couple_with_children"
"42","5","BU05183284","couple_with_children"
"43","5","BU05183284","couple_with_children"
"44","4","BU05183284","single-parent"
"45","5","BU05183284","couple_with_children"
"46","5","BU05183284","couple_with_children"
"47","5","BU05183284","couple_with_children"
"48","5","BU05183284","couple_with_children"
"49","4","BU05183284","single-parent"
"50","5","BU05183284","couple_with_children"
"51","5","BU05183284","couple_with_children"
"52","5","BU05183284","couple_with_children"
"53","4","BU05183284","single-parent"
"54","4","BU05183284","single-parent"
"55","5","BU05183284","couple_with_children"
"56","5","BU05183284","couple_with_children"
"57","5","BU05183284","couple_with_children"
"58","4","BU05183284","single-parent"
"59","5","BU05183284","couple_with_children"
"60","4","BU05183284","single-parent"
"61","5","BU05183284","couple_with_children"
"62","5","BU05183284","couple_with_children"
"63","4","BU05183284","single-parent"
"64","5","BU05183284","couple_with_children"
"65","4","BU05183284","single-parent"
"66","5","BU05183284","couple_with_children"
"67","5","BU05183284","couple_with_children"
"68","5","BU05183284","couple_with_children"
"69","5","BU05183284","couple_with_children"
"70","5","BU05183284","couple_with_children"
"71","5","BU05183284","couple_with_children"
"72","4","BU05183284","single-parent"
"73","5","BU05183284","couple_with_children"
"74","5","BU05183284","couple_with_children"
"75","5","BU05183284","couple_with_children"
"76","5","BU05183284","couple_with_children"
"77","5","BU05183284","couple_with_children"
"78","5","BU05183284","couple_with_children"
"79","4","BU05183284","single-parent"
"80","4","BU05183284","single-parent"
"81","4","BU05183284","single-parent"
"82","5","BU05183284","couple_with_children"
"83","5","BU05183284","couple_with_children"
"84","5","BU05183284","couple_with_children"
"85","5","BU05183284","couple_with_children"
"86","5","BU05183284","couple_with_children"
"87","5","BU05183284","couple_with_children"
"88","5","BU05183284","couple_with_children"
"89","4","BU05183284","single-parent"
"90","5","BU05183284","couple_with_children"
"91","5","BU05183284","couple_with_children"
"92","4","BU05183284","single-parent"
"93","5","BU05183284","couple_with_children"
"94","5","BU05183284","couple_with_children"
"95","5","BU05183284","couple_with_children"
"96","4","BU05183284","single-parent"
"97","5","BU05183284","couple_with_children"
"98","5","BU05183284","couple_with_children"
"99","5","BU05183284","couple_with_children"
"100","4","BU05183284","single-parent"
"101","5","BU05183284","couple_with_children"
"102","5","BU05183284","couple_with_children"
"103","5","BU05183284","couple_with_children"
"104","5","BU05183284","couple_with_children"
"105","4","BU05183284","single-parent"
"106","4","BU05183284","single-parent"
"107","5","BU05183284","couple_with_children"
"108","5","BU05183284","couple_with_children"
"109","5","BU05183284","couple_with_children"
"110","5","BU05183284","couple_with_children"
"111","4","BU05183284","single-parent"
"112","5","BU05183284","couple_with_children"
"113","5","BU05183284","couple_with_children"
"114","5","BU05183284","couple_with_children"
"115","5","BU05183284","couple_with_children"
"116","5","BU05183284","couple_with_children"
"117","5","BU05183284","couple_with_children"
"118","5","BU05183284","couple_with_children"
"119","5","BU05183284","couple_with_children"
"120","5","BU05183284","couple_with_children"
"121","5","BU05183284","couple_with_children"
"122","5","BU05183284","couple_with_children"
"123","5","BU05183284","couple_with_children"
"124","4","BU05183284","single-parent"
"125","5","BU05183284","couple_with_children"
"126","5","BU05183284","couple_with_children"
"127","5","BU05183284","couple_with_children"
"128","4","BU05183284","single-parent"
"129","4","BU05183284","single-parent"
"130","5","BU05183284","couple_with_children"
"131","5","BU05183284","couple_with_children"
"132","5","BU05183284","couple_with_children"
"133","5","BU05183284","couple_with_children"
"134","4","BU05183284","single-parent"
"135","5","BU05183284","couple_with_children"
"136","5","BU05183284","couple_with_children"
"137","4","BU05183284","single-parent"
"138","5","BU05183284","couple_with_children"
"139","5","BU05183284","couple_with_children"
"140","4","BU05183284","single-parent"
"141","5","BU05183284","couple_with_children"
"142","5","BU05183284","couple_with_children"
"143","4","BU05183284","single-parent"
"144","5","BU05183284","couple_with_children"
"145","5","BU05183284","couple_with_children"
"146","5","BU05183284","couple_with_children"
"147","4","BU05183284","single-parent"
"148","5","BU05183284","couple_with_children"
"149","5","BU05183284","couple_with_children"
"150","5","BU05183284","couple_with_children"
"151","5","BU05183284","couple_with_children"
"152","5","BU05183284","couple_with_children"
"153","4","BU05183284","single-parent"
"154","4","BU05183284","single-parent"
"155","5","BU05183284","couple_with_children"
"156","4","BU05183284","single-parent"
"157","5","BU05183284","couple_with_children"
"158","5","BU05183284","couple_with_children"
"159","5","BU05183284","couple_with_children"
"160","4","BU05183284","single-parent"
"161","5","BU05183284","couple_with_children"
"162","5","BU05183284","couple_with_children"
"163","5","BU05183284","couple_with_children"
"164","5","BU05183284","couple_with_children"
"165","5","BU05183284","couple_with_children"
"166","5","BU05183284","couple_with_children"
"167","4","BU05183284","single-parent"
"168","4","BU05183284","single-parent"
"169","5","BU05183284","couple_with_children"
"170","5","BU05183284","couple_with_children"
"171","5","BU05183284","couple_with_children"
"172","4","BU05183284","single-parent"
"173","4","BU05183284","single-parent"
"174","5","BU05183284","couple_with_children"
"175","5","BU05183284","couple_with_children"
"176","4","BU05183284","single-parent"
"177","4","BU05183284","single-parent"
"178","5","BU05183284","couple_with_children"
"179","4","BU05183284","single-parent"
"180","5","BU05183284","couple_with_children"
"181","5","BU05183284","couple_with_children"
"182","5","BU05183284","couple_with_children"
"183","5","BU05183284","couple_with_children"
"184","5","BU05183284","couple_with_children"
"185","5","BU05183284","couple_with_children"
"186","4","BU05183284","single-parent"
"187","5","BU05183284","couple_with_children"
"188","4","BU05183284","single-parent"
"189","4","BU05183284","single-parent"
"190","4","BU05183284","single-parent"
"191","5","BU05183284","couple_with_children"
"192","4","BU05183284","single-parent"
"193","5","BU05183284","couple_with_children"
"194","5","BU05183284","couple_with_children"
"195","4","BU05183284","single-parent"
"196","5","BU05183284","couple_with_children"
"197","5","BU05183284","couple_with_children"
"198","5","BU05183284","couple_with_children"
"199","5","BU05183284","couple_with_children"
"200","5","BU05183284","couple_with_children"
"201","5","BU05183284","couple_with_children"
"202","5","BU05183284","couple_with_children"
"203","4","BU05183284","single-parent"
"204","5","BU05183284","couple_with_children"
"205","5","BU05183284","couple_with_children"
"206","5","BU05183284","couple_with_children"
"207","4","BU05183284","single-parent"
"208","5","BU05183284","couple_with_children"
"209","5","BU05183284","couple_with_children"
"210","4","BU05183284","single-parent"
