"hh_ID","hh_size","neighb_code","hh_type","PC6"
1,5,"BU05183284","couple_with_children","2546RT"
2,4,"BU05183284","single-parent","2546EG"
3,5,"BU05183284","couple_with_children","2546VT"
4,5,"BU05183284","couple_with_children","2546AN"
5,4,"BU05183284","single-parent","2546VJ"
6,4,"BU05183284","single-parent","2546CV"
7,5,"BU05183284","couple_with_children","2546TX"
8,4,"BU05183284","single-parent","2546EG"
9,5,"BU05183284","couple_with_children","2546RV"
10,4,"BU05183284","single-parent","2546TM"
11,5,"BU05183284","couple_with_children","2546CZ"
12,5,"BU05183284","couple_with_children","2545EE"
13,5,"BU05183284","couple_with_children","2545EG"
14,5,"BU05183284","couple_with_children","2546XS"
15,5,"BU05183284","couple_with_children","2546ST"
16,5,"BU05183284","couple_with_children","2546RT"
17,5,"BU05183284","couple_with_children","2546CS"
18,5,"BU05183284","couple_with_children","2545CP"
19,4,"BU05183284","single-parent","2545EG"
20,5,"BU05183284","couple_with_children","2546TK"
21,5,"BU05183284","couple_with_children","2545ED"
22,5,"BU05183284","couple_with_children","2546TL"
23,5,"BU05183284","couple_with_children","2546XS"
24,4,"BU05183284","single-parent","2546TE"
25,5,"BU05183284","couple_with_children","2546AJ"
26,4,"BU05183284","single-parent","2546TL"
27,5,"BU05183284","couple_with_children","2546RV"
28,5,"BU05183284","couple_with_children","2546AN"
29,5,"BU05183284","couple_with_children","2545EJ"
30,5,"BU05183284","couple_with_children","2546CR"
31,5,"BU05183284","couple_with_children","2546AS"
32,4,"BU05183284","single-parent","2546CP"
33,5,"BU05183284","couple_with_children","2546BJ"
34,4,"BU05183284","single-parent","2546TR"
35,5,"BU05183284","couple_with_children","2546TL"
36,5,"BU05183284","couple_with_children","2546TR"
37,4,"BU05183284","single-parent","2546TJ"
38,4,"BU05183284","single-parent","2546AC"
39,5,"BU05183284","couple_with_children","2541XR"
40,5,"BU05183284","couple_with_children","2545EW"
41,5,"BU05183284","couple_with_children","2546VG"
42,5,"BU05183284","couple_with_children","2546TR"
43,5,"BU05183284","couple_with_children","2546AG"
