"hh_ID","hh_size","neighb_code","hh_type","PC6","income_group"
1,5,"BU05183284","couple_with_children","2546RT","income_8_10"
2,4,"BU05183284","single-parent","2546EG","income_2_10"
3,5,"BU05183284","couple_with_children","2546VT","income_2_10"
4,5,"BU05183284","couple_with_children","2546AN","income_3_10"
5,4,"BU05183284","single-parent","2546VJ","income_5_10"
6,4,"BU05183284","single-parent","2546CV","income_1_10"
7,5,"BU05183284","couple_with_children","2546TX","income_9_10"
8,4,"BU05183284","single-parent","2546EG","income_2_10"
9,5,"BU05183284","couple_with_children","2546RV","income_5_10"
10,4,"BU05183284","single-parent","2546TM","income_2_10"
11,5,"BU05183284","couple_with_children","2546CZ","income_5_10"
12,5,"BU05183284","couple_with_children","2545EE","income_5_10"
13,5,"BU05183284","couple_with_children","2545EG","income_6_10"
14,5,"BU05183284","couple_with_children","2546XS","income_6_10"
15,5,"BU05183284","couple_with_children","2546ST","income_7_10"
16,5,"BU05183284","couple_with_children","2546RT","income_10_10"
17,5,"BU05183284","couple_with_children","2546CS","income_5_10"
18,5,"BU05183284","couple_with_children","2545CP","income_1_10"
19,4,"BU05183284","single-parent","2545EG","income_1_10"
20,5,"BU05183284","couple_with_children","2546TK","income_7_10"
21,5,"BU05183284","couple_with_children","2545ED","income_1_10"
22,5,"BU05183284","couple_with_children","2546TL","income_5_10"
23,5,"BU05183284","couple_with_children","2546XS","income_8_10"
24,4,"BU05183284","single-parent","2546TE","income_1_10"
25,5,"BU05183284","couple_with_children","2546AJ","income_8_10"
26,4,"BU05183284","single-parent","2546TL","income_8_10"
27,5,"BU05183284","couple_with_children","2546RV","income_1_10"
28,5,"BU05183284","couple_with_children","2546AN","income_10_10"
29,5,"BU05183284","couple_with_children","2545EJ","income_8_10"
30,5,"BU05183284","couple_with_children","2546CR","income_10_10"
31,5,"BU05183284","couple_with_children","2546AS","income_10_10"
32,4,"BU05183284","single-parent","2546CP","income_6_10"
33,5,"BU05183284","couple_with_children","2546BJ","income_10_10"
34,4,"BU05183284","single-parent","2546TR","income_3_10"
35,5,"BU05183284","couple_with_children","2546TL","income_5_10"
36,5,"BU05183284","couple_with_children","2546TR","income_10_10"
